Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 01/02/2024
Comparison Date: 18/01/2024
Total Yarding: 1980 (+890)
Commentary
"There was a sharp increase in numbers as producers took advantage of the high demand for cattle of all descriptions and offloaded. This being the largest offering for several years. There was a large gallery of buyers in attendance including several not seen for sometime. The quality of the offering was generally good while condition varied to suit all buyers from restockers through to export processors.

Buoyed by a good season and the current state of the market restockers were active throughout the young cattle. Weaners returning to the paddock sold to a significantly dearer trend with both the steers and the heifer portions keenly sought. Light and medium weight yearling steers saw some of the greatest improvement with both restockers and feedlots competing fiercely. Strong gains were also experienced in the heavy weight feeders with the majority destined for Northern feedlots. Yearlings heifers in all weight classes posted strong gains however the increases were not as great as those of the steers.

With higher weights in demand the grown steers with 2 or more teeth were keenly sought to produce some of the larger price improvements. Well finished heavy weight steers to the processors sold to dearer trends with strong gains in place. Grown heifers also sold to much dearer trends with some good quality lines suitable to the feedlots and some very well finished lots purchased by processors.the cow market saw some variation with a few to restockers selling to a slightly cheaper trend however quality was a factor. The well finished cows were slightly dearer while those in the 5 score category were substantially dearer. A large offering of bulls were keenly sought by processors to show a firm to dearer trend."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,46,43,380.0,438.0,415.3478260869565,77.3,730.8,842.3,798.7,874.0,1095.0,1016.8913043478261
Yearling Steer,200-280,Restocker,D,2,11,NQ,406.0,406.0,406,NQ,812.0,812.0,812.0,933.8,933.8,933.7999822443181
Yearling Steer,280-330,Restocker,C,2,51,5,330.0,454.0,417.1372549019608,72.2,634.6,873.1,802.2,990.0,1372.8,1235.3960822610295
Yearling Steer,280-330,Restocker,D,2,5,NQ,314.0,314.0,314,NQ,628.0,628.0,628.0,894.9,894.9,894.9
Yearling Steer,330-400,Feeder,C,2,140,139,280.0,420.0,397.5,79.5,538.5,807.7,764.4,952.0,1542.8,1434.8257254464286
Yearling Steer,330-400,Processor,C,3,4,NQ,340.0,340.0,340,NQ,629.6,629.6,629.6,1190.0,1190.0,1190
Yearling Steer,330-400,Restocker,C,2,77,48,380.0,412.0,397.97402597402595,55.8,730.8,792.3,765.3,1330.0,1563.1,1487.774008218344
Yearling Steer,400+,Feeder,C,2,54,27,306.0,398.0,380.64814814814815,43.2,588.5,765.4,732.0,1419.6,1930.3,1720.9509390371818
Yearling Steer,400+,Feeder,C,3,10,-8,300.0,388.0,370.4,39.0,555.6,718.5,685.9,1560.0,1881.8,1817.4400390625
Yearling Steer,400+,Processor,C,3,1,NC,298.0,298.0,298,8.0,551.9,551.9,551.9,1639.0,1639.0,1639
Yearling Steer,400+,Restocker,C,2,28,-12,400.0,408.0,404.75,49.0,769.2,784.6,778.4,1656.4,1800.0,1730.028564453125
