Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 01/08/2024
Comparison Date: 18/07/2024
Total Yarding: 870 (-190)
Commentary
"There was a reduction in supply with wet weather over the weekend contributing. The quality of the offering was very mixed with a greater percentage of plain and secondary quality cattle penned. There was a full field of buyers in attendance. Demand was high through most categories.

Restocker demand was high on the back of the recent rain event with a bumper Spring almost assured. This resulted in the light and medium weight yearling steers selling to a dearer trend with most of the good quality lots showing considerable improvement. Heavy weight feeder steers  also attracted strong competition to also show a dearer trend. Restockers were also active in the heifer classes as were feedlotters, trends dearer. There were limited supplies of well finished heifers suitable to the trade, no comparison from the last sale available.

There were too few good quality grown steers to quote with the majority down on quality and falling into the manufacturing steer category. They sold strongly given the quality on display. There was less competition on the well finished grown heifers with the market easing. A strong cow market saw trends dearer with the heavyweights improving by as much as 13c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,34,29,346.0,418.0,390.05882352941177,0.1,665.4,803.8,750.1,761.2,1149.5,1029.1647087545955
Yearling Steer,280-330,Restocker,C,2,66,49,370.0,438.0,418.72727272727275,60.8,711.5,842.3,805.2,1184.0,1417.0,1314.5151219223485
Yearling Steer,330-400,Feeder,C,2,34,23,340.0,396.0,384.02941176470586,77.3,653.8,761.5,738.5,1258.0,1584.0,1470.8588436351104
Yearling Steer,330-400,Restocker,C,2,21,1,320.0,400.0,380.4761904761905,6.9,615.4,769.2,731.7,1104.0,1411.2,1312.009521484375
Yearling Steer,400+,Feeder,C,2,30,-6,330.0,391.0,372.06666666666666,13.2,634.6,751.9,715.5,1386.0,1759.5,1602.07333984375
Yearling Steer,400+,Feeder,C,3,5,NQ,360.0,364.0,361.6,NQ,666.7,674.1,669.6,1892.8,1980.0,1945.12001953125
Yearling Steer,400+,Processor,C,3,3,-4,360.0,374.0,364.6666666666667,47.5,666.7,692.6,675.3,1512.0,1944.8,1656.2666829427083
Yearling Heifer,0-200,Restocker,D,2,18,NQ,328.0,354.0,345.3333333333333,NQ,656.0,708.0,690.7,590.4,708.0,668.8000081380209
Yearling Heifer,200-280,Restocker,C,2,59,38,300.0,356.0,342.64406779661016,35.3,576.9,684.6,658.9,713.0,884.0,831.1016721563824
Yearling Heifer,280-330,Processor,C,3,4,NQ,280.0,320.0,310,NQ,538.5,603.8,587.4,840.0,1024.0,978
Yearling Heifer,280-330,Restocker,C,2,13,-4,310.0,338.0,321.0769230769231,18.4,596.2,650.0,617.5,940.5,1023.0,978.2615309495193
Yearling Heifer,280-330,Restocker,D,2,15,NQ,260.0,322.0,299.2,NQ,520.0,644.0,598.4,780.0,1062.6,955.5599609375
Yearling Heifer,330-400,Feeder,C,2,22,21,328.0,348.0,334.72727272727275,36.7,630.8,669.2,643.7,1148.0,1322.4,1209.1545632102273
