Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 04/07/2024
Comparison Date: 20/06/2024
Total Yarding: 663 (+263)
Commentary
"The first sale of the new financial year saw numbers rebound from the previous sale. There was a good mix of cattle through all categories with some well bred and well finished lots along side a fair percentage showing the effects of the colder weather. There was an increased processor presence with the increased supply seeing the return of some. The usual restocker and feedlot orders were in place. 

Demand was strong through the young cattle with restockers active on the lighter weights. Both steer and heifer weaners sold to dearer trends under stronger demand while quality also improved. The limited supply of medium and heavy weight yearling steers also sold to dearer trends with some quality related price improvement. Good quality medium and heavy weight yearling heifers to restock and feed posted strong gains.

There were insufficient well finished heavy grown steers to quote. The increased competition resulted in well finished grown heifers selling to dearer trends. Those with 2 or more teeth to feed also saw a dearer trend. The greatest improvement on the day was in the cow market where increased competition combined with the strong  recent demand saw the well finished heavy weight cows show improvements of 60c to 70c/kg on the sale of a fortnight ago. Heavy bulls also sold to a dearer trend."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Restocker,C,2,6,-18,250.0,374.0,324.6666666666667,10.2,480.8,719.2,622.4,712.5,1122.0,956.0666707356771
Yearling Steer,330-400,Feeder,C,2,18,7,343.0,358.0,351.6666666666667,-32.0,659.6,688.5,676.3,1203.6,1253.0,1230.4666612413193
Yearling Steer,330-400,Restocker,C,2,36,14,270.0,406.0,354.05555555555554,66.7,519.2,780.8,680.9,918.0,1421.0,1236.955573187934
Yearling Steer,400+,Feeder,C,2,20,NQ,292.0,360.0,350.8,NQ,561.5,692.3,674.6,1343.2,1663.8,1572.9900024414062
Yearling Steer,400+,Feeder,C,3,3,NQ,334.0,334.0,334,NQ,618.5,618.5,618.5,1670.0,1670.0,1670
Yearling Steer,400+,Feeder,D,2,2,NQ,248.0,248.0,248,NQ,496.0,496.0,496.0,1041.6,1041.6,1041.5999755859375
Yearling Steer,400+,Processor,C,3,1,NQ,270.0,270.0,270,NQ,500.0,500.0,500.0,1404.0,1404.0,1404
Yearling Steer,400+,Restocker,C,2,5,4,322.0,322.0,322,60.0,619.2,619.2,619.2,1352.4,1352.4,1352.4
Yearling Heifer,200-280,Restocker,C,2,13,10,254.0,264.0,260.61538461538464,17.3,488.5,507.7,501.2,635.0,712.8,677.8307542067307
Yearling Heifer,280-330,Processor,C,3,12,NQ,304.0,304.0,304,NQ,573.6,573.6,573.6,988.0,988.0,988
Yearling Heifer,280-330,Restocker,C,2,2,-18,275.0,275.0,275,63.3,518.9,518.9,518.9,825.0,825.0,825
Yearling Heifer,330-400,Feeder,C,2,4,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,1050.0,1050.0,1050
Yearling Heifer,330-400,Restocker,C,2,24,12,230.0,302.0,289.0416666666667,44.3,442.3,580.8,555.8,828.0,1177.8,1040.8249994913738
