Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 05/12/2024
Comparison Date: 21/11/2024
Total Yarding: 1250 (-50)
Commentary
"There was a very small reduction in supply with this being the second last sale before the Christmas beak. A sale to be held on the 12th. Young cattle and cows made up the bulk of the offering along with a fair supply of grown heifers and bulls. The quality of the offering was very mixed. There was reduced export processor attendance however restocker and feedlot activity increased.

Strong restocker demand in the face of an excellent season saw the light weight steers sell to a dearer trend. The medium and heavy weight yearling steers also reaped the benefit of increased competition to sell to a dearer trend of 4c to 10c/kg. Heavy weights destined for the shorter fed programs were keenly sought. Market trends for the light and medium weight yearling heifers were firm to slightly cheaper with the better quality lots least affected.

Well finished heavy grown heifers to processors sold to cheaper trends with reduced competition. The better quality feeder heifers were slightly dearer while the secondary heifers were cheaper. A strong cow market saw trends firm to slightly dearer. An improvement in quality accounted for an odd dearer sale on heavy bulls, the market generally firm despite the absence of one processor."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,32,16,330.0,450.0,413.6875,31.0,634.6,865.4,795.6,907.5,1254.4,1113.453140258789
Yearling Steer,200-280,Restocker,D,2,5,NQ,340.0,340.0,340,NQ,680.0,680.0,680.0,884.0,884.0,884
Yearling Steer,280-330,Restocker,C,2,27,-25,318.0,390.0,373.037037037037,-20.7,611.5,750.0,717.4,954.0,1221.0,1123.2222222222222
Yearling Steer,330-400,Feeder,C,2,30,17,340.0,389.0,379.96666666666664,75.0,653.8,748.1,730.7,1258.0,1478.2,1397.9399739583334
Yearling Steer,330-400,Restocker,C,2,78,42,306.0,398.0,380.3333333333333,17.9,588.5,765.4,731.4,1025.1,1463.0,1366.592291416266
Yearling Steer,400+,Feeder,C,2,11,-48,376.0,388.0,385.27272727272725,25.8,723.1,746.2,740.9,1549.8,1823.6,1668.5999755859375
Yearling Steer,400+,Feeder,C,3,16,-20,340.0,380.0,370.375,28.0,629.6,703.7,685.9,1692.0,1824.0,1747.28125
Yearling Steer,400+,Processor,C,3,1,NC,385.0,385.0,385,31.0,713.0,713.0,713.0,1655.5,1655.5,1655.5
Yearling Steer,400+,Restocker,C,2,2,NQ,370.0,370.0,370,NQ,711.5,711.5,711.5,1517.0,1517.0,1517
Yearling Heifer,200-280,Restocker,C,2,70,36,258.0,328.0,316.7,-5.9,496.2,630.8,609.0,683.7,912.8,870.8135567801339
Yearling Heifer,200-280,Restocker,D,2,4,NQ,268.0,268.0,268,NQ,536.0,536.0,536.0,670.0,670.0,670
Yearling Heifer,280-330,Processor,C,2,8,NQ,254.0,268.0,262.75,NQ,488.5,515.4,505.3,762.0,857.6,821.75
Yearling Heifer,280-330,Restocker,C,2,49,15,250.0,330.0,303.1020408163265,-0.7,480.8,634.6,582.9,750.0,1072.5,971.7142857142857
