Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 10/10/2024
Comparison Date: 26/09/2024
Total Yarding: 470 (-735)
Commentary
"Numbers fell by more than half. It was a very mixed quality penning with the quality of the heavy weight cows standing out. The gallery of buyers was smaller than usual.

Despite what looks to be a very promising season ahead, restocker confidence was down resulting in cheaper trends for cattle returning to paddocks. The quality of those available was a major contributor to the negative price change in most cases. Steers going onto feed also sold to cheaper trends for the most part while an improvement in quality accounted for positive price change in places. Yearlings heifers to restock and feed followed similar cheaper trends with some of the falls in price greater than those of the steers.

Limited processor competition saw the well finished heavy grown steers and heifers sell to cheaper trends. Demand for cows was not as strong from processors resulting in cheaper trends. Restockers were active on the plainer condition cows, particularly the larger frame pens. Heavy bulls sold to cheaper trends also."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,3,NQ,326.0,326.0,326,NQ,626.9,626.9,626.9,586.8,586.8,586.7999674479166
Yearling Steer,0-200,Restocker,D,2,10,NQ,260.0,360.0,344,NQ,520.0,720.0,688.0,390.0,648.0,577.4
Yearling Steer,200-280,Restocker,C,2,10,-52,338.0,388.0,367.9,-41.8,650.0,746.2,707.5,777.4,1047.6,885.989990234375
Yearling Steer,200-280,Restocker,D,2,6,NQ,359.0,359.0,359,NQ,718.0,718.0,718.0,807.8,807.8,807.75
Yearling Steer,280-330,Feeder,C,2,2,NQ,342.0,342.0,342,NQ,657.7,657.7,657.7,1060.2,1060.2,1060.199951171875
Yearling Steer,280-330,Processor,C,3,2,NQ,310.0,310.0,310,NQ,574.1,574.1,574.1,1023.0,1023.0,1023
Yearling Steer,280-330,Restocker,C,2,7,-19,230.0,376.0,307.14285714285717,-38.7,442.3,723.1,590.7,713.0,1128.0,925.8571428571429
Yearling Steer,330-400,Feeder,C,2,8,NC,268.0,358.0,327.75,17.8,515.4,688.5,630.3,897.8,1378.3,1173.087547302246
Yearling Steer,400+,Feeder,C,2,54,44,276.0,344.0,333.9259259259259,-5.5,530.8,661.5,642.2,1131.6,1513.6,1463.1407606336807
Yearling Steer,400+,Feeder,C,3,8,NQ,322.0,356.0,339.5,NQ,596.3,659.3,628.7,1384.6,1780.0,1522.1499938964844
Yearling Heifer,0-200,Restocker,C,2,11,-23,292.0,320.0,317.45454545454544,-28.5,561.5,615.4,610.5,525.6,576.0,571.4181795987216
Yearling Heifer,200-280,Feeder,D,2,3,NQ,232.0,232.0,232,NQ,464.0,464.0,464.0,638.0,638.0,638
Yearling Heifer,200-280,Processor,C,2,1,NQ,290.0,290.0,290,NQ,557.7,557.7,557.7,638.0,638.0,638
Yearling Heifer,200-280,Restocker,C,2,7,-25,262.0,277.0,268.42857142857144,-17.0,503.8,532.7,516.2,589.5,734.0,651.4499860491071
