Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 12/12/2024
Comparison Date: 05/12/2024
Total Yarding: 500 (-750)
Commentary
"A very mixed quality penning to wind up sales for the year. Included in the number were 72 bulls and 100 plain condition light weight young cattle. Those young cattle were sold on a dollars per head basis and not included in this report. They did however sell extremely well. There was a reduced field of processors operating however a very active group of restocker orders competed strongly.

With a break in sales and paddocks full of feed the market for young cattle returning to the paddock was strong with most categories selling to dearer trends. The mixed quality nature of the offering did contribute to some negative price change.

Grown steers and heifers to process sold on a firm to slightly cheaper trend while those to feedlots met strong competition and saw improvement in places. There was a slightly cheaper trend in the cow market. Bulls also sold to cheaper trends as processors wind down in preparation for the Christmas/ New year period."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,29,-3,382.0,490.0,428.8965517241379,15.2,734.6,942.3,824.8,916.8,1347.5,1095.434502963362
Yearling Steer,280-330,Restocker,C,2,8,-19,378.0,398.0,388,15.0,726.9,765.4,746.2,1125.2,1313.4,1198.0749816894531
Yearling Steer,330-400,Feeder,C,2,4,-26,366.0,412.0,389,9.0,703.8,792.3,748.1,1281.0,1524.4,1402.7000122070312
Yearling Steer,330-400,Restocker,C,2,12,-66,368.0,368.0,368,-12.3,707.7,707.7,707.7,1232.8,1232.8,1232.800048828125
Yearling Steer,400+,Feeder,C,2,17,6,328.0,388.0,377.7647058823529,-7.5,630.8,746.2,726.5,1508.8,1710.0,1665.8823098575367
Yearling Heifer,200-280,Restocker,C,2,12,-58,272.0,346.0,332.6666666666667,16.0,544.0,665.4,643.2,734.4,901.8,872.2499949137369
Yearling Heifer,280-330,Processor,C,3,1,NQ,312.0,312.0,312,NQ,600.0,600.0,600.0,1014.0,1014.0,1014
Yearling Heifer,280-330,Restocker,C,2,9,-40,334.0,346.0,340.6666666666667,37.6,642.3,665.4,655.1,1038.0,1102.2,1066.5333116319443
Yearling Heifer,280-330,Restocker,D,2,3,NQ,248.0,250.0,249.33333333333334,NQ,496.0,500.0,498.7,750.0,818.4,772.8000081380209
Yearling Heifer,330-400,Feeder,C,2,6,-28,320.0,320.0,320,6.2,615.4,615.4,615.4,1088.0,1088.0,1088
Yearling Heifer,330-400,Processor,D,3,3,NC,270.0,270.0,270,2.0,529.4,529.4,529.4,999.0,999.0,999
Yearling Heifer,400+,Feeder,C,2,4,NQ,302.0,302.0,302,NQ,580.8,580.8,580.8,1298.6,1298.6,1298.5999755859375
Yearling Heifer,400+,Feeder,C,3,6,NC,316.0,326.0,322.6666666666667,16.7,596.2,615.1,608.8,1358.8,1385.5,1376.6000162760417
Vealer Steer,200-280,Restocker,C,2,8,NQ,390.0,436.0,425.25,NQ,750.0,838.5,817.8,975.0,1177.2,1138.4249877929688
