Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 13/02/2025
Comparison Date: 30/01/2025
Total Yarding: 900 (-640)
Commentary
"There was a sharp drop in supply on the back of some very useful storm rain over the past fortnight. It was a very mixed quality penning where condition also varied greatly. There was more processor competition this week however the ranks are still not at capacity. Restocker and feedlot competition was also down.

Lightweight young cattle to restockers saw the steers sell to a dearer trend with some breed and quality related price change. The heifer portion mostly firm with quality also affecting price change. The medium and heavy weights sold on a firm to cheaper trend with the good quality lots least affected.

A very mixed quality penning of grown cattle to suit processors. The well finished heavy grown steers sold to a dearer trend under the extra competition. Well finished grown heifers also sold to dearer trends however the plainer quality lots were cheaper. Demand was high in the cow market with processors competing strongly. All classes showing strong gains. Heavy bulls sold on a firm to cheaper trend with quality variations accounting for positive price change."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,7,NQ,236.0,326.0,287.42857142857144,NQ,453.8,652.0,567.1,613.6,880.2,765.942853655134
Yearling Steer,200-280,Restocker,C,2,3,-33,348.0,358.0,351.3333333333333,-9.7,669.2,716.0,684.8,957.0,966.6,960.1999918619791
Yearling Steer,280-330,Feeder,C,2,3,-3,398.0,398.0,398,50.0,765.4,765.4,765.4,1225.8,1225.8,1225.8400065104167
Yearling Steer,280-330,Restocker,C,2,31,-54,320.0,400.0,363.93548387096774,17.9,615.4,769.2,699.9,960.0,1320.0,1111.90966796875
Yearling Steer,280-330,Restocker,D,2,1,-19,270.0,270.0,270,-27.5,540.0,540.0,540.0,810.0,810.0,810
Yearling Steer,330-400,Feeder,C,2,22,-91,340.0,370.0,352.1363636363636,-10.9,653.8,711.5,677.2,1173.0,1480.0,1360.5227272727273
Yearling Steer,330-400,Restocker,C,2,10,-32,357.0,357.0,357,24.3,686.5,686.5,686.5,1249.5,1249.5,1249.5
Yearling Steer,400+,Feeder,C,2,50,33,320.0,360.0,345.52,-2.4,615.4,692.3,664.5,1344.0,1746.0,1553.852021484375
Yearling Steer,400+,Feeder,C,3,8,-7,290.0,356.0,344.75,-21.0,537.0,659.3,638.4,1406.5,1886.8,1810.862548828125
Yearling Heifer,200-280,Restocker,C,2,17,-36,230.0,326.0,306.11764705882354,21.7,442.3,626.9,588.7,621.0,896.5,830.1176470588235
Yearling Heifer,200-280,Restocker,C,3,1,NQ,318.0,318.0,318,NQ,611.5,611.5,611.5,874.5,874.5,874.5
Yearling Heifer,200-280,Restocker,D,2,5,-5,228.0,230.0,229.6,-28.4,456.0,460.0,459.2,547.2,598.0,587.8400024414062
Yearling Heifer,280-330,Restocker,C,2,33,-54,290.0,320.0,311.030303030303,-1.1,557.7,615.4,598.1,870.0,1040.0,967.1696962298769
