Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 14/03/2024
Comparison Date: 29/02/2024
Total Yarding: 1030 (-200)
Commentary
"There was a reduction in supply. An influx of empty females brought on by the pregnancy testing season being in full swing. The quality of the offering was very mixed with few good lines penned. The condition varied greatly with quite a few of the cows down in condition after having reared calves. There were very few weaners penned with upcoming weaner sales holding them back. The regular processors operated however there was reduced restocker and feedlot competition.

That reduced competition combined with a drop in quality saw the weaner steers to restockers sell to a considerably cheaper trend while the heifer portion suffered greater losses. Light weight yearling steers to restockers followed a similar trend. Medium and heavy weight yearling feeder steers while cheaper were a lot less affected than those to restock. There was a quality related positive price change on medium weight yearling heifers however the market trend was generally cheaper with the secondary quality lots greatly affected. The good quality lots held up reasonably well.

Heavy grown steers to process met with weaker demand to sell to a dearer trend of as much as 17c/kg. Grown heifers also sold to cheaper trends. The cow market was substantially cheaper weaker processor demand and an increased supply. The plainer condition cow market was underpinned somewhat by several restocker orders. Heavy bulls sold to a much cheaper trend. There were not many very good sound bulls penned."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,4,NQ,290.0,290.0,290,NQ,557.7,557.7,557.7,754.0,754.0,754
Yearling Steer,280-330,Feeder,C,2,3,-3,314.0,314.0,314,-64.0,603.8,603.8,603.8,1020.5,1020.5,1020.5
Yearling Steer,280-330,Restocker,C,2,20,-70,240.0,322.0,288.2,-92.5,461.5,619.2,554.2,744.0,1030.4,907.2
Yearling Steer,330-400,Feeder,C,2,14,-64,320.0,356.0,343,-5.4,615.4,684.6,659.6,1235.8,1370.6,1309.5142996651787
Yearling Steer,330-400,Restocker,C,2,13,-6,306.0,337.0,313.15384615384613,-30.4,588.5,648.1,602.2,1101.6,1145.8,1111.8000112680288
Yearling Steer,400+,Feeder,C,2,52,18,300.0,354.0,334.3269230769231,-13.8,555.6,680.8,637.1,1312.0,1616.8,1451.425025353065
Yearling Steer,400+,Feeder,C,3,13,12,276.0,338.0,328.6923076923077,18.7,511.1,625.9,608.7,1453.4,1780.8,1527.7384878305288
Yearling Heifer,200-280,Restocker,D,2,3,-3,150.0,150.0,150,-124.0,300.0,300.0,300.0,330.0,330.0,330
Yearling Heifer,280-330,Restocker,C,2,15,1,168.0,262.0,233.73333333333332,-51.6,323.1,503.8,449.5,478.8,786.0,699.22666015625
Yearling Heifer,330-400,Feeder,C,2,36,-15,262.0,306.0,283.6666666666667,-47.2,503.8,588.5,545.5,969.4,1170.0,1036.8333333333333
Yearling Heifer,330-400,Feeder,C,3,15,1,304.0,310.0,308.4,1.3,584.6,584.9,584.8,1109.6,1193.5,1171.12666015625
Yearling Heifer,330-400,Processor,C,2,2,NQ,200.0,210.0,205,NQ,384.6,403.8,394.2,700.0,808.5,754.25
