Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 15/08/2024
Comparison Date: 01/08/2024
Total Yarding: 585 (-285)
Commentary
"With a bumper Spring almost guaranteed there was a reduction in numbers. It was a very mixed quality penning that featured a few high quality feeder steers and very good heavyweight cows. There was a reduced gallery of buyers with a couple of the larger processors not participating.

There were varying trends through the young cattle with the lightweight yearling steers mostly dearer under strong restocker competition. Quality was a factor in the dearer prices for the heavyweight yearling feeder steers with the overall trend also showing improvement. Reduced competition on yearling heifers saw all but a few selected pens sell to cheaper trends.

Well finished grown heifers experienced little change while there was some local restocker competition on the plainer conditioned lots. There were a lot less cows in the market with this factor contributing to an improvement in average quality . Market trends firm to dearer however the high price cows were not quite as good as the sale toppers from the previous sale. There was strong competition on the better heavyweight bulls with the market showing some improvement."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,D,2,3,NQ,280.0,280.0,280,NQ,560.0,560.0,560.0,560.0,560.0,560
Yearling Steer,200-280,Restocker,C,2,18,-16,370.0,444.0,425.55555555555554,35.5,711.5,853.8,818.4,925.0,1112.8,1020.1000162760416
Yearling Steer,200-280,Restocker,D,2,50,NQ,257.0,364.0,359.22,NQ,514.0,728.0,718.4,616.8,910.0,895.6159997558593
Yearling Steer,280-330,Restocker,C,2,28,-38,284.0,430.0,392.17857142857144,-26.5,546.2,826.9,754.2,937.2,1356.8,1214.335721697126
Yearling Steer,330-400,Restocker,C,2,9,-12,376.0,376.0,376,-4.5,723.1,723.1,723.1,1316.0,1316.0,1316
Yearling Steer,400+,Feeder,C,2,37,7,328.0,415.0,409.0810810810811,37.0,630.8,798.1,786.7,1476.0,1909.0,1875
Yearling Steer,400+,Restocker,C,2,1,NQ,324.0,324.0,324,NQ,623.1,623.1,623.1,1328.4,1328.4,1328.4000244140625
Yearling Heifer,0-200,Restocker,C,2,2,NQ,332.0,332.0,332,NQ,638.5,638.5,638.5,531.2,531.2,531.2000122070312
Yearling Heifer,0-200,Restocker,D,2,6,-12,340.0,340.0,340,-5.3,680.0,680.0,680.0,595.0,595.0,595
Yearling Heifer,200-280,Restocker,C,2,13,-46,312.0,332.0,313.53846153846155,-29.1,600.0,638.5,603.0,826.8,863.2,829.5999708909255
Yearling Heifer,280-330,Restocker,C,2,31,18,295.0,340.0,317.06451612903226,-4.0,567.3,653.8,609.7,840.8,1046.5,975.188728578629
Yearling Heifer,330-400,Feeder,C,2,7,-15,329.0,329.0,329,-5.7,632.7,632.7,632.7,1283.1,1283.1,1283.1000279017858
Yearling Heifer,330-400,Restocker,C,2,12,1,280.0,322.0,297.5,-17.0,560.0,619.2,584.7,1008.0,1175.3,1077.7083333333333
Yearling Heifer,400+,Feeder,C,2,8,NQ,319.0,319.0,319,NQ,613.5,613.5,613.5,1339.8,1339.8,1339.800048828125
