Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 16/01/2025
Comparison Date: 12/12/2024
Total Yarding: 2160 (+1660)
Commentary
"In what was the largest penning in quite some time yearlings and cows were well represented. There was a fair supply of grown steers and heifers along with the first of the early weaners. The quality of the offering was fair to very good while condition varied greatly. The regular buyers were in attendance.

Restocker demand was strong for good quality young cattle with the steer weaners selling particularly well. The heifer portion were also keenly sought. Plain quality yearling steers in all categories were harder to sell and attracted less competition than the better quality lines. Market trends were dearer through all weight classes when compared to pre Christmas levels. Heifer yearlings also attracted strong competition with demand from restocker and feedlot orders strong. Once again the better quality lines were keenly sought while secondary and plain quality heifers were discounted considerably.

A small number of well finished heavy grown steers showed strong improvement as did the well finished grown heifers purchased by processors. Processor demand for cows was very strong with market trends also showing strong gains. Heavy bulls were also dearer."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,27,-2,342.0,400.0,383.6296296296296,-45.3,657.7,769.2,737.7,820.8,1100.0,1037.2481463396991
Yearling Steer,280-330,Feeder,C,2,5,NQ,416.0,416.0,416,NQ,800.0,800.0,800.0,1372.8,1372.8,1372.8
Yearling Steer,280-330,Restocker,C,2,43,35,270.0,438.0,358.74418604651163,-29.3,540.0,842.3,692.3,810.0,1445.4,1140.8372093023256
Yearling Steer,280-330,Restocker,D,2,29,NQ,290.0,320.0,295.17241379310343,NQ,580.0,615.4,586.1,870.0,912.0,877.2413793103449
Yearling Steer,330-400,Feeder,C,2,114,110,364.0,412.0,400.2631578947368,11.3,700.0,792.3,769.7,1328.6,1648.0,1459.050891541598
Yearling Steer,330-400,Restocker,C,2,19,7,370.0,408.0,390.63157894736844,22.6,711.5,784.6,751.2,1366.8,1396.8,1383.3000616776317
Yearling Steer,330-400,Restocker,D,2,5,NQ,338.0,338.0,338,NQ,650.0,650.0,650.0,1132.3,1132.3,1132.3
Yearling Steer,400+,Feeder,C,2,107,90,386.0,412.0,402.4018691588785,24.6,742.3,792.3,773.8,1623.6,1980.0,1763.4827048043223
Yearling Steer,400+,Feeder,C,3,19,NQ,370.0,398.0,390.63157894736844,NQ,685.2,737.0,723.4,1924.0,2073.6,1974.8895456414473
Yearling Heifer,200-280,Restocker,C,2,11,-1,330.0,330.0,330,-2.7,634.6,634.6,634.6,907.5,907.5,907.5
Yearling Heifer,200-280,Restocker,D,2,30,NQ,272.0,272.0,272,NQ,544.0,544.0,544.0,680.0,680.0,680
Yearling Heifer,280-330,Feeder,C,2,14,NQ,344.0,350.0,347.85714285714283,NQ,661.5,673.1,669.0,1118.0,1137.5,1121.7857142857142
Yearling Heifer,280-330,Feeder,D,2,12,NQ,270.0,328.0,299,NQ,540.0,630.8,585.4,769.5,984.0,876.75
