Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 18/04/2024
Comparison Date: 04/04/2024
Total Yarding: 1030 (+345)
Commentary
"There was an increase in supply with heavy weight yearling steers and cows showing the best representation. The quality of the offering was very mixed with few lines in double figures. There was increased restocker and feedlot competition while the regular processors were in attendance.

Market trends were generally cheaper through the young cattle however there were a few positive trends. Weaner steers to restockers sold to cheaper trends with quality a factor as most of the good weaners have been sold through the Weaner sales. The lighter end of the heifer weaners also sold to cheaper trends with those carrying more weight selling to a dearer trend. Nothing to compare to in medium weight yearling steers from the previous sale however they were comparable to other local sales. The heavy weight feeder steers saw little but quality related price change. Light and medium weight yearling heifers sold to cheaper trends while the heavy weights showed an improved market trend.

Heavy weight export cattle saw demand from processors much weaker. This resulted in the well finished heavy grown steers and heifers selling to much cheaper trends. The cow market fell substantially in the fortnight showing falls of 30c to 40c/kg. The bull market followed suit."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,D,2,9,NQ,280.0,280.0,280,NQ,560.0,560.0,560.0,770.0,770.0,770
Yearling Steer,280-330,Restocker,C,2,14,2,250.0,336.0,307.42857142857144,-24.6,480.8,646.2,591.2,712.5,1108.8,992.5286080496652
Yearling Steer,280-330,Restocker,D,2,5,NQ,280.0,280.0,280,NQ,560.0,560.0,560.0,840.0,840.0,840
Yearling Steer,330-400,Feeder,C,2,22,NQ,280.0,328.0,310.09090909090907,NQ,538.5,630.8,596.3,1064.0,1262.8,1187.3272816051137
Yearling Steer,330-400,Feeder,D,2,7,NQ,240.0,240.0,240,NQ,480.0,480.0,480.0,816.0,816.0,816
Yearling Steer,330-400,Restocker,C,2,31,16,280.0,322.0,301.35483870967744,-19.6,538.5,619.2,579.5,952.0,1106.0,1034.377417779738
Yearling Steer,400+,Feeder,C,2,124,102,310.0,342.0,331.03225806451616,7.5,596.2,657.7,636.6,1271.0,1649.0,1438.3201628654233
Yearling Steer,400+,Feeder,C,3,6,-9,316.0,325.0,322,-19.9,585.2,601.9,596.3,1580.0,1657.5,1631.6666666666667
Yearling Steer,400+,Feeder,D,2,11,NQ,290.0,290.0,290,NQ,557.7,557.7,557.7,1247.0,1247.0,1247
Yearling Steer,400+,Processor,C,4,2,NQ,267.0,267.0,267,NQ,494.4,494.4,494.4,1682.1,1682.1,1682.0999755859375
Yearling Heifer,280-330,Restocker,C,2,31,13,220.0,266.0,238.6451612903226,-5.2,423.1,511.5,458.9,627.0,837.9,742.2290314705141
Yearling Heifer,280-330,Restocker,D,2,3,NQ,208.0,208.0,208,NQ,416.0,416.0,416.0,665.6,665.6,665.5999755859375
Yearling Heifer,330-400,Feeder,C,2,19,NQ,255.0,280.0,259.7894736842105,NQ,490.4,538.5,499.6,932.4,1036.0,957.7605108963816
