Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 18/07/2024
Comparison Date: 04/07/2024
Total Yarding: 1060 (+397)
Commentary
"The numbers increased as producers took an opportunity to offload on what has been a rising market. There was a good supply of well finished heavy weight cattle including cows. There were also quite a few cattle showing the effects of winter with feed quality not as good. There was a mixed quality penning of young cattle. The full field of processors along with an extra Southern cow buyer operated alongside the usual restocker and feedlot orders.

The majority of the young cattle saw dearer market trends with restockers active on lighter weights. The weaner steers improved by as much as 20c/kg in the fortnight while the heifer portion saw a greater improvement. Medium and heavy weight yearling steers to restock and feed also saw a dearer trend of 20c to 30c/kg. Light and medium weight yearling heifers showed little change with buyers showing a preference for steers. Heavy weight heifers suitable to feed attracted keen competition and sold to a dearer trend. Quality was the major factor in any negative price change through the young cattle.

Well finished heavy weight steers over 500kg sold to dearer trends with processor competition strong. The well finished grown heifers followed a similar trend. Heifers suitable to feed with potential to carry plenty of weight met with increased demand. Well finished cows under high demand and increased competition sold to a significantly dearer trend. The plain condition cows also posted strong gains with restockers also active. Heavy bulls sold to dearer trends."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,5,NQ,390.0,390.0,390,NQ,750.0,750.0,750.0,975.0,975.0,975
Yearling Steer,280-330,Feeder,C,2,22,NQ,360.0,384.0,381.27272727272725,NQ,692.3,738.5,733.2,1104.0,1267.2,1224.8181818181818
Yearling Steer,280-330,Restocker,C,2,17,11,320.0,412.0,357.88235294117646,33.2,615.4,792.3,688.2,912.0,1247.4,1084.7294060202205
Yearling Steer,330-400,Feeder,C,2,11,-7,274.0,310.0,306.72727272727275,-44.9,526.9,596.2,589.9,986.4,1240.0,1216.9454567649148
Yearling Steer,330-400,Restocker,C,2,20,-16,260.0,388.0,373.6,19.5,500.0,746.2,718.5,884.0,1389.6,1352.6
Yearling Steer,400+,Feeder,C,2,36,16,290.0,388.0,358.8888888888889,8.1,557.7,746.2,690.2,1247.0,1775.1,1604.1666700575088
Yearling Steer,400+,Processor,C,3,7,6,315.0,318.0,317.14285714285717,47.1,583.3,588.9,587.3,1669.5,1870.3,1789.628627232143
Yearling Heifer,200-280,Restocker,C,2,21,8,307.0,308.0,307.3333333333333,46.7,590.4,592.3,591.0,847.0,859.6,855.3999720982143
Yearling Heifer,200-280,Restocker,D,2,7,NQ,288.0,288.0,288,NQ,553.8,553.8,553.8,662.4,662.4,662.4000418526786
Yearling Heifer,280-330,Restocker,C,2,17,15,299.0,308.0,302.70588235294116,27.7,575.0,592.3,582.1,956.8,1016.4,981.3411937040441
Yearling Heifer,330-400,Feeder,C,2,1,-3,298.0,298.0,298,-2.0,573.1,573.1,573.1,1043.0,1043.0,1043
