Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 21/11/2024
Comparison Date: 07/11/2024
Total Yarding: 1300 (+370)
Commentary
"There was an increase in numbers with the quality of the offering very mixed. Heavy weight older cattle were well represented while there enough light and medium weight young cattle to satisfy restockers and feedlotters. A full field of processors operated however there were less restocker and feeder orders in place.

Strong local restocker demand saw light weight steers sell to dearer trends, up by as much as 12c/kg on a fortnight ago. Medium and heavy weight yearling steers to restock and feed saw some quality related improvement on what was a much dearer market trend. Light weight yearling heifers to restock sold to dearer trends while the reduced feedlot and restocker competition saw the medium and heavy weights cheaper.

There was a large supply of older and secondary quality manufacturing steers penned including quite a few Dairy steers. Strong processor competition saw these sell strongly while the well finished grown steers attracted strong competition from QLD processors to record strong gains. The well finished heavy heifers were also keenly sought, also selling to dearer trends. It was a strong cow market in comparison to recent markets albeit most classes showing cheaper trends of as much as 10c/kg. A good supply of bulls sold to cheaper trends."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,16,-30,379.0,388.0,382.6875,-5.6,728.8,746.2,735.9,966.5,1067.0,1002.5156097412109
Yearling Steer,280-330,Restocker,C,2,52,16,280.0,428.0,393.71153846153845,16.7,538.5,823.1,757.1,840.0,1328.0,1166.8538301908052
Yearling Steer,330-400,Feeder,C,2,13,1,264.0,340.0,304.9230769230769,-47.4,507.7,653.8,586.4,884.4,1326.0,1122.1846454326924
Yearling Steer,330-400,Restocker,C,2,36,29,300.0,394.0,362.3888888888889,30.1,576.9,757.7,696.9,1020.0,1470.7,1279.4833272298176
Yearling Steer,400+,Feeder,C,2,59,54,294.0,374.0,359.4406779661017,25.4,565.4,719.2,691.2,1205.4,1705.6,1527.9000223450741
Yearling Steer,400+,Feeder,C,3,36,35,336.0,350.0,342.3333333333333,24.3,622.2,648.1,634.0,1662.5,1868.4,1766.8138834635417
Yearling Steer,400+,Processor,C,3,1,NC,354.0,354.0,354,32.0,655.6,655.6,655.6,1911.6,1911.6,1911.5999755859375
Yearling Heifer,0-200,Restocker,C,2,1,NQ,312.0,312.0,312,NQ,600.0,600.0,600.0,577.2,577.2,577.2000122070312
Yearling Heifer,200-280,Restocker,C,2,34,-19,278.0,334.0,322.6470588235294,30.4,534.6,642.3,620.5,651.0,896.5,822.1794236127068
Yearling Heifer,280-330,Processor,C,3,1,NQ,320.0,320.0,320,NQ,615.4,615.4,615.4,960.0,960.0,960
Yearling Heifer,280-330,Processor,D,3,5,NQ,240.0,240.0,240,NQ,470.6,470.6,470.6,792.0,792.0,792
Yearling Heifer,280-330,Restocker,C,2,34,3,252.0,322.0,303.8235294117647,5.3,484.6,619.2,584.3,780.9,1030.4,951.6088382496554
