Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 24/10/2024
Comparison Date: 10/10/2024
Total Yarding: 600 (+130)
Commentary
"There was a small increase in supply in what was a very mixed quality penning. Young cattle and cows made up the bulk of the offering along with the usual large offering of bulls. There were some very good condition cows penned along with a line of supplementary heavy weight yearling steers. The balance of the offering were generally plain in condition and quality. There was reduced processor attendance while restocker and feedlot participation was down.
Driven by local restocker demand light weight steers sold to significantly dearer trends if they were the preffered breeds and colours. The balance of the steers in all weight classes sold to cheaper trends. Light weight heifers to restockers also sold to dearer trends however the improvement was only slight. Medium and heavy weights in limited supply sold to cheaper trends.
With the reduced processor competition market trends through the grown steers and heifers were cheaper for the most part. There were breed and quality related price changes in some to restock and feed. The well finished cows sold to cheaper trends while the plainer conditioned cows saw a slightly dearer trend when attracting restocker activity. Heavy bulls sold to cheaper trends."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,D,2,10,NC,310.0,350.0,318,-26.0,620.0,700.0,636.0,620.0,700.0,636
Yearling Steer,200-280,Restocker,C,2,35,25,264.0,440.0,399.51428571428573,31.6,507.7,846.2,768.3,673.2,1232.0,1075.1828351702009
Yearling Steer,200-280,Restocker,D,2,3,-3,244.0,280.0,256,-103.0,488.0,560.0,512.0,658.8,742.0,686.5333251953125
Yearling Steer,280-330,Restocker,C,2,18,11,328.0,404.0,372.44444444444446,65.3,630.8,776.9,716.2,934.8,1212.0,1108.3333333333333
Yearling Steer,330-400,Restocker,C,2,4,NQ,250.0,280.0,272.5,NQ,480.8,538.5,524.0,912.5,994.0,973.625
Yearling Steer,330-400,Restocker,C,3,4,NQ,280.0,280.0,280,NQ,518.5,518.5,518.5,1092.0,1092.0,1092
Yearling Steer,400+,Feeder,C,2,20,-34,284.0,324.0,319.8,-14.1,546.2,623.1,615.0,1249.6,1393.2,1376.5599792480468
Yearling Steer,400+,Feeder,C,3,23,15,302.0,320.0,313.7391304347826,-25.8,559.3,592.6,581.0,1464.7,1520.0,1500.7652004076087
Yearling Steer,400+,Processor,C,3,13,NQ,280.0,290.0,282.3076923076923,NQ,518.5,537.0,522.8,1456.0,1566.0,1481.3846153846155
Yearling Steer,400+,Restocker,C,2,5,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,1271.0,1271.0,1271
Yearling Heifer,200-280,Restocker,C,2,57,50,208.0,306.0,282.7368421052632,14.3,400.0,588.5,544.4,478.4,810.9,700.0412281772547
Yearling Heifer,200-280,Restocker,D,2,34,NQ,228.0,296.0,285.52941176470586,NQ,456.0,592.0,571.1,592.8,695.6,619.0529695398667
Yearling Heifer,280-330,Restocker,C,2,12,5,242.0,308.0,267.5,2.6,484.0,592.3,519.1,726.0,924.0,798.7166544596354
Yearling Heifer,280-330,Restocker,D,2,1,NQ,232.0,232.0,232,NQ,464.0,464.0,464.0,696.0,696.0,696
Yearling Heifer,330-400,Feeder,C,2,1,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,875.0,875.0,875
Yearling Heifer,330-400,Restocker,C,2,8,2,242.0,290.0,276.5,-15.5,465.4,557.7,531.7,931.7,1073.0,1037.337501525879
Yearling Heifer,400+,Processor,C,4,1,NQ,290.0,290.0,290,NQ,547.2,547.2,547.2,1537.0,1537.0,1537
Vealer Steer,200-280,Restocker,C,2,6,NQ,420.0,420.0,420,NQ,807.7,807.7,807.7,1113.0,1113.0,1113
