Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 27/02/2025
Comparison Date: 13/02/2025
Total Yarding: 1740 (+840)
Commentary
"Armidale penned 1740 mostly good quality cattle an addition of 800 head. Cow numbers and quality increased along with good numbers of heavy feeders on offer. The balance of the young cattle were somewhat mixed and trends for those categories sold to varied results. . Cows on the other hand sold to dearer trends throughout. The regular buyers attended and operated.

Better bred light yearling steers sold to dearer trends for backgrounders with feeders dearer 328c to 414c/kg. Feeder steers under 330kgs were dearer 280c to 418c/kg and similar weights to background selling 350c to 442c/kg. Medium feeders solid 320c to 411c/kg and similar steers to the paddock 400c/kg. Light plain heifers to backgrounders 280c to 340c/kg and heifers under 330kgs 316c to 339c/kg.. Medium feeders 296c to 340c/kg. Heavy processor yearling heifers made to 310c/kg.

Heavy grown heifers to process 297c to 330c/kg. Cows resulted in dearer trends the three and four score categories making 280c to 315c/kg. Heavy bulls 253c to 328c/kg.

Stephen  Adams MLA"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,33,26,328.0,414.0,398.3030303030303,110.9,607.4,766.7,737.6,885.6,1117.8,1075.1272601503315
Yearling Steer,200-280,Restocker,C,2,54,51,360.0,422.0,392.4074074074074,41.1,666.7,781.5,726.7,924.0,1181.6,1032.5629701967594
Yearling Steer,280-330,Feeder,C,2,59,56,280.0,418.0,394.5762711864407,-3.4,518.5,774.1,730.7,896.0,1318.4,1235.576279462394
Yearling Steer,280-330,Restocker,C,2,38,7,350.0,442.0,411.10526315789474,47.2,648.1,818.5,761.3,1050.0,1370.2,1269.4999550267269
Yearling Steer,330-400,Feeder,C,2,46,24,320.0,411.0,377.5217391304348,25.4,592.6,761.1,699.1,1120.0,1398.6,1325.4478282099185
Yearling Steer,330-400,Restocker,C,2,4,-6,400.0,400.0,400,43.0,740.7,740.7,740.7,1440.0,1440.0,1440
Yearling Steer,400+,Feeder,C,2,92,42,320.0,400.0,374.7391304347826,29.2,592.6,740.7,694.0,1660.0,2320.0,1907.2282608695652
Yearling Steer,400+,Processor,C,3,12,NQ,343.0,350.0,348.25,NQ,635.2,648.1,644.9,2058.0,2100.0,2089.5
Yearling Heifer,200-280,Processor,C,2,4,NQ,292.0,292.0,292,NQ,550.9,550.9,550.9,788.4,788.4,788.4000244140625
Yearling Heifer,200-280,Restocker,C,2,32,15,280.0,340.0,317.125,11.0,528.3,641.5,598.3,644.0,816.0,745.3250122070312
Yearling Heifer,280-330,Feeder,C,2,8,NQ,290.0,290.0,290,NQ,547.2,547.2,547.2,957.0,957.0,957
Yearling Heifer,280-330,Processor,C,2,6,NQ,314.0,314.0,314,NQ,592.5,592.5,592.5,1004.8,1004.8,1004.7999674479166
Yearling Heifer,280-330,Restocker,C,2,85,52,316.0,339.0,323.88235294117646,12.9,596.2,639.6,611.1,948.0,1079.1,1019.391739430147
Yearling Heifer,330-400,Feeder,C,2,37,22,296.0,340.0,318,11.1,558.5,641.5,600.0,1006.4,1360.0,1190.486499683277
Yearling Heifer,330-400,Processor,C,2,3,NQ,292.0,300.0,294.6666666666667,NQ,550.9,566.0,556.0,1080.0,1109.6,1099.7333170572917
Yearling Heifer,330-400,Processor,C,3,10,NQ,300.0,310.0,307.2,NQ,566.0,584.9,579.6,1140.0,1208.0,1173.4
Yearling Heifer,330-400,Restocker,C,2,76,63,276.0,326.0,303.07894736842104,17.4,520.8,615.1,571.8,938.4,1206.2,1053.223697060033
Yearling Heifer,400+,Feeder,C,2,33,29,284.0,337.0,311.6060606060606,-4.4,535.8,635.8,587.9,1258.4,1887.2,1571.9575565222538
Yearling Heifer,400+,Feeder,C,3,17,-6,324.0,326.0,324.6470588235294,-3.1,611.3,615.1,612.5,1814.4,1825.6,1818.0235164866729
Yearling Heifer,400+,Processor,C,2,6,NQ,316.0,316.0,316,NQ,596.2,596.2,596.2,1327.2,1327.2,1327.199951171875
Yearling Heifer,400+,Processor,C,3,26,NQ,318.0,332.0,329.8076923076923,NQ,600.0,626.4,622.3,1452.0,1968.0,1628.107694185697
Vealer Steer,200-280,Restocker,C,2,16,7,350.0,418.0,371.25,-42.8,648.1,774.1,687.5,770.0,877.8,803.6875
Manufacturing Steer,540+,Processor,D,2,2,NQ,232.0,232.0,232,NQ,437.7,437.7,437.7,1299.2,1299.2,1299.199951171875
Grown Steer,500-600,Processor,C,2,4,NQ,318.0,318.0,318,NQ,588.9,588.9,588.9,1780.8,1780.8,1780.800048828125
Grown Steer,500-600,Processor,C,3,7,3,328.0,328.0,328,12.0,607.4,607.4,607.4,1968.0,1968.0,1968
Grown Steer,600-750,Processor,C,3,1,-6,344.0,344.0,344,22.0,637.0,637.0,637.0,2408.0,2408.0,2408
