Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 29/08/2024
Comparison Date: 15/08/2024
Total Yarding: 990 (+405)
Commentary
"The numbers almost doubled as access to yards dries out. The quality of the offering was very mixed with some good lines of quality cattle to suit restockers and feeders along with plainer lots. The condition of the offering showed a great variation with some very well finished grown cattle to suit processors as well as a run of plain quality light conditioned manufacturing steers. The usual processors were in attendance as were the usual restocker and feedlot orders.

Light weight steers were keenly sought by restockers heading into what looks to be an outstanding season. Both the weaners and the yearlings sold to dearer trends. The few medium weights also attracted strong competition from restockers and feedlotters to sell to a dearer trend also. Heavy weight feeder steers sold to a cheaper trend with some breed related price change also. Light and medium weight yearling heifers sold to dearer trends with some well bred heifers in forward condition presented.

The manufacturing steers sold strongly in comparison to the well finished good quality lines. There is no like for like comparison available from the last sale. Feeder steers with 2 or more teeth attracted strong demand despite a large number in the light weight class. Well finished, good quality heavy grown steers saw processor competition very strong with a much dearer market trend the result. That strong processor demand carried into the grown heifers and cows with market trends also dearer. The bull market was firm to slightly dearer taking quality into account."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,22,4,350.0,458.0,395.54545454545456,-30.0,673.1,880.8,760.7,785.4,1145.0,969.9454512162642
Yearling Steer,200-280,Restocker,D,2,4,-46,308.0,308.0,308,-51.2,616.0,616.0,616.0,770.0,770.0,770
Yearling Steer,280-330,Restocker,C,2,82,54,324.0,419.0,375.780487804878,-16.4,623.1,805.8,722.7,972.0,1382.7,1134.4194990948934
Yearling Steer,330-400,Feeder,C,2,26,NQ,326.0,390.0,373.9230769230769,NQ,626.9,750.0,719.1,1092.1,1501.5,1363.2576998197114
Yearling Steer,330-400,Restocker,C,2,6,-3,389.0,389.0,389,13.0,748.1,748.1,748.1,1361.5,1361.5,1361.5
Yearling Steer,400+,Feeder,C,2,6,-31,375.0,386.0,377.3333333333333,-31.7,721.2,742.3,725.6,1612.5,1701.0,1628.6999918619792
Yearling Steer,400+,Feeder,C,3,25,NQ,372.0,393.0,387.64,NQ,688.9,727.8,717.9,1636.8,2035.2,1775.672021484375
Yearling Steer,400+,Processor,C,3,2,NQ,380.0,380.0,380,NQ,690.9,690.9,690.9,1672.0,1672.0,1672
Yearling Heifer,200-280,Processor,C,2,3,NQ,282.0,282.0,282,NQ,542.3,542.3,542.3,747.3,747.3,747.2999674479166
Yearling Heifer,200-280,Restocker,C,2,17,4,320.0,358.0,341.4117647058824,27.9,615.4,688.5,656.6,768.0,823.4,802.9647001378677
Yearling Heifer,200-280,Restocker,D,2,18,NQ,235.0,346.0,271.6666666666667,NQ,470.0,692.0,543.3,493.5,782.0,574.2777777777778
Yearling Heifer,280-330,Feeder,C,2,11,NQ,354.0,354.0,354,NQ,680.8,680.8,680.8,1097.4,1097.4,1097.4000355113637
