Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 30/01/2025
Comparison Date: 16/01/2025
Total Yarding: 1540 (-620)
Commentary
"There was a reduction in supply by 600 head. The quality and condition of the offering was generally not as good as the previous sale. The exception being some very good heavy weight cows. There were limited numbers of well finished cattle to suit processors. Processor demand was weaker and there were less participants. The usual feedlot orders were in place along with some extra competition. 

The quality of the young cattle was a major factor in the significant price changes that were mainly in the negative. Market trends through the young cattle to restock and feed were generally cheaper. There were however isolated sales in both the steers and the heifers that held up reasonably well.

There were odd pens of grown steers and heifers suitable to feed that also held up close to levels of the last sale. Generally however market trends were cheaper. Limited availability and a lack of competition saw well finished grown steers and heifers to process much cheaper. Significantly cheaper trends through the cow market with limited processor competition. Heavy bulls were also much cheaper."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,36,9,337.0,380.0,361.02777777777777,-22.6,648.1,730.8,694.3,893.0,1024.8,958.558349609375
Yearling Steer,200-280,Restocker,D,2,55,NQ,352.0,396.0,380.1090909090909,NQ,704.0,792.0,760.2,827.2,1049.4,991.9291193181818
Yearling Steer,280-330,Feeder,C,2,6,1,348.0,348.0,348,-68.0,669.2,669.2,669.2,1148.4,1148.4,1148.4000651041667
Yearling Steer,280-330,Restocker,C,2,85,42,300.0,388.0,346.0470588235294,-12.7,576.9,746.2,671.5,855.0,1184.0,1037.5717687270221
Yearling Steer,280-330,Restocker,D,2,20,-9,230.0,320.0,297.5,2.3,460.0,640.0,595.0,736.0,957.0,921.85
Yearling Steer,330-400,Feeder,C,2,113,-1,340.0,380.0,363.0265486725664,-37.2,653.8,730.8,698.1,1206.0,1516.0,1303.3088270879425
Yearling Steer,330-400,Restocker,C,2,42,23,310.0,360.0,332.73809523809524,-57.9,596.2,692.3,639.9,1071.0,1224.0,1163.0904599144346
Yearling Steer,400+,Feeder,C,2,17,-90,344.0,350.0,347.88235294117646,-54.5,661.5,673.1,669.0,1453.2,1548.0,1473.247012867647
Yearling Steer,400+,Feeder,C,3,15,-4,354.0,370.0,365.73333333333335,-24.9,655.6,685.2,677.3,1876.2,2072.0,2019.7866536458334
Yearling Heifer,200-280,Restocker,C,2,53,42,255.0,311.0,284.4339622641509,-45.6,490.4,598.1,547.0,663.0,797.5,757.2141619988207
Yearling Heifer,200-280,Restocker,D,2,10,-20,258.0,258.0,258,-14.0,516.0,516.0,516.0,580.5,580.5,580.5
Yearling Heifer,280-330,Feeder,C,2,9,-5,316.0,316.0,316,-31.9,607.7,607.7,607.7,1042.8,1042.8,1042.800021701389
Yearling Heifer,280-330,Processor,C,2,12,NQ,245.0,280.0,261.4166666666667,NQ,471.2,538.5,502.7,759.5,798.0,780.4583333333334
