Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Heifer,330-400,Restocker,D,2,3,NQ,330.0,330.0,330,NQ,634.6,634.6,634.6,1254.0,1254.0,1254
Yearling Heifer,400+,Processor,D,3,3,NC,340.0,340.0,340,-12.0,629.6,629.6,629.6,1615.0,1615.0,1615
Vealer Steer,330+,Processor,B,2,1,NQ,310.0,310.0,310,NQ,553.6,553.6,553.6,1116.0,1116.0,1116
Vealer Steer,330+,Processor,B,3,3,NQ,370.0,370.0,370,NQ,637.9,637.9,637.9,1387.5,1387.5,1387.5
Vealer Heifer,280-330,Processor,D,3,1,NQ,310.0,310.0,310,NQ,574.1,574.1,574.1,930.0,930.0,930
Vealer Heifer,330+,Processor,B,3,2,NQ,370.0,370.0,370,NQ,637.9,637.9,637.9,1387.5,1387.5,1387.5
Vealer Heifer,330+,Processor,C,3,1,NQ,345.0,345.0,345,NQ,616.1,616.1,616.1,1242.0,1242.0,1242
Manufacturing Steer,0-540,Dairy,D,1,5,NQ,265.0,265.0,265,NQ,552.1,552.1,552.1,1431.0,1431.0,1431
Manufacturing Steer,0-540,Processor,D,1,1,NQ,266.0,266.0,266,NQ,578.3,578.3,578.3,1130.5,1130.5,1130.5
Manufacturing Steer,0-540,Restocker,D,2,1,NQ,338.0,338.0,338,NQ,637.7,637.7,637.7,1521.0,1521.0,1521
Manufacturing Steer,540+,Dairy,D,2,14,8,298.0,298.0,298,-22.0,573.1,573.1,573.1,1907.2,2086.0,1996.5999581473213
Manufacturing Steer,540+,Processor,D,2,1,-1,330.0,330.0,330,NC,622.6,622.6,622.6,2310.0,2310.0,2310
Manufacturing Steer,540+,Processor,D,3,3,NQ,324.0,340.0,333,NQ,611.3,629.6,620.4,2040.0,2177.5,2097.0333658854165
Manufacturing Steer,540+,Processor,D,4,4,NQ,322.0,342.0,337,NQ,596.3,633.3,624.1,2308.5,2415.0,2335.125
Manufacturing Steer,540+,Restocker,D,2,3,NQ,330.0,330.0,330,NQ,622.6,622.6,622.6,1815.0,1815.0,1815
Grown Steer,500-600,Processor,B,2,4,NQ,355.0,355.0,355,NQ,633.9,633.9,633.9,1952.5,1952.5,1952.5
Grown Steer,500-600,Processor,C,3,1,-2,370.0,370.0,370,-0.7,672.7,672.7,672.7,2127.5,2127.5,2127.5
Grown Steer,500-600,Restocker,C,2,34,NQ,350.0,364.0,358.61764705882354,NQ,648.1,674.1,664.1,1890.0,2018.3,1959.6514820772059
Grown Steer,500-600,Restocker,C,3,2,NQ,354.0,354.0,354,NQ,643.6,643.6,643.6,2124.0,2124.0,2124
Grown Steer,600-750,Processor,C,4,17,13,350.0,385.0,371.1764705882353,1.2,636.4,687.5,667.5,2275.0,2590.0,2475.735294117647
Grown Heifer,0-540,Processor,D,2,3,NQ,282.0,282.0,282,NQ,564.0,564.0,564.0,1198.5,1198.5,1198.5
Grown Heifer,0-540,Processor,D,3,11,NQ,346.0,346.0,346,NQ,665.4,665.4,665.4,1730.0,1730.0,1730
Grown Heifer,540+,Processor,D,3,12,6,350.0,355.0,354.1666666666667,9.2,648.1,657.4,655.9,1952.5,2012.5,1962.5
Cows,0-400,Dairy,D,1,3,NQ,173.0,173.0,173,NQ,384.4,384.4,384.4,648.8,648.8,648.75
Cows,0-400,Dairy,E,1,2,NQ,184.0,190.0,187,NQ,452.4,460.0,456.2,699.2,760.0,729.6000061035156
Cows,0-400,Processor,D,1,4,NQ,250.0,250.0,250,NQ,555.6,555.6,555.6,937.5,937.5,937.5
Cows,0-400,Processor,D,2,1,NQ,210.0,210.0,210,NQ,456.5,456.5,456.5,798.0,798.0,798
Cows,0-400,Processor,E,1,1,NC,222.0,222.0,222,102.0,528.6,528.6,528.6,888.0,888.0,888
Cows,0-400,Restocker,E,1,3,2,100.0,100.0,100,-108.0,263.2,263.2,263.2,325.0,325.0,325
Cows,400-520,Dairy,D,2,2,-4,246.0,246.0,246,-42.0,523.4,523.4,523.4,1107.0,1107.0,1107
Cows,400-520,Dairy,E,1,9,-2,212.0,212.0,212,-23.1,504.8,530.0,513.2,932.8,1060.0,1017.5999891493055
Cows,400-520,Processor,D,1,43,NQ,239.0,266.0,254.5581395348837,NQ,531.1,578.3,557.5,1099.4,1341.6,1227.683707303779
Cows,400-520,Processor,D,2,3,NQ,258.0,272.0,267.3333333333333,NQ,548.9,566.7,560.8,1161.0,1292.0,1248.3333333333333
Cows,400-520,Processor,D,3,1,NQ,296.0,296.0,296,NQ,592.0,592.0,592.0,1480.0,1480.0,1480
Cows,400-520,Processor,E,1,11,NQ,190.0,245.0,229.0909090909091,NQ,475.0,583.3,549.6,855.0,1160.0,1029.6818181818182
Cows,400-520,Restocker,D,1,18,17,253.0,267.0,262.8888888888889,-7.1,562.2,591.1,577.7,1197.0,1335.0,1267.3194444444443
Cows,400-520,Restocker,D,2,6,NQ,268.0,268.0,268,NQ,570.2,570.2,570.2,1273.0,1273.0,1273
Cows,520+,Dairy,D,1,9,3,255.0,255.0,255,-9.0,554.3,554.3,554.3,1402.5,1593.8,1530
Cows,520+,Dairy,D,2,5,3,270.0,275.0,273,-7.0,574.5,585.1,580.9,1552.5,1787.5,1693.5
Cows,520+,Processor,C,2,1,NQ,292.0,292.0,292,NQ,584.0,584.0,584.0,1606.0,1606.0,1606
Cows,520+,Processor,D,1,8,1,232.0,258.0,248.25,-27.8,515.6,560.9,543.9,1299.2,1444.8,1390.1999816894531
Cows,520+,Processor,D,2,43,28,255.0,295.0,278,-28.6,542.6,602.0,578.7,1402.5,1652.0,1542.0023392078488
Cows,520+,Processor,D,3,23,18,282.0,310.0,293.60869565217394,-31.2,564.0,620.0,592.9,1556.5,1860.0,1698.9608525815217
Cows,520+,Processor,D,4,40,19,290.0,322.0,306.85,-36.0,557.7,624.0,608.9,1748.0,2320.0,1914.3162353515625
Cows,520+,Processor,D,5,1,-1,285.0,285.0,285,-13.0,570.0,570.0,570.0,1995.0,1995.0,1995
Bulls,450-600,Processor,C,2,1,-1,296.0,296.0,296,6.0,548.1,548.1,548.1,1776.0,1776.0,1776
Bulls,600+,Processor,C,2,10,4,312.0,324.0,315.6,-12.1,552.6,578.6,561.6,2047.5,2835.0,2335.35
Bulls,600+,Processor,C,3,1,NC,318.0,318.0,318,-7.0,557.9,557.9,557.9,3021.0,3021.0,3021
