Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Bairnsdale
Report Date: 04/04/2024
Comparison Date: 14/03/2024
Total Yarding: 542 (+168)
Commentary
"Numbers increased to 542 cattle with the region still awaiting autumn rain. The market was dearer across all categories compared to the last Bairnsdale sale held three weeks ago. More than half the yarding was cows and they recorded the strongest gains of up to 20c/kg, with exporters giving good support to the lead pens of heavy and high yielding beef females. The line-up of younger cattle was very mixed with only limited lots suiting high-end domestic processing orders.

A small selection of European-sired vealer calves sold from 300c to 320c/kg, while a few stand-out animals in the yearling and grown steer and heifer sections also managed to sell above 300c to a top of 317c/kg. The general run of yearling types sold from 230c to 280c/kg depending on breed type and quality. 

Only a few bullocks were offered the best Angus to 290c, Herefords to 285c, while some neat grown Friesians reached 238.6c/kg. Once off the top lots the price range was mostly 260c to 280c/kg over grown steers with weight.

Cows dominated the yarding and included some heavy Limousin, Angus and Hereford. The main run of heavy beef cows sold from 248c to a top of 277c for a Limousin weighing over 700kg. The middle run of beef cows mostly 220c to 240c/kg, and light beef cows 195c to 220c. In the dairy run some big Friesian cows with fat cover sold from 207c to a top of 237.6c/kg. Leaner middle run of dairy cows 163c to 205c, followed by a few very light types down to 134c/kg.  A reasonable selection of bulls mostly made from 235c to 268c/kg lwt.

Report compiled remotely by Jenny Kelly."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Processor,C,3,1,NQ,300.0,300.0,300,NQ,535.7,535.7,535.7,1125.0,1125.0,1125
Yearling Steer,330-400,Processor,D,3,3,NQ,250.0,250.0,250,NQ,471.7,471.7,471.7,900.0,900.0,900
Yearling Steer,400+,Processor,C,2,1,-2,260.0,260.0,260,20.0,481.5,481.5,481.5,1170.0,1170.0,1170
Yearling Heifer,400+,Processor,C,3,4,NQ,270.0,270.0,270,NQ,509.4,509.4,509.4,1232.8,1232.8,1232.8199462890625
Yearling Heifer,400+,Processor,D,3,1,-3,240.0,240.0,240,-20.0,461.5,461.5,461.5,984.0,984.0,984
Vealer Heifer,330+,Processor,B,3,4,NQ,300.0,320.0,310,NQ,535.7,571.4,553.6,1248.0,1485.0,1361.25
Manufacturing Steer,0-540,Restocker,D,2,4,1,181.6,181.6,181.60000610351562,-38.4,363.2,363.2,363.2,749.1,749.1,749.0999755859375
Manufacturing Steer,540+,Dairy,D,2,4,3,197.6,197.6,197.60000610351562,-0.4,420.4,420.4,420.4,1264.6,1264.6,1264.6400146484375
Grown Steer,400-500,Processor,D,3,4,NQ,235.0,235.0,235,NQ,443.4,443.4,443.4,1081.0,1081.0,1081
Grown Steer,400-500,Restocker,C,2,2,NQ,256.0,256.0,256,NQ,492.3,492.3,492.3,1254.4,1254.4,1254.4000244140625
Grown Steer,500-600,Feeder,C,2,3,NQ,279.0,279.0,279,NQ,526.4,526.4,526.4,1523.3,1523.3,1523.3400065104167
