Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Bairnsdale
Report Date: 05/02/2025
Comparison Date: 29/01/2025
Total Yarding: 288 (-15)
Commentary
"There were approximately 270 export and 20 young cattle penned representing a decrease of 15 head week-on-week. The usual buying group was present and operating in a cheaper market in places. Quality was limited again with cows making up most of the sale and very few prime cattle penned. The sprinkling of well finished cattle sold firm while secondary and plainer lots eased. Cows sold from 5c to 20c/kg cheaper and more where quality was an issue. Heavy bulls sold firm to slightly dearer. 

Yearling steers to restockers sold from 270c to 285c/kg. A couple of yearling heifers with finish made 312c/kg. Grown steers sold between 340c and 345c/kg. Manufacturing steers made from 240c to 309c/kg. Most light and medium weight cows sold from 200c to 240c/kg. Heavy weight cows made mostly between 238c and 290c/kg. Heavy bulls sold between 262c and 309c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Processor,D,2,3,NQ,286.0,286.0,286,NQ,550.0,550.0,550.0,1072.5,1072.5,1072.5
Yearling Steer,330-400,Restocker,C,2,3,2,285.0,285.0,285,-5.0,527.8,527.8,527.8,1054.5,1054.5,1054.5
Yearling Steer,400+,Restocker,C,2,1,-2,270.0,270.0,270,-60.0,500.0,500.0,500.0,1215.0,1215.0,1215
Yearling Heifer,280-330,Restocker,D,1,2,NQ,220.0,220.0,220,NQ,458.3,458.3,458.3,660.0,660.0,660
Yearling Heifer,280-330,Restocker,D,2,4,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,825.0,825.0,825
Yearling Heifer,330-400,Processor,D,2,1,NQ,278.0,278.0,278,NQ,534.6,534.6,534.6,973.0,973.0,973
Yearling Heifer,330-400,Restocker,D,2,1,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,950.0,950.0,950
Yearling Heifer,400+,Processor,D,3,5,NQ,312.0,313.0,312.2,NQ,577.8,590.6,580.3,1404.0,1408.5,1404.9
Manufacturing Steer,0-540,Restocker,D,2,4,NQ,240.0,282.0,261,NQ,461.5,542.3,501.9,1260.0,1480.5,1370.25
Manufacturing Steer,540+,Dairy,D,2,4,NQ,272.0,272.0,272,NQ,523.1,523.1,523.1,1849.6,1849.6,1849.5999755859375
Manufacturing Steer,540+,Processor,D,3,1,NQ,309.0,309.0,309,NQ,572.2,572.2,572.2,2163.0,2163.0,2163
Manufacturing Steer,540+,Processor,D,4,2,-1,288.0,288.0,288,-10.7,523.6,523.6,523.6,2304.0,2304.0,2304
Manufacturing Steer,540+,Restocker,D,2,12,NQ,280.0,290.0,283.3333333333333,NQ,528.3,547.2,534.6,1568.0,1667.5,1601.1666666666667
Grown Steer,500-600,Processor,C,3,3,NC,345.0,345.0,345,9.0,616.1,616.1,616.1,1983.8,1983.8,1983.75
