Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Bairnsdale
Report Date: 06/06/2024
Comparison Date: 30/05/2024
Total Yarding: 497 (+37)
Commentary
"There were approximately 380 export and 120 young cattle penned representing an increase of 40 head week-on-week. Most of the usual buying group was present and operating in a dearer market in places. Quality improved with more prime cattle and fewer cows. Trade cattle sold to stronger demand however there were too few yarded previously for comparison. Grown steers and bullocks sold firm. Manufacturing steers sold up to 30c/kg dearer. Cows kicked 20c to 40c/kg. Heavy bulls sold firm. 

Vealers sold from 244c to 322c/kg. A sprinkling of yearling trade steers reached 330c/kg. A small but good selection of yearling heifers to the trade made between 290c and 310c/kg. Grown steers and bullocks sold between 270c and 331c/kg. A good quality selection of grown heifers with finish made from 280c to 320c/kg. 

Heavy manufacturing steers sold from 250c to 322c/kg. Most light and medium weight cows made between 155c and 242c/kg. Heavy weight cows sold mostly between 192c and 285c/kg. Heavy bulls sold between 212c and 247c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Processor,C,2,1,NQ,250.0,250.0,250,NQ,463.0,463.0,463.0,950.0,950.0,950
Yearling Steer,400+,Processor,C,3,1,NQ,330.0,330.0,330,NQ,589.3,589.3,589.3,1584.0,1584.0,1584
Yearling Heifer,330-400,Processor,D,2,4,NQ,246.0,246.0,246,NQ,473.1,473.1,473.1,905.3,905.3,905.280029296875
Yearling Heifer,330-400,Processor,D,3,2,NQ,290.0,290.0,290,NQ,537.0,537.0,537.0,1102.0,1102.0,1102
Yearling Heifer,330-400,Processor,E,2,1,NQ,225.0,225.0,225,NQ,468.8,468.8,468.8,866.3,866.3,866.25
Yearling Heifer,330-400,Restocker,D,1,7,NQ,220.0,247.0,239.28571428571428,NQ,458.3,514.6,498.5,820.6,867.0,853.7213657924107
Yearling Heifer,330-400,Restocker,D,2,2,NQ,224.0,224.0,224,NQ,430.8,430.8,430.8,896.0,896.0,896
Yearling Heifer,400+,Feeder,C,2,9,NQ,302.0,305.0,303,NQ,559.3,564.8,561.1,1301.6,1381.7,1328.296657986111
Yearling Heifer,400+,Feeder,D,2,10,NQ,285.0,285.0,285,NQ,548.1,548.1,548.1,1151.4,1151.4,1151.4
Yearling Heifer,400+,Processor,C,3,2,NQ,310.0,310.0,310,NQ,553.6,553.6,553.6,1280.3,1280.3,1280.300048828125
Yearling Heifer,400+,Processor,D,2,2,-1,235.0,235.0,235,15.0,451.9,451.9,451.9,975.3,975.3,975.25
Yearling Heifer,400+,Processor,D,3,23,NQ,294.0,308.0,301.04347826086956,NQ,544.4,570.4,557.5,1273.0,1376.8,1331.3478260869565
Yearling Heifer,400+,Restocker,D,2,10,-3,220.0,274.0,268.6,-0.7,423.1,548.0,535.5,968.0,1161.8,1142.383984375
Vealer Steer,330+,Processor,B,3,6,NQ,322.0,322.0,322,NQ,555.2,555.2,555.2,1288.0,1288.0,1288
Vealer Steer,330+,Processor,C,3,7,5,310.0,310.0,310,-20.0,553.6,553.6,553.6,1221.4,1221.4,1221.3999720982142
Vealer Heifer,280-330,Processor,B,2,2,NQ,310.0,310.0,310,NQ,543.9,543.9,543.9,930.0,930.0,930
Vealer Heifer,280-330,Processor,C,2,3,1,244.0,244.0,244,24.0,451.9,451.9,451.9,739.3,739.3,739.3199869791666
