Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Bairnsdale
Report Date: 10/07/2024
Comparison Date: 03/07/2024
Total Yarding: 300 (+88)
Commentary
"There were approximately 230 export and 70 young cattle penned representing an increase of 90 head week-on-week. The usual buying group was present and operating in a dearer market. Quality was limited with a reasonable selection of heifers while cows made up over half of the sale. Yearling trade heifers lifted 32c/kg. Grown steers and bullocks improved 30c/kg. Cows sold 20c to 40c/kg dearer. Heavy bulls gained 7c/kg. 

A handful of vealers sold from 240c to 388c/kg. Yearling trade heifers made between 300c and 370c/kg. Grown steers and bullocks sold between 290c and 350c/kg. Most light and medium weight cows made from 206c to 265c/kg. Heavy weight cows sold mostly from 220c to 315c/kg. Heavy bulls made between 240c and 270c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,400+,Processor,C,3,1,NQ,320.0,320.0,320,NQ,581.8,581.8,581.8,1360.0,1360.0,1360
Yearling Steer,400+,Processor,D,3,1,NQ,280.0,280.0,280,NQ,518.5,518.5,518.5,1190.0,1190.0,1190
Yearling Heifer,280-330,Processor,D,2,1,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,715.0,715.0,715
Yearling Heifer,280-330,Restocker,D,1,2,NQ,180.0,180.0,180,NQ,360.0,360.0,360.0,576.0,576.0,576
Yearling Heifer,280-330,Restocker,D,2,1,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,726.0,726.0,726
Yearling Heifer,330-400,Processor,D,2,3,NQ,236.0,274.0,261.3333333333333,NQ,453.8,526.9,502.6,885.0,931.6,916.066650390625
Yearling Heifer,330-400,Processor,D,3,2,NQ,300.0,310.0,305,NQ,555.6,574.1,564.8,1125.0,1178.0,1151.5
Yearling Heifer,330-400,Restocker,D,2,1,-3,284.0,284.0,284,11.5,546.2,546.2,546.2,1079.2,1079.2,1079.199951171875
Yearling Heifer,400+,Processor,B,3,4,NQ,370.0,370.0,370,NQ,637.9,637.9,637.9,1702.0,1702.0,1702
Yearling Heifer,400+,Processor,D,2,6,NQ,305.0,305.0,305,NQ,586.5,586.5,586.5,1403.0,1403.0,1403
Yearling Heifer,400+,Processor,D,3,32,28,300.0,340.0,331.5625,31.6,566.0,629.6,613.6,1320.0,1615.0,1515.21875
Yearling Heifer,400+,Restocker,D,2,2,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,1100.0,1100.0,1100
Vealer Steer,280-330,Processor,C,2,2,NQ,240.0,240.0,240,NQ,444.4,444.4,444.4,780.0,780.0,780
Vealer Steer,330+,Processor,B,3,2,NQ,388.0,388.0,388,NQ,669.0,669.0,669.0,1358.0,1358.0,1358
Vealer Steer,330+,Processor,C,2,1,NQ,270.0,270.0,270,NQ,490.9,490.9,490.9,945.0,945.0,945
