Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Bairnsdale
Report Date: 11/12/2024
Comparison Date: 04/12/2024
Total Yarding: 362 (+20)
Commentary
"There were approximately 310 export and 50 young cattle penned representing an increase of 20 head week-on-week. The usual buying group was present but not all operating fully in a mixed market. Quality declined with fewer prime lots and a smaller proportion of cows. Young cattle sold firm to restockers as there were few suited to the trade. A handful of grown steers and bullocks sold firm. Manufacturing steers eased a little with quality an issue. Light conditioned dairy cows eased 10c to 15c while heavy beef cows improved 5c to 10c/kg. Heavy bulls gained 5c/kg. 

A few yearling steers to restockers made 318c with the heifer portion from 236c to 274c/kg. Grown steers and bullocks made between 329c and 345c/kg. Manufacturing steers sold between 222c and 288c/kg. Most light and medium weight cows made from 190c to 267c/kg. Heavy weight cows sold mostly from 254c to 305c/kg. Heavy bulls made between 245c and 290c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Dairy,D,1,4,NQ,210.0,210.0,210,NQ,466.7,466.7,466.7,682.5,682.5,682.5
Yearling Steer,400+,Restocker,C,2,12,6,318.0,318.0,318,4.0,588.9,588.9,588.9,1351.5,1351.5,1351.5
Yearling Heifer,330-400,Processor,D,2,18,NQ,250.0,298.0,274.8888888888889,NQ,500.0,573.1,529.2,900.0,1102.6,1042.566650390625
Yearling Heifer,330-400,Processor,D,3,1,NQ,260.0,260.0,260,NQ,481.5,481.5,481.5,936.0,936.0,936
Yearling Heifer,330-400,Restocker,D,2,9,NQ,236.0,274.0,252.88888888888889,NQ,453.8,526.9,486.3,944.0,1041.2,987.1999782986111
Yearling Heifer,400+,Processor,D,3,1,-23,320.0,320.0,320,7.4,592.6,592.6,592.6,1600.0,1600.0,1600
Vealer Heifer,280-330,Processor,C,3,1,NQ,338.0,338.0,338,NQ,603.6,603.6,603.6,1098.5,1098.5,1098.5
Manufacturing Steer,0-540,Dairy,E,2,10,NQ,222.0,222.0,222,NQ,493.3,493.3,493.3,832.5,832.5,832.5
Manufacturing Steer,540+,Dairy,D,2,9,5,276.0,288.0,281.3333333333333,-13.7,541.2,543.4,542.2,1863.0,2088.0,1963
Manufacturing Steer,540+,Processor,D,4,1,-1,256.0,256.0,256,-32.0,474.1,474.1,474.1,2304.0,2304.0,2304
Grown Steer,500-600,Processor,C,3,2,NQ,340.0,340.0,340,NQ,618.2,618.2,618.2,1955.0,1955.0,1955
Grown Steer,500-600,Restocker,C,2,11,8,329.0,330.0,329.54545454545456,1.5,609.3,611.1,610.3,1710.8,1732.5,1722.6363636363637
Grown Steer,600-750,Processor,C,4,6,NQ,340.0,345.0,341.6666666666667,NQ,618.2,627.3,621.2,2176.0,2208.0,2186.6666666666665
Grown Heifer,0-540,Dairy,D,1,3,NQ,241.0,241.0,241,NQ,523.9,523.9,523.9,964.0,964.0,964
