Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Bairnsdale
Report Date: 14/08/2024
Comparison Date: 07/08/2024
Total Yarding: 334 (+119)
Commentary
"There were approximately 280 export and 55 young cattle penned representing an increase of 120 head week-on-week. There was one export processor absent after operating last sale with all of the regular buyers present and operating in a dearer market in places. Quality improved with a far better selection of trade and grown cattle on offer. Trade cattle prices were significantly higher than recent sales in line with quality. Grown steers and bullocks sold to solid demand. Cows sold up to 5c/kg easier to processors. Heavy bulls lifted 15c/kg. 

Yearling trade steers sold from 406c to 430c/kg. Yearling heifers to the trade made between 316c and 438c/kg. Grown steers and bullocks sold between 352c and 380c/kg. 

Manufacturing steers made from 286c to 318c/kg. Most light and medium weight cows sold from 218c to 315c/kg. Heavy weight cows made mostly between 262c and 338c/kg. Light and medium weight restocking cows sold between 160c and 280c/kg. Heavy bulls made from 318c to 368c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Processor,C,2,1,NQ,328.0,328.0,328,NQ,607.4,607.4,607.4,1115.2,1115.2,1115.199951171875
Yearling Steer,330-400,Restocker,C,2,1,NQ,300.0,300.0,300,NQ,555.6,555.6,555.6,1200.0,1200.0,1200
Yearling Steer,330-400,Restocker,D,1,1,NQ,256.0,256.0,256,NQ,533.3,533.3,533.3,1024.0,1024.0,1024
Yearling Steer,400+,Processor,B,3,3,NQ,406.0,430.0,414,NQ,712.3,741.4,722.0,1705.2,1935.0,1781.7999674479167
Yearling Heifer,330-400,Processor,B,3,1,NQ,438.0,438.0,438,NQ,755.2,755.2,755.2,1576.8,1576.8,1576.800048828125
Yearling Heifer,330-400,Processor,C,3,2,NQ,372.0,380.0,376,NQ,664.3,678.6,671.4,1425.0,1488.0,1456.5
Yearling Heifer,330-400,Processor,D,3,5,NQ,316.0,394.0,369.6,NQ,596.2,729.6,686.7,1137.6,1576.0,1397.4199951171875
Yearling Heifer,330-400,Restocker,D,1,1,NQ,256.0,256.0,256,NQ,533.3,533.3,533.3,921.6,921.6,921.5999755859375
Yearling Heifer,330-400,Restocker,D,2,9,7,270.0,300.0,280.22222222222223,-23.8,519.2,600.0,544.0,972.0,1140.0,1009.7777777777778
Yearling Heifer,330-400,Restocker,D,3,4,NQ,322.0,322.0,322,NQ,607.5,607.5,607.5,1288.0,1288.0,1288
Yearling Heifer,400+,Processor,B,3,13,NQ,398.0,438.0,425.0769230769231,NQ,698.2,755.2,735.7,1751.2,1935.0,1890.1845703125
Yearling Heifer,400+,Processor,D,3,3,-8,330.0,330.0,330,-26.8,611.1,611.1,611.1,1452.0,1452.0,1452
Yearling Heifer,400+,Processor,D,4,1,NQ,326.0,326.0,326,NQ,603.7,603.7,603.7,1385.5,1385.5,1385.5
Vealer Steer,200-280,Restocker,D,2,4,NQ,238.0,238.0,238,NQ,457.7,457.7,457.7,654.5,654.5,654.5
Vealer Heifer,200-280,Restocker,D,2,2,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,575.0,575.0,575
Manufacturing Steer,0-540,Dairy,D,1,7,4,288.0,288.0,288,3.0,600.0,600.0,600.0,1440.0,1440.0,1440
Manufacturing Steer,0-540,Dairy,D,2,7,NQ,286.0,286.0,286,NQ,572.0,572.0,572.0,1358.5,1358.5,1358.5
