Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Bairnsdale
Report Date: 15/01/2025
Comparison Date: 08/01/2025
Total Yarding: 530 (+233)
Commentary
"There were approximately 430 export and 100 young cattle penned representing an increase of 230 head week-on-week. The usual buying group was present and operating in a cheaper market. Quality was mixed with some good trade cattle and some well finished heavy weights in the grown while secondary cattle were well supplied. Trade cattle eased 16c/kg for most and more in places. Grown steers and bullocks sold firm to 10c easier and manufacturing steers lost 17c/kg. Heavy heifers gave back 25c/kg. Cows eased 10c to 15c/kg. Heavy bulls improved 9c/kg. 

Vealers sold from 290c to 332c/kg. Yearling heifers to the trade made between 310c and 330c/kg. Grown steers and bullocks sold between 330c and 350c/kg. Heavy grown heifers with finish made from 321c to 339c/kg. 

Manufacturing steers sold from 270c to 340c/kg. Most light and medium weight cows made between 230c and 280c/kg. Heavy weight cows sold mostly between 260c and 314c/kg. Heavy bulls made from 256c to 307c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,400+,Restocker,D,2,1,NQ,320.0,320.0,320,NQ,603.8,603.8,603.8,1360.0,1360.0,1360
Yearling Heifer,280-330,Restocker,D,2,4,NQ,262.0,262.0,262,NQ,503.8,503.8,503.8,838.4,838.4,838.4000244140625
Yearling Heifer,330-400,Processor,D,2,2,1,264.0,264.0,264,-52.0,507.7,507.7,507.7,1003.2,1003.2,1003.2000122070312
Yearling Heifer,330-400,Processor,D,3,11,9,310.0,338.0,312.54545454545456,-32.5,574.1,625.9,578.8,1178.0,1267.5,1186.1363636363637
Yearling Heifer,330-400,Restocker,C,2,14,NQ,318.0,330.0,323.14285714285717,NQ,600.0,622.6,609.7,1113.0,1221.0,1159.2857142857142
Yearling Heifer,330-400,Restocker,D,2,2,-3,300.0,300.0,300,6.2,576.9,576.9,576.9,1140.0,1140.0,1140
Yearling Heifer,400+,Processor,C,3,2,NQ,330.0,330.0,330,NQ,600.0,600.0,600.0,1716.0,1716.0,1716
Yearling Heifer,400+,Processor,D,2,2,NQ,277.0,277.0,277,NQ,532.7,532.7,532.7,1177.3,1177.3,1177.25
Yearling Heifer,400+,Processor,D,3,18,-7,314.0,330.0,327.6111111111111,-16.7,592.5,611.1,607.3,1334.5,1558.0,1520
Yearling Heifer,400+,Processor,D,4,3,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,1275.0,1275.0,1275
Yearling Heifer,400+,Restocker,C,2,6,NQ,330.0,330.0,330,NQ,611.1,611.1,611.1,1452.0,1452.0,1452
Yearling Heifer,400+,Restocker,D,2,6,NQ,270.0,320.0,303.3333333333333,NQ,519.2,615.4,583.3,1147.5,1408.0,1321.1666666666667
Yearling Heifer,400+,Restocker,D,3,1,NQ,305.0,305.0,305,NQ,575.5,575.5,575.5,1296.3,1296.3,1296.25
Vealer Steer,200-280,Processor,C,2,1,NQ,300.0,300.0,300,NQ,535.7,535.7,535.7,825.0,825.0,825
Vealer Steer,280-330,Processor,B,2,1,NQ,306.0,306.0,306,NQ,546.4,546.4,546.4,994.5,994.5,994.5
Vealer Steer,330+,Processor,B,2,4,NQ,332.0,332.0,332,NQ,582.5,582.5,582.5,1228.4,1228.4,1228.4000244140625
Vealer Heifer,200-280,Processor,C,2,1,NQ,300.0,300.0,300,NQ,535.7,535.7,535.7,825.0,825.0,825
