Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Bairnsdale
Report Date: 21/08/2024
Comparison Date: 14/08/2024
Total Yarding: 261 (-73)
Commentary
"There were approximately 240 export and 20 young cattle penned representing a decrease of 70 head week-on-week. The usual buying group was present and operating in a mostly firm market which was cheaper in places. Quality was limited with cows making up the majority of the sale. A handful of young cattle suited to the trade sold firm. A sprinkling of manufacturing steers improved slightly. Heavy beef cows sold firm while lighter conditioned lots eased up to 7c/kg. Heavy bulls lost 10c to 30c/kg. 

Yearling heifers to the trade sold from 380c to 436c/kg. A pen of grown steers made 363c/kg. Manufacturing steers made between 300c and 350c/kg. Most light and medium weight cows sold between 216c and 313c/kg. Heavy weight cows made mostly from 283c to 346c/kg. Heavy bulls sold from 288c to 350c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Restocker,D,2,2,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,770.0,770.0,770
Yearling Heifer,280-330,Restocker,D,2,3,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,891.0,891.0,891
Yearling Heifer,330-400,Processor,D,2,3,NQ,295.0,295.0,295,NQ,567.3,567.3,567.3,1180.0,1180.0,1180
Yearling Heifer,330-400,Processor,E,2,2,NQ,288.0,288.0,288,NQ,600.0,600.0,600.0,1008.0,1008.0,1008
Yearling Heifer,400+,Processor,B,3,6,-7,436.0,436.0,436,10.9,726.7,726.7,726.7,1853.0,1853.0,1853
Yearling Heifer,400+,Processor,C,3,1,NQ,380.0,380.0,380,NQ,690.9,690.9,690.9,1805.0,1805.0,1805
Yearling Heifer,400+,Processor,D,2,2,NQ,306.0,324.0,315,NQ,588.5,623.1,605.8,1377.0,1377.0,1377
Vealer Heifer,280-330,Processor,D,2,1,NQ,260.0,260.0,260,NQ,500.0,500.0,500.0,858.0,858.0,858
Manufacturing Steer,540+,Dairy,D,2,5,3,318.0,322.0,321.2,3.2,611.5,619.2,617.7,2067.0,2173.5,2152.2
Manufacturing Steer,540+,Processor,D,2,2,NQ,300.0,300.0,300,NQ,566.0,576.9,571.5,1650.0,1950.0,1800
Manufacturing Steer,540+,Processor,D,3,15,NQ,330.0,350.0,341.6666666666667,NQ,611.1,648.1,638.2,2022.0,2310.0,2186.6666666666665
Manufacturing Steer,540+,Restocker,D,2,8,NQ,320.0,326.0,323,NQ,603.8,615.1,609.4,1793.0,1856.0,1824.5
Grown Steer,500-600,Processor,C,2,1,NQ,360.0,360.0,360,NQ,666.7,666.7,666.7,2160.0,2160.0,2160
Grown Steer,500-600,Processor,D,3,7,NQ,363.0,363.0,363,NQ,672.2,672.2,672.2,2087.3,2087.3,2087.25
Grown Heifer,540+,Processor,D,4,2,NQ,335.0,335.0,335,NQ,620.4,620.4,620.4,2261.3,2261.3,2261.25
