Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Bairnsdale
Report Date: 22/01/2025
Comparison Date: 15/01/2025
Total Yarding: 352 (-178)
Commentary
"There were approximately 270 export and 80 young cattle penned representing a decrease of 180 head week-on-week. The usual buying group was present and operating in a cheaper market on some sales. Quality was good with some well finished grown and a limited selection of trade. Yearling heifers to the trade sold firm while a handful of vealers lacking finish sold to weaker demand. Grown steers and bullocks sold firm. Manufacturing steers eased 5c/kg. Heavy beef cows sold firm while light dairy lots eased 15c/kg. Heavy bulls sold firm. 

Vealers sold from 277c to 296c/kg. Yearling steers to restockers made between 306c and 330c/kg. Yearling heifers to the trade sold between 320c and 326c/kg. Grown steers and bullocks made from 338c to 350c/kg. 

Manufacturing steers sold from 268c to 330c/kg. Most light and medium weight cows made between 200c and 275c/kg. Heavy weight cows sold mostly between 255c and 310c/kg. Heavy bulls made from 268c to 295c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Restocker,C,2,18,NQ,315.0,330.0,324,NQ,583.3,611.1,600.0,1134.0,1320.0,1275
Yearling Steer,330-400,Restocker,D,2,8,NQ,306.0,306.0,306,NQ,577.4,577.4,577.4,1147.5,1147.5,1147.5
Yearling Steer,400+,Processor,C,3,2,NQ,320.0,320.0,320,NQ,581.8,581.8,581.8,1360.0,1360.0,1360
Yearling Steer,400+,Restocker,C,2,6,NQ,325.0,325.0,325,NQ,601.9,601.9,601.9,1543.8,1543.8,1543.75
Yearling Heifer,280-330,Restocker,D,2,2,-2,270.0,270.0,270,8.0,540.0,540.0,540.0,891.0,891.0,891
Yearling Heifer,330-400,Restocker,D,2,6,4,296.0,296.0,296,-4.0,592.0,592.0,592.0,1110.0,1110.0,1110
Yearling Heifer,400+,Processor,C,3,5,3,320.0,320.0,320,-10.0,581.8,581.8,581.8,1360.0,1360.0,1360
Yearling Heifer,400+,Processor,D,2,3,1,304.0,304.0,304,27.0,584.6,584.6,584.6,1292.0,1292.0,1292
Yearling Heifer,400+,Processor,D,3,13,-5,326.0,326.0,326,-1.6,603.7,603.7,603.7,1499.6,1499.6,1499.5999098557693
Vealer Steer,330+,Processor,B,2,4,NC,294.0,294.0,294,-38.0,525.0,525.0,525.0,1029.0,1029.0,1029
Vealer Heifer,280-330,Processor,C,2,6,NQ,277.0,277.0,277,NQ,503.6,503.6,503.6,914.1,914.1,914.0999348958334
Manufacturing Steer,0-540,Dairy,E,2,1,NQ,282.0,282.0,282,NQ,587.5,587.5,587.5,1410.0,1410.0,1410
Manufacturing Steer,0-540,Processor,D,2,2,-8,268.0,268.0,268,-31.0,558.3,558.3,558.3,1179.2,1179.2,1179.199951171875
Manufacturing Steer,0-540,Restocker,D,2,1,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,1425.0,1425.0,1425
Manufacturing Steer,540+,Dairy,D,2,10,-10,296.0,300.0,297.6,-4.8,576.9,592.0,586.0,1702.0,2175.0,1891.2
Manufacturing Steer,540+,Processor,D,2,4,-4,310.0,315.0,311.25,-3.0,584.9,594.3,587.3,1811.3,1984.0,1940.8125
Manufacturing Steer,540+,Processor,D,3,2,-15,330.0,330.0,330,-1.3,611.1,611.1,611.1,2145.0,2145.0,2145
