Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Bairnsdale
Report Date: 29/01/2025
Comparison Date: 22/01/2025
Total Yarding: 303 (-49)
Commentary
"There were approximately 270 export and 30 young cattle penned representing a decrease of 50 head week-on-week. Most of the usual buying group was present and operating in a cheaper market in places. Quality declined with prime cattle in short supply and cows representing the majority of the sale. The sprinkling of prime cattle sold to firm demand. Cows eased 5c to 15c/kg on most sales. Heavy bulls held firm. 

A handful of yearling steers and heifers to the trade sold from 324c to 340c/kg. A few grown steers made 336c/kg. Manufacturing steers sold between 287c and 308c/kg. Most light and medium weight cows made from 216c to 267c/kg. Heavy weight cows sold mostly from 252c to 295c/kg. Heavy bulls made between 280c and 295c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Processor,C,3,1,NQ,324.0,324.0,324,NQ,589.1,589.1,589.1,1231.2,1231.2,1231.199951171875
Yearling Steer,330-400,Restocker,C,2,1,-17,290.0,290.0,290,-34.0,537.0,537.0,537.0,1044.0,1044.0,1044
Yearling Steer,400+,Processor,B,2,3,NQ,340.0,340.0,340,NQ,596.5,596.5,596.5,1496.0,1496.0,1496
Yearling Steer,400+,Processor,C,3,6,4,340.0,340.0,340,20.0,618.2,618.2,618.2,1530.0,1530.0,1530
Yearling Steer,400+,Restocker,C,2,3,-3,330.0,330.0,330,5.0,611.1,611.1,611.1,1402.5,1402.5,1402.5
Yearling Heifer,330-400,Processor,D,3,9,NQ,335.0,335.0,335,NQ,620.4,620.4,620.4,1273.0,1273.0,1273
Vealer Steer,280-330,Restocker,B,2,4,NQ,292.0,292.0,292,NQ,521.4,521.4,521.4,934.4,934.4,934.4000244140625
Vealer Heifer,280-330,Processor,B,2,1,NQ,330.0,330.0,330,NQ,589.3,589.3,589.3,990.0,990.0,990
Manufacturing Steer,0-540,Processor,D,2,5,3,287.0,287.0,287,19.0,574.0,574.0,574.0,1506.8,1506.8,1506.75
Manufacturing Steer,540+,Processor,D,2,1,-3,298.0,298.0,298,-13.3,573.1,573.1,573.1,1937.0,1937.0,1937
Manufacturing Steer,540+,Processor,D,4,3,NQ,294.0,308.0,298.6666666666667,NQ,544.4,570.4,553.1,1984.5,2002.0,1990.3333333333333
Grown Steer,500-600,Processor,C,3,3,-25,336.0,336.0,336,-12.7,610.9,610.9,610.9,1932.0,1932.0,1932
Grown Steer,500-600,Processor,D,3,1,NQ,330.0,330.0,330,NQ,611.1,611.1,611.1,1980.0,1980.0,1980
Grown Heifer,0-540,Restocker,D,2,4,NQ,312.0,312.0,312,NQ,624.0,624.0,624.0,1638.0,1638.0,1638
Grown Heifer,540+,Processor,D,4,1,NQ,297.0,297.0,297,NQ,571.2,571.2,571.2,1707.8,1707.8,1707.75
