Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Bairnsdale
Report Date: 29/02/2024
Comparison Date: 15/02/2024
Total Yarding: 551 (-91)
Commentary
"There were approximately 475 export and 75 young cattle penned representing a decrease of 90 head from the sale of a fortnight ago. An export processor rejoined the regular buyers after a long absence in a dearer market in places. Quality improved with a better selection of prime cattle and more finish throughout. Finished trade cattle sold close to firm while plainer young cattle sold up to 45c/kg cheaper. Grown cattle sold mostly 15c to 30c/kg dearer with quality playing a role. Heavy cows sold from 5c to 15c/kg dearer while a buyer not operating on leaner grades saw prices up to 15c/kg cheaper and sparked more interest from restockers. Heavy bulls lost 7c/kg. 

A couple of vealers lacking finish sold from 250c to 275c/kg. Yearling heifers suited to the trade made between 255c and 275c/kg. Grown steers and bullocks sold between 258c and 306c/kg. 

Heavy manufacturing steers made from 220c to 287c/kg. Most light and medium weight cows sold from 110c to 235c/kg. Heavy weight cows made mostly between 190c and 264c/kg. Heavy bulls sold between 219c and 244c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,400+,Restocker,D,2,5,4,194.0,194.0,194,14.0,366.0,366.0,366.0,820.6,820.6,820.62001953125
Yearling Heifer,330-400,Restocker,D,2,4,NQ,205.0,205.0,205,NQ,394.2,394.2,394.2,754.4,754.4,754.4000244140625
Yearling Heifer,330-400,Restocker,D,3,2,1,255.0,255.0,255,13.0,472.2,472.2,472.2,994.5,994.5,994.5
Yearling Heifer,400+,Dairy,E,2,4,NQ,192.0,192.0,192,NQ,400.0,400.0,400.0,912.0,912.0,912
Yearling Heifer,400+,Processor,D,2,4,NQ,265.0,265.0,265,NQ,509.6,509.6,509.6,1507.8,1507.8,1507.8499755859375
Yearling Heifer,400+,Processor,D,3,14,5,261.0,275.0,267,-4.1,483.3,509.3,494.4,1213.7,1295.3,1248.6214425223213
Yearling Heifer,400+,Restocker,C,2,11,NQ,260.0,260.0,260,NQ,490.6,490.6,490.6,1164.8,1164.8,1164.8000710227273
Yearling Heifer,400+,Restocker,D,2,6,-9,224.0,224.0,224,-46.3,430.8,430.8,430.8,956.5,956.5,956.47998046875
Vealer Steer,330+,Restocker,C,2,2,NQ,250.0,250.0,250,NQ,463.0,463.0,463.0,962.5,962.5,962.5
Vealer Heifer,280-330,Processor,C,2,1,NQ,250.0,250.0,250,NQ,463.0,463.0,463.0,750.0,750.0,750
Vealer Heifer,330+,Processor,C,2,4,NQ,260.0,260.0,260,NQ,472.7,472.7,472.7,1021.8,1021.8,1021.7999877929688
Vealer Heifer,330+,Processor,C,3,1,-1,278.0,278.0,278,-7.0,496.4,496.4,496.4,1014.7,1014.7,1014.7000122070312
Vealer Heifer,330+,Processor,D,2,1,NQ,190.0,190.0,190,NQ,365.4,365.4,365.4,712.5,712.5,712.5
Manufacturing Steer,0-540,Processor,D,1,6,NQ,216.0,216.0,216,NQ,450.0,450.0,450.0,1075.7,1075.7,1075.6800130208333
Manufacturing Steer,540+,Dairy,D,2,7,-10,227.0,235.0,231.57142857142858,16.5,436.5,451.9,445.3,1334.8,1499.3,1428.7828892299108
Manufacturing Steer,540+,Processor,D,2,13,8,220.0,244.0,234.92307692307693,3.3,423.1,460.4,445.7,1352.8,1927.6,1422.8538442758413
