Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Bairnsdale
Report Date: 30/05/2024
Comparison Date: 16/05/2024
Total Yarding: 460 (-617)
Commentary
"There were approximately 410 export and 50 young cattle penned representing a decrease of 620 head from the sale of a fortnight ago. Quality was limited with cows representing more than half of the sale. Young cattle were in short supply and were mostly swept up by restockers. Bullocks lifted 10c/kg. Heavy grown heifers eased 14c/kg. Cows gave back 10c to 25c/kg. Heavy bulls lost 15c/kg. 

A handful of vealers made 330c/kg. Yearling heifers to restockers averaged 269c/kg. Grown steers and bullocks made between 295c and 330c/kg. Manufacturing steers sold between 230c and 300c/kg. Heavy grown heifers with finish made from 260c to 275c/kg. Most light and medium weight cows sold from 91c to 203c/kg. Heavy weight cows made mostly between 160c and 251c/kg. Heavy bulls sold between 180c and 245c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,400+,Processor,D,2,1,NQ,225.0,225.0,225,NQ,432.7,432.7,432.7,1080.0,1080.0,1080
Yearling Steer,400+,Restocker,C,2,2,-1,265.0,265.0,265,7.0,490.7,490.7,490.7,1192.5,1192.5,1192.5
Yearling Heifer,330-400,Dairy,D,1,7,NQ,161.0,161.0,161,NQ,335.4,335.4,335.4,629.5,629.5,629.5100446428571
Yearling Heifer,400+,Dairy,D,1,6,NQ,192.0,192.0,192,NQ,400.0,400.0,400.0,841.0,841.0,840.9600423177084
Yearling Heifer,400+,Processor,D,2,3,1,220.0,220.0,220,-30.0,423.1,423.1,423.1,1012.0,1012.0,1012
Yearling Heifer,400+,Restocker,D,2,13,-3,269.0,270.0,269.3076923076923,29.4,517.3,519.2,517.9,1226.6,1296.0,1247.9815204326924
Vealer Steer,330+,Processor,C,3,2,NQ,330.0,330.0,330,NQ,589.3,589.3,589.3,1155.0,1155.0,1155
Vealer Heifer,280-330,Processor,C,2,2,NQ,220.0,220.0,220,NQ,407.4,407.4,407.4,726.0,726.0,726
Vealer Heifer,330+,Processor,C,3,3,NQ,330.0,330.0,330,NQ,589.3,589.3,589.3,1155.0,1155.0,1155
Manufacturing Steer,0-540,Dairy,D,1,4,2,174.0,174.0,174,4.0,348.0,348.0,348.0,716.9,716.9,716.8800048828125
Manufacturing Steer,0-540,Dairy,E,1,3,NQ,146.0,146.0,146,NQ,324.4,324.4,324.4,525.6,525.6,525.5999755859375
Manufacturing Steer,540+,Dairy,D,2,5,-17,230.0,230.0,230,-8.1,442.3,442.3,442.3,1407.6,1407.6,1407.6
Manufacturing Steer,540+,Processor,D,3,4,1,300.0,300.0,300,52.7,555.6,555.6,555.6,1749.0,1749.0,1749
Grown Steer,400-500,Restocker,C,2,2,NQ,234.0,234.0,234,NQ,433.3,433.3,433.3,1146.6,1146.6,1146.5999755859375
