Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,400+,Processor,C,4,3,NQ,320.0,332.0,328,NQ,571.4,592.9,585.7,1593.6,1958.8,1738.8000081380208
Yearling Heifer,280-330,Processor,D,3,1,NQ,205.0,205.0,205,NQ,394.2,394.2,394.2,615.0,615.0,615
Yearling Heifer,400+,Processor,C,4,1,NQ,322.0,322.0,322,NQ,575.0,575.0,575.0,1545.6,1545.6,1545.5999755859375
Manufacturing Steer,0-540,Processor,D,2,2,NQ,160.0,200.0,180,NQ,307.7,384.6,346.2,640.0,840.0,740
Manufacturing Steer,540+,Dairy,D,4,5,NQ,268.0,268.0,268,NQ,536.0,536.0,536.0,1675.0,1675.0,1675
Grown Steer,500-600,Processor,C,3,1,-2,300.0,300.0,300,-47.7,555.6,555.6,555.6,1575.0,1575.0,1575
Grown Heifer,540+,Processor,C,3,18,NQ,300.0,324.0,320.8888888888889,NQ,555.6,600.0,594.2,1792.0,1927.8,1860.344509548611
Cows,0-400,Processor,E,2,5,NQ,120.0,120.0,120,NQ,240.0,240.0,240.0,480.0,480.0,480
Cows,400-520,Processor,D,2,56,37,170.0,222.0,197.5,-102.8,326.9,411.1,377.4,739.5,1154.4,895.0044751848493
Cows,400-520,Restocker,D,2,6,NQ,189.0,189.0,189,NQ,363.5,363.5,363.5,869.4,869.4,869.4000651041666
Cows,520+,Dairy,E,2,7,NQ,172.0,202.0,193.42857142857142,NQ,344.0,404.0,386.9,1023.4,1212.0,1158.114292689732
Cows,520+,Processor,D,2,5,-69,255.0,255.0,255,-51.6,472.2,472.2,472.2,1491.8,1491.8,1491.75
Cows,520+,Processor,D,3,30,-27,240.0,289.0,275.93333333333334,-40.1,444.4,535.2,511.0,1416.0,1907.4,1721.7350341796875
Cows,520+,Processor,D,4,5,-42,292.0,300.0,294.8,-24.7,540.7,555.6,545.9,2124.0,2160.8,2145.92001953125
Bulls,450-600,Dairy,D,2,9,8,263.0,270.0,266.8888888888889,-42.1,536.7,551.0,544.7,1444.5,1578.0,1503.8333333333333
Bulls,600+,Processor,B,3,2,NQ,310.0,319.0,314.5,NQ,574.1,590.7,582.4,2073.5,3084.5,2579
