Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Bendigo
Report Date: 
Comparison Date: 
Total Yarding : NQ (NQ)
Commentary
test test test


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Heifer,200-280,Processor,B,3,58,NQ,88.0,100.0,93.94827586206897,NQ,157.1,178.6,167.8,186.6,260.0,240.93913742591596
Vealer Heifer,200-280,Processor,C,3,22,NQ,97.0,101.0,98.81818181818181,NQ,186.5,194.2,190.0,217.1,266.8,244.20454545454547
Vealer Heifer,330+,Processor,C,3,1,NQ,88.0,88.0,88,NQ,169.2,169.2,169.2,294.8,294.8,294.79998779296875
