Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Blackall
Report Date: 04/04/2024
Comparison Date: 14/03/2024
Total Yarding: 5600 (+3400)
Commentary
"
Despite large falls of rain in the area Blackall combined agents yarded 5,600 head for the monthly special weaner and store sale. Overall quality was good and increased competition from local restockers saw averages improve 10-40c across the board. 

Light weight restocker steers saw a lift of 40c selling to 432.2c to average 385c and steers 280 to 330kg improved by 10c topping at 408.2c to average 376c/kg. Restockers paid up to 396.2c for steers 330 to 400kg to average 349c, while medium feeders averaged 329c/kg. Heavy feeder steers made to 346.2c to average 324c, up 24c, with restockers paying to an isolated 360.2c/kg.

Light weight restocker heifers improved selling to 320.2c to average 258c/kg. Quality heifers 280 to 330kg to join sold to 320.2 with most around 259c/kg.
Medium weight heifers to feed sold to 285c to average 257c while feeders heifers over 400kg also made to 285c to average 260c/kg.

Heavy heifers to the processor sold to 290.2c to average 269c and heavy cows improved by 30c selling to 252.2c to average 245c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,D,2,8,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,396.0,396.0,396
Yearling Steer,200-280,Processor,D,2,2,-1,100.0,185.0,142.5,22.5,192.3,355.8,274.0,208.0,444.0,326
Yearling Steer,200-280,Restocker,C,2,719,699,332.0,432.0,384.5994436717663,39.3,638.5,830.8,739.6,752.5,1134.0,973.3693508100444
Yearling Steer,200-280,Restocker,D,2,146,144,202.0,322.0,288.8082191780822,48.8,388.5,619.2,555.4,434.3,804.6,701.4636899347174
Yearling Steer,280-330,Feeder,D,2,12,NQ,312.0,312.0,312,NQ,600.0,600.0,600.0,936.0,936.0,936
Yearling Steer,280-330,Restocker,C,2,593,490,314.0,408.0,376.0573355817875,8.9,603.8,784.6,723.2,978.0,1326.0,1167.7598641252437
Yearling Steer,280-330,Restocker,D,2,69,56,236.0,300.0,259.2173913043478,6.6,453.8,576.9,498.5,708.0,960.0,789.7594188745471
Yearling Steer,330-400,Feeder,C,2,195,163,310.0,370.0,329.574358974359,34.2,596.2,711.5,633.8,1085.0,1332.0,1193.5841083233172
Yearling Steer,330-400,Feeder,D,2,59,25,274.0,290.0,276.1694915254237,24.4,526.9,557.7,531.1,945.3,1102.0,991.6254634533898
Yearling Steer,330-400,Restocker,C,2,486,157,296.0,396.0,348.6872427983539,35.6,569.2,761.5,670.6,1036.0,1436.4,1261.2584334008488
Yearling Steer,400+,Feeder,C,2,286,167,260.0,346.0,320.45454545454544,27.0,500.0,665.4,616.3,1226.4,1582.4,1382.6597810758578
Yearling Steer,400+,Feeder,D,2,6,-46,210.0,280.0,263.6666666666667,9.2,403.8,538.5,507.1,882.0,1176.0,1107.4000040690105
Yearling Steer,400+,Restocker,C,2,142,NQ,314.0,360.0,336.09859154929575,NQ,603.8,692.3,646.3,1303.1,1805.4,1473.094355193662
Yearling Heifer,0-200,Restocker,C,2,43,NQ,120.0,270.0,244.88372093023256,NQ,230.8,519.2,470.9,192.0,486.0,439.6744186046512
Yearling Heifer,200-280,Processor,D,2,12,-11,108.0,198.0,186.33333333333334,4.4,207.7,380.8,358.3,259.2,475.2,447.20000712076825
Yearling Heifer,200-280,Restocker,C,2,714,410,232.0,320.0,258.57142857142856,0.2,446.2,615.4,497.3,528.0,800.8,653.0095237069437
Yearling Heifer,200-280,Restocker,D,2,121,NQ,150.0,228.0,209.900826446281,NQ,288.5,438.5,403.7,357.0,572.0,460.0264398243802
Yearling Heifer,280-330,Feeder,C,2,81,NQ,220.0,270.0,238.44444444444446,NQ,423.1,519.2,458.5,660.0,832.0,718.4938271604939
