Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Blackall
Report Date: 08/08/2024
Comparison Date: 25/07/2024
Total Yarding: 4100 (-1000)
Commentary
"A total of 4,100 head were yarded for the Blackall prime and store sale this week. The yarding was dominated by prime cattle with 700 prime steers and 1300 cows penned. Despite the increase in yardings of across the state, three additional export processors were operating which helped to lift prices for prime cattle by 5-10c/kg. 

There was limited numbers of light weight restocker steers 200 to 280kg, however prices remained firm on last week with the top price at 390.2c to average 360c/kg.
Medium weight steers 330 to 400kg to feed sold to 358.2c to average 353c and those returning to the paddock topped at 352c/kg.
Prices for heavy weight yearling steers slipped slightly, mainly to an increase in Bos Indicus influence, selling to 368.2c to average 354c/kg.

Light weight restocker heifers 200 to 280kg saw increase support from central and southern Queensland and improved by 20c/kg selling to 330.2c to average 281c/kg.
Medium weight heifers 330 to 400kg to feed made to 298.2c and averaged 264c while heavy feeder heifers sold to 293.2c and averaged 285c/kg.

Heavy heifers over 540kg to the processor made to 300.2c to average 279c and heavy grown steers sold to a top of 320.2c to average 303c/kg. Medium cows sold to 268.2c averaging 251c while good heavy 3 score cows over 520kg lifted 9c/kg, selling to 294.2c to average 272c/kg.

Market reporter,
Sam Hart."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,27,6,390.0,390.0,390,22.0,750.0,750.0,750.0,741.0,741.0,741
Yearling Steer,200-280,Restocker,C,2,219,-481,330.0,390.0,360.027397260274,-2.2,634.6,750.0,692.4,736.0,934.2,887.2319765134489
Yearling Steer,200-280,Restocker,D,2,10,-97,250.0,250.0,250,2.0,480.8,480.8,480.8,600.0,600.0,600
Yearling Steer,280-330,Restocker,C,2,32,-625,352.0,357.0,354.90625,0.4,676.9,686.5,682.5,1056.0,1142.4,1111.5
Yearling Steer,280-330,Restocker,D,2,80,30,245.0,302.0,264.8,-11.2,471.2,580.8,509.2,735.0,906.0,793.85625
Yearling Steer,330-400,Feeder,C,2,33,-52,340.0,358.0,353.09090909090907,9.9,653.8,688.5,679.0,1292.0,1360.4,1342.7758049242425
Yearling Steer,330-400,Restocker,C,2,114,-81,310.0,352.0,338,-7.1,596.2,676.9,650.0,1045.2,1337.6,1246.994718852796
