Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Blackall
Report Date: 11/07/2024
Comparison Date: 27/06/2024
Total Yarding: 1150 (-1350)
Commentary
"A total of 1,150 head of cattle were yarded at the Blackall Prime and store sale this week. Quality remained mixed however some good pens of prime cows and a very good line of medium weight steers and heifers met strong competition. The addition of an extra southern processor saw prices continue to improve for prime cows. 

Local restockers pushed along steers 280 to 300kg to a top of 368.2c to average 321c while those 330 to 400kg returning to the paddock sold to 352.2c to average 330c/kg. 

A very good line of medium weight restocker heifers 280 to 330kg made to 304.2c to average 272c and backrounders paid up to 300.2c for those over 330kg, to average 287c/kg.

The highlight of the sale was an improvement of 50c/kg across the board for prime cows with medium weights selling to 268.2c to average 244c and good heavy 3 score cows over 520kg sold to a top of 280.2c to average 259c/kg. Heavy bulls sold to 244.2c to average 220c/kg.

Market reporter,
Sam Hart."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,20,-317,340.0,340.0,340,56.9,653.8,653.8,653.8,918.0,918.0,918
Yearling Steer,200-280,Restocker,D,2,19,-53,180.0,241.0,192.8421052631579,-35.6,346.2,463.5,370.9,486.0,650.7,520.6736867804276
Yearling Steer,280-330,Restocker,C,2,52,-32,304.0,362.0,325.61538461538464,30.4,584.6,696.2,626.2,912.0,1086.0,976.8461538461538
Yearling Steer,280-330,Restocker,D,2,54,37,230.0,298.0,267.74074074074076,45.4,442.3,573.1,514.9,690.0,953.6,814.2592592592592
Yearling Steer,330-400,Restocker,C,2,127,46,302.0,352.0,329.1023622047244,28.5,580.8,676.9,632.9,1051.9,1279.2,1157.8322619340552
Yearling Steer,330-400,Restocker,D,2,27,NQ,240.0,280.0,247.03703703703704,NQ,461.5,538.5,475.1,888.0,1064.0,920.9629629629629
Yearling Steer,400+,Restocker,C,2,1,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,1176.0,1176.0,1176
Yearling Heifer,200-280,Processor,D,3,10,NQ,45.0,150.0,131.5,NQ,86.5,288.5,252.9,103.5,345.0,302.45
Yearling Heifer,200-280,Restocker,C,2,60,-24,202.0,288.0,241.93333333333334,16.9,388.5,553.8,465.3,444.4,792.0,619.913330078125
Yearling Heifer,280-330,Processor,C,2,13,NQ,228.0,240.0,238.15384615384616,NQ,438.5,461.5,458.0,684.0,768.0,755.0769230769231
Yearling Heifer,280-330,Restocker,C,2,97,-10,238.0,304.0,272.1855670103093,52.3,457.7,584.6,523.4,714.0,947.2,825.7113402061856
Yearling Heifer,330-400,Feeder,C,2,18,-367,278.0,278.0,278,27.2,534.6,534.6,534.6,1078.6,1078.6,1078.6399739583333
Yearling Heifer,330-400,Restocker,C,2,130,NQ,242.0,300.0,287.8615384615385,NQ,465.4,576.9,553.6,847.0,1095.0,1031.2876802884616
Grown Steer,400-500,Feeder,D,2,3,NQ,150.0,216.0,172,NQ,288.5,415.4,330.8,645.0,907.2,732.4000040690104
Grown Steer,400-500,Processor,C,3,3,NQ,248.0,280.0,258.6666666666667,NQ,476.9,538.5,497.4,1190.4,1400.0,1260.2666829427083
Grown Steer,500-600,Processor,C,3,2,-14,240.0,278.0,259,18.9,461.5,534.6,498.1,1344.0,1556.8,1450.4000244140625
Grown Steer,600-750,Processor,C,3,8,-1,272.0,282.0,273.25,19.0,523.1,542.3,525.5,1768.0,1833.0,1776.125
Grown Heifer,0-540,Feeder,C,2,12,NQ,242.0,242.0,242,NQ,465.4,465.4,465.4,919.6,919.6,919.5999348958334
Grown Heifer,0-540,Feeder,C,3,1,-2,230.0,230.0,230,40.0,442.3,442.3,442.3,1058.0,1058.0,1058
Grown Heifer,0-540,Processor,C,2,14,NQ,210.0,255.0,227.64285714285714,NQ,403.8,490.4,437.8,750.4,1173.0,873.6571568080357
Grown Heifer,0-540,Processor,C,3,22,-8,262.0,280.0,274.54545454545456,53.4,503.8,538.5,528.0,1126.6,1400.0,1310.1454412286932
Grown Heifer,0-540,Processor,D,2,3,NQ,202.0,202.0,202,NQ,388.5,388.5,388.5,767.6,767.6,767.5999348958334
Grown Heifer,540+,Processor,C,3,23,6,245.0,276.0,267.39130434782606,45.4,471.2,530.8,514.2,1372.0,1656.0,1564.5912873641305
Grown Heifer,540+,Processor,D,5,2,NQ,214.0,214.0,214,NQ,411.5,411.5,411.5,1498.0,1498.0,1498
Cows,400-520,Processor,D,2,107,20,120.0,226.0,200.22429906542055,31.7,230.8,434.6,385.0,504.0,1084.8,936.7102849372079
