Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Blackall
Report Date: 13/03/2025
Comparison Date: 27/02/2025
Total Yarding: 1400 (-3000)
Commentary
"1500 head were yarded in what was a plain quality yarding at Blackall this week. Most averages were affected by quality however a run of local steers and heifers sold to solid local demand and prime cows to the processor followed similar trends to the rest of the state.

A small sample of light weight restocker steers under 200kg sold to 430.2c and steers 200 to 280kg made to 414.2c/kg. A run of local steers 330 to 400kg topped at 398.2c while d muscle pens averaged 242c/kg. A limited number of heavy feeder steers sold to 346.2c to avg 336c/kg.

Light weight c muscle restocker heifers made to 312.2c and heavy weight heifers to feed made to 266.2c to average 245c/kg.

Heavy grown steers to the processor sold to 314.2c and heavy heifers made to 302.2c to average 300c/kg. Medium weight prime cows sold to 270.2c to average 245c and heavy weight prime cows made to 275c to average 267c/kg.

Market reporter,
Sam Hart."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,26,-10,330.0,430.0,356.9230769230769,-58.9,660.0,860.0,713.8,627.0,817.0,678.1538461538462
Yearling Steer,200-280,Restocker,D,2,4,-28,268.0,268.0,268,-32.8,536.0,536.0,536.0,723.6,723.6,723.5999755859375
Yearling Steer,280-330,Restocker,C,2,17,-451,414.0,414.0,414,7.2,828.0,828.0,828.0,1324.8,1324.8,1324.8000919117646
Yearling Steer,280-330,Restocker,D,2,46,45,150.0,300.0,209.04347826086956,-71.0,300.0,600.0,418.1,480.0,900.0,654.2782566236413
Yearling Steer,330-400,Feeder,C,2,39,16,302.0,336.0,322.0769230769231,-31.4,604.0,672.0,644.2,1147.6,1276.8,1205.1077223557693
Yearling Steer,330-400,Feeder,D,2,40,-133,198.0,280.0,242.1,-85.2,396.0,560.0,484.2,663.3,1064.0,899.864990234375
Yearling Steer,330-400,Restocker,C,2,122,-96,398.0,398.0,398,10.3,796.0,796.0,796.0,1512.4,1512.4,1512.400038422131
Yearling Steer,400+,Feeder,C,2,43,-367,326.0,346.0,336.4186046511628,-25.4,652.0,692.0,672.8,1353.0,1591.6,1494.1116460755813
Yearling Heifer,200-280,Processor,D,2,37,33,166.0,190.0,178.97297297297297,-36.0,332.0,380.0,357.9,431.6,532.0,486.76756987700594
Yearling Heifer,200-280,Restocker,C,2,25,-457,202.0,312.0,277.12,-27.5,404.0,624.0,554.2,414.1,811.2,683.3960375976562
Yearling Heifer,200-280,Restocker,D,2,87,21,166.0,200.0,193.35632183908046,-44.8,332.0,400.0,386.7,440.0,539.0,503.81609195402297
Yearling Heifer,280-330,Restocker,C,2,178,-184,226.0,288.0,258.65168539325845,-47.4,452.0,576.0,517.3,700.6,820.8,767.6780738401949
Yearling Heifer,280-330,Restocker,D,2,5,NQ,210.0,220.0,212,NQ,420.0,440.0,424.0,630.0,660.0,636
Yearling Heifer,330-400,Feeder,C,2,56,-166,230.0,270.0,237.85714285714286,-76.8,460.0,540.0,475.7,782.0,1026.0,852.9285714285714
Yearling Heifer,330-400,Restocker,C,2,85,-141,192.0,258.0,242.28235294117647,-78.5,384.0,516.0,484.6,672.0,864.3,819.0270565257352
Yearling Heifer,400+,Feeder,C,2,75,41,232.0,266.0,245.76,-40.4,464.0,532.0,491.5,1020.8,1143.8,1057.69599609375
Grown Steer,500-600,Feeder,C,2,6,NQ,240.0,266.0,247,NQ,461.5,511.5,475.0,1224.0,1489.6,1281.866678873698
Grown Steer,500-600,Processor,C,3,5,-44,314.0,314.0,314,-8.1,603.8,603.8,603.8,1884.0,1884.0,1884
Grown Steer,600-750,Processor,C,3,32,-1,268.0,282.0,274.5625,-58.8,515.4,542.3,528.0,1917.6,1956.4,1938.2125244140625
Grown Heifer,0-540,Feeder,C,2,18,-29,280.0,294.0,284.6666666666667,26.9,538.5,565.4,547.4,1288.0,1411.2,1329.066623263889
Grown Heifer,0-540,Processor,C,3,18,-65,280.0,290.0,283.3333333333333,0.3,538.5,557.7,544.9,1484.0,1537.0,1501.6666666666667
Grown Heifer,0-540,Processor,D,3,1,NQ,252.0,252.0,252,NQ,504.0,504.0,504.0,1360.8,1360.8,1360.800048828125
Grown Heifer,0-540,PTIC,D,2,9,NQ,240.0,240.0,240,NQ,480.0,480.0,480.0,960.0,960.0,960
Grown Heifer,540+,Processor,C,3,13,-22,290.0,302.0,301.0769230769231,-28.8,580.0,604.0,602.2,1624.0,1691.2,1686.0306490384614
Cows,400-520,Processor,D,3,74,3,240.0,260.0,244.7027027027027,-9.2,480.0,520.0,489.4,1056.0,1300.0,1164.8972992768158
Cows,400-520,Restocker,D,2,25,-56,212.0,226.0,220.4,17.4,424.0,452.0,440.8,869.2,1084.8,998.5600390625
Cows,520+,Processor,D,3,65,-234,252.0,275.0,266.8615384615385,-9.7,504.0,550.0,533.7,1360.8,1713.6,1555.196942608173
Bulls,0-450,Feeder,C,2,1,-3,232.0,232.0,232,-72.0,464.0,464.0,464.0,696.0,696.0,696
Bulls,450-600,Feeder,C,2,6,NQ,240.0,270.0,255,NQ,461.5,519.2,490.4,1224.0,1377.0,1300.5
Bulls,600+,Processor,C,2,2,-52,200.0,230.0,215,-35.0,370.4,425.9,398.1,1700.0,1725.0,1712.5
