Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Blackall
Report Date: 13/06/2024
Comparison Date: 30/05/2024
Total Yarding: 5148 (-626)
Commentary
"With the inclusion of the Santa and Santa Infused Feature Sale Blackall Agents yarded 5,148 head of quality well bred cattle. All the regular feedlotters and backgrounders present with an extra processor in the export market. The market was firm to slightly dearer for the quality pens however secondary cattle struggled.

Light weight yearling steers sold from 188c to 370c/kg. Yearling steers 200 to 280kg improved almost 20c/kg and made to 382c/kg. Yearling steers 280 to 330kg also gained and sold to 368c/kg. Yearling steers 330 to 400kg with the majority selling from 160c to 332c/kg. Yearling steers 400 to 480kg topped 334c and averaged 314c and over 480kg made to 252c/kg.

Light weight yearling heifers under 200kg sold to 264c/kg. Yearling heifers 200 to 280kg improved and sold from 204c to 312c/kg. Yearling heifers 280 to 330kg sold to 276c/kg. Yearling heifers 330 to 400kg to feed made to 272c/kg. Yearling heifers 400 to 480kg also to feed made to 252c with heifers over 480kg selling to 240c/kg.

Grown steers 500 to 600kg made from 220c to 246c to processors and 304c/kg to feed. Grown steers over 600kg made to 246c/kg. Grown heifers over 540kg topped 230c/kg with the majority selling from 195c to 206c/kg.

The 2 score cows selling from 100c to 198c/kg. The 3 score cows topped 220c/kg. Bulls under 450kg sold from 220c to 318c/kg. Bulls 450 to 600kg made to 214c and bulls over 600kg made to 234c/kg.

Market Reporter David Friend"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,153,NQ,322.2,370.0,358.98562602124184,NQ,607.9,698.1,677.3,644.4,740.0,708.2481107026143
Yearling Steer,0-200,Restocker,D,2,59,NQ,188.2,292.2,209.9389850163864,NQ,355.1,551.3,396.1,372.6,540.6,412.0269175384004
Yearling Steer,200-280,Restocker,C,2,502,160,304.2,382.2,365.1920375140065,19.0,574.0,721.1,689.0,693.5,1059.0,895.6740404106231
Yearling Steer,200-280,Restocker,D,2,174,113,220.0,270.0,221.05747126436782,10.3,415.1,509.4,417.1,506.0,553.5,550.2959770114943
Yearling Steer,280-330,Feeder,D,2,2,1,222.2,222.2,222.1999969482422,62.2,419.2,419.2,419.2,666.6,666.6,666.5999755859375
Yearling Steer,280-330,Processor,D,2,20,NQ,280.2,280.2,280.2,NQ,528.7,528.7,528.7,840.6,840.6,840.6
Yearling Steer,280-330,Restocker,C,2,390,8,292.2,368.2,340.26924219376,14.0,551.3,694.7,642.0,900.0,1107.8,1043.2669430463743
Yearling Steer,280-330,Restocker,D,2,50,37,178.2,288.2,219.23599792480468,-29.8,336.2,543.8,413.7,534.6,864.6,661.4451977539062
Yearling Steer,330-400,Feeder,C,2,195,190,272.2,330.2,317.38257743639826,75.2,513.6,623.0,598.8,1020.8,1320.8,1244.0612342247596
Yearling Steer,330-400,Feeder,D,2,92,NQ,206.2,292.2,238.33260909370753,NQ,389.1,551.3,449.7,758.8,1168.8,923.8214648702871
Yearling Steer,330-400,Restocker,C,2,335,-11,295.0,332.2,306.4489695079291,1.4,556.6,626.8,578.2,1003.0,1209.2,1088.7400303171642
Yearling Steer,330-400,Restocker,D,2,143,NQ,160.0,290.0,252.62238402466673,NQ,301.9,547.2,476.6,544.0,1118.2,907.5270791220498
Yearling Steer,400+,Feeder,C,2,209,192,245.0,334.2,313.04977227169934,-1.5,462.3,630.6,590.7,1180.1,1435.3,1354.1533232328425
