Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Blackall
Report Date: 14/03/2024
Comparison Date: 07/03/2024
Total Yarding: 2200 (+400)
Commentary
"Numbers lifted to 2,200 head at Blackall that included a large run of grown steers from the Northern Territory and heavy feeder heifers from North West Queensland. The quality of restocker lines remained mixed and while all the usual buyers were present and active, prices slipped across the board in line with other centres. 
Restockers were active on steers 280 to 330kg with prices remaining firm at a top price of 386.2c to average 367c/kg. Medium weight restocker steers lost 7c, selling to 358.2c to average 316c while those to feed averaged 295c/kg. Heavy feeder steers also saw prices ease 10c selling to 334.2c to average 300c/kg.
Quality helped improve prices for light weight restocker heifers selling to 272.2c to average 249c/kg. 
Medium weight prime cows sold to an isolated 216.2c to average 187c and heavy prime cows over 520kg sold to 224.2c to average 213c/kg. Live export orders saw prices for heavy bulls lift 9c to top at 262.2c to average 242c/kg.
Market reporter,
Sam Hart."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Processor,D,2,3,NQ,120.0,120.0,120,NQ,230.8,230.8,230.8,288.0,288.0,288
Yearling Steer,200-280,Restocker,C,2,20,-24,320.0,386.0,345.3,-16.2,615.4,742.3,664.0,768.0,993.6,817.5500061035157
Yearling Steer,200-280,Restocker,D,2,2,-4,240.0,240.0,240,46.0,461.5,461.5,461.5,552.0,552.0,552
Yearling Steer,280-330,Restocker,C,2,103,-42,318.0,386.0,367.18446601941747,0.4,611.5,742.3,706.1,954.0,1158.0,1101.5533980582525
Yearling Steer,280-330,Restocker,D,2,13,-10,150.0,264.0,252.6153846153846,13.1,288.5,507.7,485.8,472.5,858.0,815.4230769230769
