Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Blackall
Report Date: 15/02/2024
Comparison Date: 31/08/2023
Total Yarding: 3000 (-1748)
Commentary
"Good falls of local rain saw numbers reduce to 3000 head for the first Blackall sale for 2024. Some good pens of local prime cattle were on offer with all the usual processors operating.  Two large consignments of steers and heifers from the NT dominated the yearling sales while most of the heavy feeders were drawn locally.  
Light weight restocker ‘C’ muscle steers 200 to 280kg started strong with sales to 450.2c to average 435c, while a large run of plainer types 280-330kg averaged 309c/kg. 
Heavy feeders sold to strong demand selling to 358.2c averaging 345c and heavy feeder heifers topped at 272.2c averaging 249c/kg. 
Heavy grown steers to the processor sold to 298.2c to average  282c/kg  and prime heifers made to 278.2c/kg. Medium cows made to 232.2c averaging 224c, heavy prime cows over 520kg sold to 245c to average 236c and heavy bulls sold to 264c/kg. Best of the cows and calve made to $1550/unit.
Market reporter,
Sam Hart."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,59,-579,400.0,450.0,434.47457627118644,170.7,769.2,865.4,835.5,1080.0,1237.5,1174.1678032309321
Yearling Steer,200-280,Restocker,D,2,94,2,278.0,350.0,329.5744680851064,91.1,534.6,673.1,633.8,722.8,884.0,822.1382978723404
Yearling Steer,280-330,Restocker,C,2,241,-50,352.0,400.0,372.6721991701245,104.7,676.9,769.2,716.7,1098.0,1234.8,1166.5066373832988
Yearling Steer,280-330,Restocker,D,2,298,181,286.0,310.0,308.71140939597313,64.5,550.0,596.2,593.7,858.0,953.6,926.7342275325084
Yearling Steer,330-400,Feeder,C,2,58,-12,328.0,348.0,340.7586206896552,79.6,630.8,669.2,655.3,1188.0,1252.8,1240.3034752155172
