Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Blackall
Report Date: 16/05/2024
Comparison Date: 09/05/2024
Total Yarding: 2074 (+574)
Commentary
"Blackall Agents yarded 2,074 head. All the regular processors feedlotters and backgrounders present and active. A mixed quality yarding of steers and heifers penned with a good run of prime condition cows and bullocks.

 Light yearling steers under 200kg topped 344c to average 294c/kg. Yearling steers 200 to 280kg averaged 303c and made to 360c/kg. Yearling steers 280 to 330kg sold to 350c with the majority selling from 160c to 278c/kg. Yearling steers 330 to 400kg sold from 230c to 332c/kg. Yearling steers 400 to 480kg topped 296c/kg.

Light weight yearling heifers under 200kg made to 306c/kg. Yearling heifers 200 to 280kg sold from 218c to 302c/kg. Yearling heifers 280 to 330kg made to 300c/kg. Yearling heifers 330 to 400kg sold from 160c to 302c/kg. Yearling heifers over 540kg made to 270c/kg. Grown steers 500 to 600kg made to 272c with the over 600kg sold to 274c/kg. Grown heifers over 540kg sold well to 270c/kg.

A quality yarding of prime conditioned cows penned. The 2 score cows 400 to 520kg sold from 140c to 216c/kg. The 3 score cows over 520kg made to 232c/kg. The best of the heavy weight bulls sold to 240c/kg. 

Market Reporter David Friend."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,34,NQ,210.0,344.2,294.31176937327666,NQ,420.0,661.9,571.2,420.0,654.0,573.6735409007352
Yearling Steer,0-200,Restocker,D,2,5,NQ,220.2,220.2,220.2,NQ,423.5,423.5,423.5,396.4,396.4,396.3599853515625
Yearling Steer,200-280,Processor,C,2,2,NQ,210.0,210.0,210,NQ,403.8,403.8,403.8,546.0,546.0,546
Yearling Steer,200-280,Processor,D,2,2,NQ,180.2,180.2,180.1999969482422,NQ,346.5,346.5,346.5,468.5,468.5,468.5199890136719
Yearling Steer,200-280,Restocker,C,2,92,27,228.2,360.2,287.89566836149794,-94.2,456.4,692.7,556.5,580.5,874.1,753.3871645720109
Yearling Steer,200-280,Restocker,D,1,22,NQ,120.0,160.0,149.54545454545453,NQ,230.8,307.7,287.6,322.0,400.0,381.59090909090907
Yearling Steer,200-280,Restocker,D,2,21,-6,180.0,200.0,199.04761904761904,-71.0,346.2,384.6,382.8,486.0,540.0,537.4285714285714
Yearling Steer,200-280,Restocker,E,1,1,NQ,82.2,82.2,82.19999694824219,NQ,158.1,158.1,158.1,230.2,230.2,230.16000366210938
Yearling Steer,280-330,Feeder,C,2,8,NQ,260.0,284.2,266.0500030517578,NQ,500.0,546.5,511.6,858.0,937.9,877.9650268554688
Yearling Steer,280-330,Feeder,D,2,6,NQ,260.0,260.0,260,NQ,500.0,500.0,500.0,858.0,858.0,858
Yearling Steer,280-330,Processor,D,1,1,NQ,120.0,120.0,120,NQ,230.8,230.8,230.8,360.0,360.0,360
Yearling Steer,280-330,Processor,D,2,9,NQ,140.0,220.0,206.77777777777777,NQ,280.0,423.1,398.8,448.0,726.0,680.8111165364584
Yearling Steer,280-330,Restocker,C,2,272,179,238.2,350.2,277.1426515018239,-95.7,476.4,673.5,543.2,714.6,1122.7,859.9585979686063
Yearling Steer,280-330,Restocker,D,1,3,NQ,159.2,159.2,159.19999186197916,NQ,306.2,306.2,306.2,509.4,509.4,509.4400227864583
Yearling Steer,280-330,Restocker,D,2,267,248,185.0,290.0,248.0396930251675,-52.3,355.8,557.7,477.7,555.0,899.0,763.9529071479254
Yearling Steer,330-400,Feeder,C,2,32,NQ,230.0,320.0,254.22500228881836,NQ,460.0,615.4,498.3,826.7,1177.6,936.4625129699707
Yearling Steer,330-400,Processor,C,2,23,NQ,230.0,230.2,230.15652598505434,NQ,442.7,460.0,446.5,805.7,874.8,847.5713102921196
Yearling Steer,330-400,Processor,D,2,5,NQ,120.0,120.0,120,NQ,230.8,230.8,230.8,408.0,408.0,408
Yearling Steer,330-400,Restocker,C,2,36,-8,230.2,332.2,303.5277913411458,-54.4,442.7,638.8,583.7,805.7,1206.9,1094.7550421820747
Yearling Steer,400+,Feeder,C,2,8,-143,260.2,296.2,273.7000045776367,-30.3,500.4,569.6,526.3,1249.0,1332.9,1280.4375610351562
Yearling Steer,400+,Feeder,C,3,11,NQ,260.0,276.2,273.25454989346593,NQ,490.6,521.1,515.6,1430.0,1519.1,1502.8999467329545
Yearling Steer,400+,Feeder,D,2,3,-151,255.2,255.2,255.19999186197916,-25.0,490.8,490.8,490.8,1148.4,1148.4,1148.4000651041667
Yearling Steer,400+,Processor,C,3,19,NQ,260.0,286.2,282.2842214483964,NQ,490.6,540.0,532.6,1430.0,1681.2,1630.5125989412006
Yearling Steer,400+,Processor,D,2,9,NQ,176.2,176.2,176.19999186197916,NQ,352.4,352.4,352.4,916.2,916.2,916.2400173611111
Yearling Steer,400+,Restocker,C,2,2,-15,150.0,150.0,150,-170.0,300.0,300.0,300.0,780.0,780.0,780
Yearling Steer,400+,Restocker,D,2,2,NQ,150.0,150.0,150,NQ,300.0,300.0,300.0,780.0,780.0,780
Yearling Heifer,0-200,Processor,D,2,5,NQ,100.0,100.0,100,NQ,200.0,200.0,200.0,200.0,200.0,200
Yearling Heifer,0-200,Restocker,C,2,54,NQ,238.2,306.2,273.08888527199076,NQ,476.4,612.4,546.2,452.6,581.8,526.7077907986111
Yearling Heifer,0-200,Restocker,D,2,1,NQ,150.0,150.0,150,NQ,300.0,300.0,300.0,300.0,300.0,300
Yearling Heifer,200-280,Feeder,D,2,5,NQ,130.0,130.0,130,NQ,260.0,260.0,260.0,299.0,325.0,309.4
Yearling Heifer,200-280,Restocker,C,2,127,117,218.2,302.2,276.40472892701155,-9.6,436.4,604.4,552.8,496.0,846.2,721.5366816483145
Yearling Heifer,200-280,Restocker,D,2,6,NQ,166.2,198.0,187.3999989827474,NQ,332.4,396.0,374.8,365.6,534.6,445.2799987792969
Yearling Heifer,280-330,Feeder,C,2,44,NQ,222.2,246.2,231.51817737926137,NQ,444.4,492.4,463.0,662.2,787.8,711.5555641867898
Yearling Heifer,280-330,Processor,C,2,14,NQ,240.2,240.2,240.20000348772322,NQ,480.4,480.4,480.4,696.6,696.6,696.5800083705357
Yearling Heifer,280-330,Restocker,C,2,97,57,260.0,300.0,288.0144370167526,34.4,520.0,600.0,576.0,754.0,990.0,921.9307244684278
Yearling Heifer,330-400,Feeder,C,2,16,-23,254.2,254.2,254.1999969482422,23.5,508.4,508.4,508.4,859.2,859.2,859.196044921875
Yearling Heifer,330-400,Feeder,D,2,5,NQ,180.0,180.0,180,NQ,360.0,360.0,360.0,662.4,662.4,662.4
Yearling Heifer,330-400,Processor,D,2,8,NQ,160.2,160.2,160.1999969482422,NQ,320.4,320.4,320.4,560.7,560.7,560.7000122070312
Yearling Heifer,330-400,Restocker,C,2,72,-17,276.2,302.2,291.36945258246527,43.2,552.4,604.4,582.7,973.1,1148.4,1060.3006184895833
Yearling Heifer,400+,Processor,C,3,11,NQ,234.2,270.0,252.19999972256747,NQ,468.4,540.0,483.8,1250.0,1512.0,1303.229092684659
Grown Steer,400-500,Processor,C,2,9,NQ,190.0,210.0,199.84444173177084,NQ,358.5,396.2,377.1,912.0,1050.0,961.7133246527778
Grown Steer,500-600,Processor,C,3,9,4,228.2,272.2,254.15555826822916,3.4,430.6,513.6,479.5,1369.2,1633.2,1524.9332411024307
Grown Steer,600-750,Processor,C,2,1,NQ,266.2,266.2,266.20001220703125,NQ,502.3,502.3,502.3,1650.4,1650.4,1650.43994140625
Grown Steer,600-750,Processor,C,3,35,-38,220.0,274.2,269.1657309395926,-2.8,415.1,517.4,507.9,1447.6,1859.0,1792.6753348214286
Grown Heifer,0-540,Feeder,C,3,12,NQ,238.2,238.2,238.19999186197916,NQ,486.1,486.1,486.1,1143.4,1143.4,1143.3600260416667
Grown Heifer,0-540,Feeder,D,2,12,NQ,238.2,238.2,238.19999186197916,NQ,486.1,486.1,486.1,1143.4,1143.4,1143.3600260416667
Grown Heifer,0-540,Processor,C,2,15,NQ,266.2,266.2,266.2000203450521,NQ,532.4,532.4,532.4,1384.2,1384.2,1384.2399576822916
Grown Heifer,0-540,Processor,C,3,12,-30,200.0,265.0,233.33333333333334,-23.5,400.0,530.0,466.7,1008.0,1378.0,1206.3333333333333
Grown Heifer,540+,Feeder,C,3,8,NQ,216.2,240.0,228.0999984741211,NQ,441.2,489.8,465.5,1189.1,1320.0,1254.5499877929688
Grown Heifer,540+,Processor,C,2,32,NQ,248.2,270.0,256.375,NQ,496.4,540.0,512.8,1613.3,1755.0,1666.4375
Grown Heifer,540+,Processor,C,3,6,-11,270.0,270.0,270,28.2,540.0,540.0,540.0,1755.0,1755.0,1755
Cows,400-520,Processor,C,2,40,NQ,165.2,186.2,174.1999984741211,NQ,346.9,380.0,360.6,743.4,893.8,817.0739990234375
Cows,400-520,Processor,D,2,199,182,140.0,216.2,200.00803724126,28.0,285.7,441.2,410.4,672.0,1103.4,996.6944101611573
Cows,400-520,Processor,D,3,63,-2,210.0,230.0,214.9301564050099,4.0,420.0,469.4,436.5,1008.0,1196.0,1068.2400076729912
Cows,400-520,Processor,E,1,7,NQ,138.0,160.0,144.28571428571428,NQ,313.6,333.3,319.3,579.6,768.0,619.7142857142857
Cows,400-520,Restocker,D,2,11,NQ,122.2,150.0,147.47272699529475,NQ,254.6,312.5,307.2,586.6,750.0,735.1418179598721
Cows,520+,Processor,C,2,124,NQ,214.2,230.2,221.6306408297631,NQ,437.1,469.8,450.9,1320.0,1430.0,1401.621125252016
Cows,520+,Processor,C,3,126,NQ,200.0,232.2,223.09206014966207,NQ,377.4,473.9,454.1,1100.0,1509.3,1382.968777126736
Cows,520+,Processor,D,2,45,44,212.0,220.2,217.53333333333333,20.5,432.7,449.4,443.9,1161.0,1211.1,1196.4333333333334
Cows,520+,Processor,D,3,129,-108,196.2,230.0,216.08216857910156,-8.6,370.2,469.4,439.4,1079.1,1444.4,1227.3545338238857
Bulls,0-450,Feeder,C,2,15,12,230.2,240.2,237.79998982747395,21.1,442.7,461.9,457.3,759.7,905.2,887.9600016276041
Bulls,0-450,Feeder,D,2,3,NQ,140.2,140.2,140.19999186197916,NQ,264.5,264.5,264.5,560.8,560.8,560.7999674479166
Bulls,0-450,Processor,C,2,5,NQ,210.0,234.2,221.67999877929688,NQ,396.2,441.9,418.3,220.0,983.6,807.056005859375
Bulls,0-450,Restocker,C,2,76,48,270.0,318.2,298.0631681743421,27.5,519.2,611.9,573.2,756.0,954.6,878.7531481291119
Bulls,0-450,Restocker,D,2,4,NQ,266.2,266.2,266.20001220703125,NQ,511.9,511.9,511.9,718.7,718.7,718.739990234375
Bulls,450-600,Feeder,C,2,1,NQ,200.2,200.2,200.1999969482422,NQ,377.7,377.7,377.7,1101.1,1101.1,1101.0999755859375
Bulls,450-600,Processor,C,2,4,NQ,222.2,228.2,226.69999313354492,NQ,427.3,430.6,429.8,1222.1,1369.2,1332.4248962402344
Bulls,600+,Feeder,C,2,6,NQ,200.2,228.2,222.1999969482422,NQ,377.7,430.6,419.2,1597.4,2202.0,1774.933329264323
Bulls,600+,Feeder,D,2,1,NQ,100.2,100.2,100.19999694824219,NQ,189.1,189.1,189.1,1002.0,1002.0,1002
Bulls,600+,Processor,C,2,45,5,180.2,240.2,219.48444146050346,-10.0,340.0,453.2,414.1,1546.5,2642.2,2214.919976128472
Bulls,600+,Processor,C,3,2,NQ,240.0,240.0,240,NQ,489.8,489.8,489.8,2640.0,2640.0,2640
Bulls,600+,Processor,D,2,2,-1,132.2,154.2,143.1999969482422,7.2,249.4,290.9,270.2,1454.2,1619.1,1536.6499633789062
