Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Blackall
Report Date: 17/10/2024
Comparison Date: 26/09/2024
Total Yarding: 2700 (-3700)
Commentary
"2,700 head of cattle were yarded for the Blackall Prime sale this week. Cattle were drawn from the local supply area alongside one consignment from the Northern Territory. Overall quality of prime cattle was good with all the usual exporters present and active, while quality was mixed across the yearling pens. 

A large line of vendor bred store steers met good support from local restockers with steers 280 to 330kg selling to 392.2c to average 365c, while heavy feeder steers over 400kg sold to 342.2c averaging 326c/kg. 

Heifers lost ground this week mainly due to quality with heifers 280 to 330kg making to 252.2c to average 232c and medium weight heifers selling to 278.2c to average 262c/kg.

Grown steers to the processor sold to 312.2c to average 293c and heavy heifers made to 280.2c/kg. Medium weight cows topped at 234.2c to average 220c and good heavy cows over 520kg were still pushed along by southern processors selling to 256.2c to average 236c/kg. Heavy bulls made to 242.2c to average 215c/kg. 
Market reporter,
Sam Hart."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,232,-370,300.0,390.0,364.1163793103448,-14.6,576.9,750.0,700.2,810.0,1014.0,951.5836223733836
Yearling Steer,200-280,Restocker,D,2,66,-134,248.0,292.0,289.6060606060606,4.3,476.9,561.5,556.9,520.8,788.4,779.6818505489465
Yearling Steer,280-330,Restocker,C,2,280,-14,322.0,392.0,365.9428571428571,-8.1,619.2,753.8,703.7,957.6,1141.9,1080.7722760881697
Yearling Steer,280-330,Restocker,D,2,65,-64,200.0,288.0,256.24615384615385,-27.5,384.6,553.8,492.8,600.0,864.0,759.0876802884616
Yearling Steer,330-400,Feeder,C,2,39,-368,298.0,326.0,316.20512820512823,-44.6,573.1,626.9,608.1,1162.2,1173.6,1169.7179393279246
Yearling Steer,330-400,Restocker,C,2,113,-146,306.0,368.0,343.5929203539823,-14.6,588.5,707.7,660.8,1069.5,1288.0,1209.1539447075497
Yearling Steer,330-400,Restocker,D,2,35,-64,220.0,246.0,244.5142857142857,-26.9,423.1,473.1,470.2,824.1,858.0,826.037109375
Yearling Steer,400+,Feeder,C,2,43,-550,300.0,342.0,325.95348837209303,-38.1,576.9,657.7,626.8,1271.0,1453.5,1390.2162745276162
Yearling Steer,400+,Feeder,D,2,29,-109,230.0,280.0,269.3103448275862,-4.3,442.3,538.5,517.9,1053.0,1204.0,1147.2413793103449
Yearling Heifer,0-200,Restocker,D,2,22,-115,106.0,150.0,134.27272727272728,-34.4,203.8,288.5,258.2,137.8,285.0,215.46363969282672
Yearling Heifer,200-280,Restocker,C,2,179,-318,194.0,256.0,233.2290502793296,-23.5,373.1,492.3,448.5,465.6,669.6,590.4837922676982
Yearling Heifer,200-280,Restocker,D,2,66,-102,130.0,180.0,167.72727272727272,4.4,250.0,346.2,322.6,273.0,408.0,386.56060606060606
Yearling Heifer,280-330,Restocker,C,2,196,-85,206.0,252.0,230.6326530612245,-39.7,396.2,484.6,443.5,587.1,819.0,699.4744897959183
Yearling Heifer,280-330,Restocker,D,2,22,19,180.0,180.0,180,-26.0,346.2,346.2,346.2,576.0,576.0,576
Yearling Heifer,330-400,Feeder,C,2,17,-176,220.0,230.0,224.11764705882354,-47.9,423.1,442.3,431.0,836.0,897.0,861.1176470588235
Yearling Heifer,330-400,Processor,D,2,32,NQ,194.0,194.0,194,NQ,373.1,373.1,373.1,679.0,679.0,679
Yearling Heifer,330-400,Restocker,C,2,45,-51,185.0,278.0,262.06666666666666,-46.8,355.8,534.6,504.0,666.0,945.2,891.8488715277778
Grown Steer,400-500,Processor,D,3,32,NQ,240.0,260.0,255,NQ,461.5,500.0,490.4,1104.0,1196.0,1173
Grown Steer,500-600,Feeder,C,2,25,-12,268.0,268.0,268,-22.3,515.4,515.4,515.4,1554.4,1554.4,1554.4
