Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Blackall
Report Date: 23/05/2024
Comparison Date: 16/05/2024
Total Yarding: 933 (-1141)
Commentary
" Blackall Agents penned 933 head at this weeks sale. All the regular processors feedlotters and backgrounders present. A mixed quality yarding of bullocks cows and light feeders and weaners.

 Light weight yearling steers under 200kg made from 334c to 340c/kg. Yearling steers 200 to 280kg also made to 340c/kg. Yearling steers 280 to 330kg topped 342c to average 322c/kg. Yearling steers 330 to 400kg averaged 275c and made to 324c/kg. Yearling steers 400 to 480kg made 320c/kg to restockers.

Light weight yearling heifers under 200kg sold from 156c to 194c/kg. Yearling heifers 200 to 280kg made to 222c/kg to feed. Yearling heifers 280 to 330kg lost ground selling to 222c/kg.

Manufacturing bullocks sold to 256c with the bullocks over 600kg selling to 262c/kg. Grown heifers over 540kg topped 246c with the majority selling from 196c to 226c/kg. The 2 score cows sold from 120c to 208c/kg. The 3 score cows sold to 212c/kg. The best of the heavy weight bulls to 236c/kg.

Market Reporter David Friend."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,1,4,NQ,182.2,182.2,182.1999969482422,NQ,343.8,343.8,343.8,337.1,337.1,337.07000732421875
Yearling Steer,0-200,Restocker,C,2,26,-8,334.2,340.2,337.4307861328125,43.1,630.6,641.9,636.7,635.0,673.6,663.4855487530048
Yearling Steer,200-280,Feeder,C,2,1,NQ,240.0,240.0,240,NQ,452.8,452.8,452.8,672.0,672.0,672
Yearling Steer,200-280,Restocker,C,1,2,NQ,200.0,250.2,225.0999984741211,NQ,377.4,472.1,424.7,560.0,613.0,586.4949951171875
Yearling Steer,200-280,Restocker,C,2,34,-58,270.2,344.2,334.48823996151197,46.6,509.8,649.4,631.1,648.5,958.2,863.0649629480698
Yearling Steer,280-330,Feeder,C,1,2,NQ,170.0,170.0,170,NQ,320.8,320.8,320.8,493.0,523.6,508.29998779296875
Yearling Steer,280-330,Feeder,C,2,14,6,220.0,220.0,220,-46.1,415.1,415.1,415.1,704.0,704.0,704
Yearling Steer,280-330,Restocker,C,1,1,NQ,170.0,170.0,170,NQ,320.8,320.8,320.8,493.0,493.0,493
Yearling Steer,280-330,Restocker,C,2,49,-223,270.0,342.2,321.33062370455997,44.2,509.4,645.7,606.3,837.0,1095.0,1005.36328125
Yearling Steer,330-400,Feeder,C,2,31,-1,220.0,240.0,232.25806451612902,-22.0,415.1,452.8,438.2,770.0,912.0,857.0322580645161
Yearling Steer,330-400,Restocker,C,2,82,46,230.2,324.2,275.295125449576,-28.2,434.3,611.7,519.4,805.7,1232.0,975.0888269936166
Yearling Steer,400+,Feeder,C,2,19,11,240.0,240.0,240,-33.7,452.8,452.8,452.8,984.0,984.0,984
Yearling Steer,400+,Restocker,C,1,1,NQ,250.0,250.0,250,NQ,471.7,471.7,471.7,1050.0,1050.0,1050
Yearling Steer,400+,Restocker,C,2,25,23,290.0,320.0,313.696005859375,163.7,547.2,603.8,591.9,1183.2,1305.6,1297.699208984375
Yearling Heifer,0-200,Processor,C,2,25,NQ,186.2,186.2,186.2,NQ,372.4,372.4,372.4,372.4,372.4,372.4
Yearling Heifer,0-200,Restocker,C,1,5,NQ,120.2,120.2,120.2,NQ,240.4,240.4,240.4,228.4,228.4,228.3800048828125
Yearling Heifer,0-200,Restocker,C,2,15,-39,156.2,194.2,189.1333231608073,-84.0,312.4,388.4,378.3,265.5,330.1,321.5266886393229
Yearling Heifer,200-280,Feeder,C,2,33,NQ,192.2,222.2,199.04848179672703,NQ,384.4,444.4,398.1,480.5,595.5,540.8023015802556
Yearling Heifer,200-280,Processor,C,2,28,NQ,160.2,186.2,183.41428538731165,NQ,320.4,372.4,366.8,352.4,387.3,383.56140790666853
Yearling Heifer,200-280,Restocker,C,2,11,-116,184.2,184.2,184.19999556107953,-92.2,368.4,368.4,368.4,460.5,460.5,460.5
Yearling Heifer,280-330,Feeder,C,2,3,-41,222.2,240.0,232.79999796549478,1.3,444.4,480.0,465.6,684.4,768.0,726.6240234375
Yearling Heifer,280-330,Processor,C,2,22,8,160.2,220.2,204.51818362149325,-35.7,320.4,440.4,409.0,464.6,682.6,632.5500113747337
Yearling Heifer,280-330,Restocker,C,2,3,-94,220.2,220.2,220.19999186197916,-67.8,440.4,440.4,440.4,704.6,704.6,704.6399739583334
Yearling Heifer,330-400,Feeder,C,2,36,20,206.2,230.0,213.23333062065973,-41.0,412.4,460.0,426.5,701.1,874.0,759.8822428385416
Manufacturing Steer,540+,Processor,C,3,52,NQ,240.2,256.2,246.04615196814905,NQ,453.2,483.4,464.2,1441.2,1765.4,1534.4769381009614
Grown Steer,400-500,Processor,C,2,1,-8,170.0,170.0,170,-29.8,320.8,320.8,320.8,816.0,816.0,816
Grown Steer,500-600,Feeder,C,2,5,NQ,258.2,258.2,258.2,NQ,487.2,487.2,487.2,1342.6,1342.6,1342.6400390625
Grown Steer,500-600,Processor,C,2,1,NQ,236.2,236.2,236.1999969482422,NQ,445.7,445.7,445.7,1417.2,1417.2,1417.199951171875
Grown Steer,500-600,Processor,C,3,13,4,240.0,262.2,251.15385084885818,-3.0,452.8,494.7,474.6,1320.0,1573.2,1451.5384427584136
Grown Heifer,0-540,Feeder,C,3,82,70,220.2,220.2,220.2000047637195,-18.0,440.4,440.4,440.4,1057.0,1145.0,1101
Grown Heifer,0-540,Processor,C,3,170,158,196.2,226.2,219.7647050745347,-13.6,371.0,457.6,438.6,1020.2,1176.2,1130.4970789292279
Grown Heifer,0-540,Processor,D,3,2,NQ,206.2,206.2,206.1999969482422,NQ,420.8,420.8,420.8,1031.0,1031.0,1031
Grown Heifer,0-540,Restocker,C,2,1,NQ,246.2,246.2,246.1999969482422,NQ,492.4,492.4,492.4,837.1,837.1,837.0800170898438
Grown Heifer,540+,Processor,C,3,17,11,205.0,220.2,213.82352492388557,-56.2,418.4,449.4,435.9,1148.0,1233.1,1197.411771886489
Cows,0-400,Processor,D,1,2,NQ,30.0,30.0,30,NQ,63.8,63.8,63.8,120.0,120.0,120
Cows,400-520,Processor,D,1,3,NQ,30.0,60.0,40,NQ,61.2,122.4,81.6,150.0,300.0,200
Cows,400-520,Processor,D,2,47,-152,120.0,208.2,189.0212736738489,-11.0,244.9,424.9,387.6,600.0,1082.6,968.1196055310837
Cows,400-520,Processor,D,3,44,-19,160.0,208.2,184.59090770374644,-30.3,326.5,424.9,376.7,752.0,1082.6,919.8877313787287
Cows,400-520,Restocker,D,1,8,NQ,50.0,158.2,109.0999984741211,NQ,106.4,329.6,228.0,240.0,759.4,525.1799926757812
Cows,400-520,Restocker,D,2,14,3,158.2,160.0,159.22857012067522,11.8,329.6,333.3,331.7,775.2,800.0,789.3628540039062
Cows,520+,Processor,D,3,103,-26,202.2,212.2,205.74174425439926,-10.3,412.7,433.1,419.9,1091.9,1188.3,1139.3995989456917
Bulls,0-450,Feeder,C,2,3,-12,216.2,216.2,216.19999186197916,-21.6,407.9,407.9,407.9,821.6,821.6,821.5599772135416
Bulls,0-450,Restocker,C,1,1,NQ,194.2,194.2,194.1999969482422,NQ,366.4,366.4,366.4,388.4,388.4,388.3999938964844
Bulls,0-450,Restocker,C,2,38,-38,180.0,254.2,217.81052679764596,-80.3,339.6,479.6,411.0,432.0,808.8,588.7068385074014
Bulls,450-600,Feeder,C,2,2,1,200.2,200.2,200.1999969482422,NC,377.7,377.7,377.7,1201.2,1201.2,1201.199951171875
Bulls,600+,Processor,C,2,17,-28,160.0,236.2,207.32940943100874,-12.2,301.9,445.7,393.7,1760.0,2598.2,2220.1058565027574
Bulls,600+,Processor,C,3,6,4,170.0,230.2,213.26666514078775,-26.7,320.8,434.3,402.4,1700.0,2532.2,2284.266642252604
