Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Blackall
Report Date: 28/11/2024
Comparison Date: 14/11/2024
Total Yarding: 3500 (+2400)
Commentary
"Recent rain got the bids flying at the last Blackall weaner sale for 2024. Despite a mixed quality yarding of 3,500, including a line from the Northern Territory, good quality restocker steers and heifers saw a vast improvement on previous weeks with solid competition from local and south east buyer orders. 

A large number of light weight restocker steers in store condition were penned with the best steers under 280kg selling to 452.2c to average 418c, with ‘D’ muscle lines averaging 360c/kg. Buyers were still preferring steers 280 to 330kg with the top price of 444.2c to average 429c/kg. Medium steers returning to the paddock averaged 401c and good quality heavy feeder steers also improved, selling to 390.2c to average 379c/kg.

Northern restocker support helped push light weight restocker  heifers under 280kg out to 346.2c to average 319c while those heifers  280 to 330kg made to 330.2c to average 307c/kg. Feeders paid up to 320.2c for medium weight heifers averaging 283c, and a small sample of heavy feeder heifers made to 280.2 averaging 270c/kg.

Market reporter,
Sam Hart."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,60,NQ,390.0,450.0,406.46666666666664,NQ,750.0,865.4,781.7,723.6,810.0,743.9899820963542
Yearling Steer,0-200,Restocker,D,2,75,NQ,270.0,372.0,343.14666666666665,NQ,519.2,715.4,659.9,487.2,736.6,637.6479915364583
Yearling Steer,200-280,Restocker,C,2,382,373,390.0,450.0,417.64921465968587,86.5,750.0,865.4,803.2,820.0,1237.5,1004.1303570332951
Yearling Steer,200-280,Restocker,D,2,154,153,152.0,388.0,360.6363636363636,148.6,292.3,746.2,693.5,311.6,1042.2,862.5990917651684
Yearling Steer,280-330,Restocker,C,2,407,388,380.0,452.0,429.2457002457002,103.8,730.8,869.2,825.5,1067.8,1443.0,1285.1137761296452
Yearling Steer,280-330,Restocker,D,2,130,129,220.0,378.0,322.0153846153846,76.0,423.1,726.9,619.3,660.0,1110.0,940.336918757512
Yearling Steer,330-400,Feeder,C,2,136,NQ,356.0,414.0,388.9264705882353,NQ,684.6,796.2,747.9,1281.6,1472.6,1401.3279526654412
Yearling Steer,330-400,Feeder,D,2,32,NQ,200.0,334.0,308.6875,NQ,384.6,642.3,593.6,720.0,1302.6,1186.809341430664
Yearling Steer,330-400,Restocker,C,2,191,126,362.0,424.0,398.72774869109946,47.2,696.2,815.4,766.8,1303.2,1526.4,1400.894745991492
Yearling Steer,400+,Feeder,C,2,155,NQ,342.0,390.0,378.76774193548385,NQ,657.7,750.0,728.4,1419.3,1872.0,1702.2922757056451
Yearling Steer,400+,Feeder,D,2,5,-9,300.0,300.0,300,NC,576.9,576.9,576.9,1245.0,1245.0,1245
Yearling Heifer,0-200,Processor,D,2,16,NQ,180.0,200.0,191.25,NQ,346.2,384.6,367.8,277.5,380.0,344.875
