Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Blackall
Report Date: 29/08/2024
Comparison Date: 15/08/2024
Total Yarding: 6000 (+5039)
Commentary
"Blackall combined agents yarded 6,000 head of cattle for the August weaner and store sale. Overall quality of the yarding was very good, that included with a number of large vendor bred lines of heavy feeder steers and organic medium weight heifers on offer. An increased number of light weight weaners under 200kg were yarded and most cattle are now presenting in store condition. 

Local restockers were active on steers under 200kg selling to 418.2c to average 391c, steers 200 to 280kg sold to 426.2c to average 383c while restockers paid up to 416.2c for steers 280 to 330kg and averaged 383c/kg. Extra restocker support from the western downs saw medium weight steers sell to 410.2c to average 376c while feeders paid up to 383c to average 370c/kg. Some very good quality runs of heavy feeder steers sold to 386.2c to average 373c/kg.

Light weight restocker heifers 200 to 280kg topped at 336.2c to average 291c, locally bred runs of heifers 280 to 330kg met solid support selling to 332.2c to average 301c and the addition of a large run of organic heifers 330-400kg returning to the paddock saw prices to 356.2c to average 334c, while feeders paid to 326.2c to average 281c/kg. Heavy feeder heifers sold to 308.2c to average 294c/kg.

Market reporter,
Sam Hart."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,55,13,330.0,418.0,391.2,73.0,634.6,803.8,752.3,627.0,794.2,743.2800048828125
Yearling Steer,200-280,Restocker,C,2,581,NQ,350.0,426.0,383.4423407917384,NQ,673.1,819.2,737.4,777.0,1123.2,969.8328733460628
Yearling Steer,200-280,Restocker,D,2,70,NQ,200.0,334.0,304.8857142857143,NQ,384.6,642.3,586.3,506.0,858.0,728.0657156808036
Yearling Steer,280-330,Feeder,D,2,25,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,682.0,682.0,682
Yearling Steer,280-330,Restocker,C,2,520,503,310.0,416.0,383.14230769230767,60.2,596.2,800.0,736.8,978.0,1248.0,1143.7148061899038
Yearling Steer,280-330,Restocker,D,2,38,NQ,250.0,290.0,261.94736842105266,NQ,480.8,557.7,503.7,750.0,870.0,762.5652497944079
Yearling Steer,330-400,Feeder,C,2,199,198,350.0,383.0,370.34170854271355,70.3,673.1,736.5,712.2,1269.6,1489.8,1388.5216217807788
Yearling Steer,330-400,Feeder,D,2,242,NQ,180.0,288.0,249.28925619834712,NQ,346.2,553.8,479.4,630.0,995.6,905.0611723592459
Yearling Steer,330-400,Restocker,C,2,284,282,300.0,410.0,376.01408450704224,83.8,576.9,788.5,723.1,1050.0,1459.2,1353.6943531305017
Yearling Steer,330-400,Restocker,D,2,10,NQ,210.0,265.0,243,NQ,403.8,509.6,467.3,735.0,914.3,842.55
Yearling Steer,400+,Feeder,C,2,427,NQ,328.0,386.0,372.8220140515223,NQ,630.8,742.3,717.0,1377.6,1814.2,1617.2380534044753
Yearling Steer,400+,Feeder,D,2,131,NQ,250.0,310.0,302.1526717557252,NQ,480.8,596.2,581.1,1037.5,1333.0,1270.1435174141222
