Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 04/12/2024
Comparison Date: 27/11/2024
Total Yarding: 3929 (+332)
Commentary
"There was further increase in numbers of 332 head, to 3929 head at CQLX Gracemere cattle sale. Cattle were again sourced from the usual draw areas with several lines on offer in most categories. One more processor operated, along with the return of one feed lot buyer. There were several different restockers also operating. There were quality related increases in most categories from last week, along with improvements in feeder steer and well finished processor cow lines above last sale rates.

Light weight yearling steers, in well bred pens, sold to 423c/kg, averaging 320c to 377c/kg for well-bred lines. Medium and heavy pens reached a top of 419c/kg, to average 357c to 389c/kg for the best-bred lots. Light weight yearling heifers averaged 252c to 281c/kg with sales reaching 320c/kg occasionally. Medium weight pens sold to 335c/kg with averages from 289c to 317c/kg attained.    

Feedlots paid to 420c/kg for their Grown steers, averaging 345c to 386c/kg for the best. A few bullocks sold to processors to average 310c to 327c/kg. The best of the trade heifers averaged 293c to 320c/kg. Feeders paid averages from 260c to 299c/kg for their grown heifers.

The best of the restocker cows made from 227c to 248c/kg, whilst, heavy, four score cows sold to 294c/kg, averaging 282c/kg. Heavy bulls averaged 281c/kg to Livex and 245c/kg to processors. Cows and calves held to sell from $1,160 to $1,500 per unit. 
Reporter: Richard Thomson."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,D,1,3,-28,245.0,245.0,245,-142.5,490.0,490.0,490.0,355.3,355.3,355.25
Yearling Steer,200-280,Feeder,D,2,42,39,221.0,330.0,257.85714285714283,0.2,425.0,634.6,495.9,453.0,924.0,645.5309797014509
Yearling Steer,200-280,Processor,D,2,14,-21,275.0,279.0,278.7142857142857,18.7,528.8,536.5,536.0,701.3,781.2,775.4893275669643
Yearling Steer,200-280,Restocker,C,1,4,NQ,341.0,341.0,341,NQ,682.0,682.0,682.0,818.4,818.4,818.4000244140625
Yearling Steer,200-280,Restocker,C,2,368,96,240.0,423.0,377.2119565217391,-4.4,461.5,813.5,725.4,540.0,1184.4,959.4202365045962
Yearling Steer,200-280,Restocker,D,1,25,22,289.0,295.0,294.52,-13.5,578.0,590.0,589.0,621.3,634.3,633.217998046875
Yearling Steer,200-280,Restocker,D,2,563,268,239.0,393.0,319.12255772646535,-12.3,459.6,755.8,613.8,528.6,1010.8,753.011100267644
Yearling Steer,280-330,Feeder,C,2,10,-5,291.0,419.0,384.6,34.6,559.6,805.8,739.6,887.5,1382.7,1230.6749206542968
Yearling Steer,280-330,Feeder,D,2,6,-2,280.0,280.0,280,-9.3,538.5,538.5,538.5,924.0,924.0,924
Yearling Steer,280-330,Processor,C,2,3,NQ,265.0,265.0,265,NQ,509.6,509.6,509.6,861.3,861.3,861.25
Yearling Steer,280-330,Processor,D,2,3,NQ,277.0,277.0,277,NQ,532.7,532.7,532.7,872.5,872.5,872.5499674479166
Yearling Steer,280-330,Restocker,C,2,119,-75,300.0,419.0,356.7226890756302,-11.5,576.9,805.8,686.0,975.0,1382.7,1115.0932576155462
Yearling Steer,280-330,Restocker,D,1,1,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,650.0,650.0,650
Yearling Steer,280-330,Restocker,D,2,33,-22,251.0,371.0,321.6666666666667,10.6,482.7,713.5,618.6,803.3,1057.3,973.0091071851326
Yearling Steer,330-400,Feeder,C,2,28,NQ,330.0,407.0,375.10714285714283,NQ,634.6,782.7,721.4,1171.5,1546.6,1355.3696550641741
Yearling Steer,330-400,Feeder,C,3,2,NQ,285.0,285.0,285,NQ,537.7,537.7,537.7,1040.3,1040.3,1040.25
Yearling Steer,330-400,Feeder,D,2,12,NQ,275.0,309.0,293.6666666666667,NQ,528.8,594.2,564.7,938.0,1050.6,1009.8416341145834
Yearling Steer,330-400,Feeder,D,3,2,NQ,285.0,285.0,285,NQ,537.7,537.7,537.7,1040.3,1040.3,1040.25
Yearling Steer,330-400,Processor,D,3,5,NQ,291.0,291.0,291,NQ,549.1,549.1,549.1,1004.0,1004.0,1003.95
Yearling Steer,330-400,Restocker,C,2,38,-4,309.0,361.0,343.1578947368421,-11.3,594.2,694.2,659.9,1050.6,1282.1,1179.1894467002467
Yearling Steer,330-400,Restocker,D,2,5,-35,349.0,349.0,349,51.9,671.2,671.2,671.2,1169.2,1169.2,1169.15
Yearling Steer,400+,Feeder,C,2,8,NQ,389.0,389.0,389,NQ,748.1,748.1,748.1,1575.4,1575.4,1575.449951171875
Yearling Steer,400+,Processor,D,3,3,NQ,243.0,243.0,243,NQ,506.3,506.3,506.3,996.3,996.3,996.2999674479166
Yearling Heifer,0-200,Feeder,D,1,4,3,227.0,227.0,227,46.0,454.0,454.0,454.0,363.2,363.2,363.20001220703125
