Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 05/02/2025
Comparison Date: 29/01/2025
Total Yarding: 1248 (-2051)
Commentary
"Numbers at CQLX Gracemere Sale decreased following useful falls of rain in some coastal areas with 1248 head penned - some 2051 less than last week. Most cattle came from local areas to the west and coastal districts south to Miriamvale and included a draft from one recently sold property. Quality and condition varied as did the prices realised, however well presented lines sold at, or above last sale rates, despite some regular buyers not operating.

Light weight yearling steers sold to 445c/kg with well-bred pens averaging 408c/kg. Medium weight pens topped at 437c/kg to return averages from 367c to 428c/kg. Light weight yearling heifers averaged 237c to 321c/kg with the best making 355c/kg. Medium weight lines topped at 341c/kg, averaging 280c to 289c/kg for best-bred pens.

A few grown steers to processors sold from 314c to 349c/kg, whilst feeder weight pens. made from 325c to 354c/kg average. Trade weight grown heifers, well finished rose to a top price of 331c/kg, averaging 297c to 315c/kg.         

Processor cows made to 297c/kg, averaging 285c to 288c/kg - an improvement of 14 to 19c/kg on last sale. Heavy bulls to livex averaged 229c to 235c/kg. Cows and calves made $1,200 to $1,820 per unit.  Reporter: Richard Thomson"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,6,1,433.0,433.0,433,31.0,832.7,832.7,832.7,866.0,866.0,866
Yearling Steer,0-200,Restocker,D,2,9,NQ,300.0,303.0,302.6666666666667,NQ,576.9,582.7,582.1,525.0,545.4,543.1333550347222
Yearling Steer,200-280,Feeder,E,2,21,NQ,277.0,283.0,279.57142857142856,NQ,532.7,544.2,537.6,678.7,721.7,697.0785900297619
Yearling Steer,200-280,Restocker,C,2,94,-86,251.0,445.0,408.3404255319149,-3.7,482.7,855.8,784.8,559.7,1229.2,1053.817130880153
Yearling Steer,200-280,Restocker,D,2,106,-31,250.0,445.0,378.9056603773585,-5.6,480.8,855.8,728.7,599.8,1090.3,931.4226569409641
Yearling Steer,280-330,Feeder,C,2,10,-4,347.0,391.0,373.4,-33.5,667.3,751.9,718.1,1127.8,1133.9,1131.4400390625
Yearling Steer,280-330,Feeder,E,3,9,NQ,293.0,293.0,293,NQ,563.5,563.5,563.5,840.9,840.9,840.9099934895834
Yearling Steer,280-330,Processor,E,3,20,NQ,279.0,283.0,280.6,NQ,536.5,544.2,539.6,806.5,837.0,824.8199951171875
Yearling Steer,280-330,Restocker,C,2,21,-88,416.0,437.0,428.4761904761905,27.5,800.0,840.4,824.0,1185.6,1317.5,1268.2714262462798
Yearling Steer,280-330,Restocker,D,2,49,12,327.0,375.0,351.48979591836735,71.3,628.8,721.2,675.9,966.2,1184.7,1045.3020094268177
Yearling Steer,330-400,Feeder,C,2,15,1,311.0,340.0,329.73333333333335,-69.2,598.1,653.8,634.1,1095.4,1258.0,1152.646622721354
Yearling Steer,330-400,Feeder,D,2,13,NQ,335.0,335.0,335,NQ,644.2,644.2,644.2,1256.3,1256.3,1256.25
Yearling Steer,330-400,Restocker,C,2,47,41,351.0,385.0,368.82978723404256,-52.2,675.0,740.4,709.3,1193.4,1421.3,1304.778715093085
Yearling Steer,330-400,Restocker,D,2,11,-16,359.0,359.0,359,64.7,690.4,690.4,690.4,1220.6,1220.6,1220.5999644886363
Yearling Steer,400+,Feeder,C,2,12,-6,367.0,367.0,367,-13.1,705.8,705.8,705.8,1633.2,1633.2,1633.1500651041667
