Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 05/03/2025
Comparison Date: 26/02/2025
Total Yarding: 3137 (+84)
Commentary
"There was only a small increase in numbers of 84 head to 3137 head at CQLX Gracemere sale. Cattle were drawn from all local districts. North and south coastal vendors and a large draft from North Queensland. Quality, as usual was mixed, although there were several lines of well-bred, well-presented cattle. Although some buyers were not operating due to the prevailing weather conditions to the south, most of the usual panel was present and operating, albeit on reduced limits. The few classes that saw increases were quality related, with the sale easier than last week.

The few vealer steers sold to 377c/kg to average 307c to 362c/kg. Vealer heifers recorded averages from 250c to 291c/kg.

Light weight yearling steers sold to 415c/kg with large samples of well-bred lines averaging 355c/kg and plain lines 305c/kg. Medium weight lines averaged 335c to 366c/kg for the best bred pens. Light weight yearling heifers sold to 302c/kg, averaging 264c to 286c/kg for the best. Medium weight pens averaged 255c to 295c/kg.

The few bullocks and grown steers to processors made to 343c/kg, averaging 304c to 337c/kg. Large samples to feed and restockers averaged 325c to 365c/kg. Grown heifers to the trade saw the tops make 304c/kg and averages from 280c to 297c/kg. Those to feed averaged 265c to 299c/kg.

A few restocker cows averaged 236c to 243c/kg in what was generally a better conditioned offering of cows than previous weeks. Best conditioned, heavy, four score cows eased to average 270c/kg to processors. Heavy bulls to processors averaged 244c/kg and to Livex 254c/kg, again a considerable easing on last sale.  Reporter: Richard Thomson."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,10,1,277.0,277.0,277,-123.0,532.7,532.7,532.7,554.0,554.0,554
Yearling Steer,0-200,Restocker,D,2,4,NC,327.0,327.0,327,44.0,628.8,628.8,628.8,654.0,654.0,654
Yearling Steer,0-200,Restocker,E,2,4,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,418.0,418.0,418
Yearling Steer,200-280,Processor,D,2,24,4,253.0,297.0,280.0833333333333,-16.5,486.5,571.2,538.6,622.8,831.6,693.8104095458984
Yearling Steer,200-280,Restocker,C,2,270,3,277.0,415.0,354.662962962963,-37.5,532.7,798.1,682.0,616.0,1082.7,905.2533673321759
Yearling Steer,200-280,Restocker,D,2,246,122,271.0,341.0,305.2479674796748,-1.7,521.2,655.8,587.0,604.2,904.4,786.6390316350673
Yearling Steer,200-280,Restocker,E,2,1,NC,235.0,235.0,235,-5.0,451.9,451.9,451.9,481.8,481.8,481.75
Yearling Steer,280-330,Feeder,D,2,45,38,299.0,331.0,306.9555555555556,-2.9,575.0,636.5,590.3,909.0,1026.1,951.2455376519097
Yearling Steer,280-330,Processor,D,2,5,2,250.0,270.0,264.8,-56.2,480.8,519.2,509.2,712.5,860.8,776.6099975585937
Yearling Steer,280-330,Restocker,C,2,212,101,323.0,387.0,366.5,-23.2,621.2,744.2,704.8,988.3,1244.8,1139.9273727704895
Yearling Steer,280-330,Restocker,D,2,185,45,250.0,357.0,316.61621621621623,-9.4,480.8,686.5,608.9,712.5,1112.1,947.7532348632812
Yearling Steer,280-330,Restocker,E,2,1,NQ,229.0,229.0,229,NQ,440.4,440.4,440.4,698.5,698.5,698.4500122070312
Yearling Steer,330-400,Feeder,C,2,9,-20,327.0,351.0,335,-11.1,628.8,675.0,644.2,1242.6,1351.3,1278.8499348958333
Yearling Steer,330-400,Feeder,D,2,16,9,290.0,315.0,312.1875,9.0,557.7,605.8,600.4,1000.5,1102.5,1062.40625
Yearling Steer,330-400,Restocker,C,2,148,65,261.0,383.0,348.2972972972973,-24.2,501.9,736.5,669.8,887.4,1394.6,1257.5435873495567
Yearling Steer,330-400,Restocker,D,2,12,-55,250.0,317.0,292.75,-34.8,480.8,609.6,563.0,862.5,1236.3,1021.0166727701823
Yearling Steer,400+,Feeder,C,2,1,-2,340.0,340.0,340,-0.3,653.8,653.8,653.8,1411.0,1411.0,1411
Yearling Steer,400+,Restocker,C,2,9,NQ,349.0,349.0,349,NQ,671.2,671.2,671.2,1430.9,1430.9,1430.9000651041667
Yearling Heifer,200-280,Feeder,D,2,25,11,219.0,245.0,234.12,-23.0,421.2,471.2,450.2,449.0,686.0,592.986005859375
Yearling Heifer,200-280,Processor,C,2,139,27,245.0,287.0,264.431654676259,-20.9,471.2,551.9,508.5,551.3,803.6,657.693519208071
Yearling Heifer,200-280,Processor,D,2,146,99,205.0,289.0,259.1164383561644,-0.2,394.2,555.8,498.3,502.3,747.6,633.5407497458262
Yearling Heifer,200-280,Restocker,C,2,270,239,245.0,302.0,286.18148148148146,-1.5,471.2,580.8,550.3,567.0,814.8,739.6337002224392
Yearling Heifer,200-280,Restocker,D,2,19,8,250.0,270.0,268.94736842105266,9.9,480.8,519.2,517.2,567.0,575.0,567.421052631579
Yearling Heifer,200-280,Restocker,E,2,1,NQ,215.0,215.0,215,NQ,413.5,413.5,413.5,602.0,602.0,602
Yearling Heifer,280-330,Feeder,C,2,21,-51,255.0,285.0,282.8095238095238,-12.6,490.4,548.1,543.9,803.3,912.0,904.3833240327381
Yearling Heifer,280-330,Feeder,D,2,9,-82,255.0,260.0,255.55555555555554,-35.9,490.4,500.0,491.5,765.0,845.0,773.8888888888889
Yearling Heifer,280-330,Processor,C,2,68,5,249.0,279.0,273.8235294117647,-11.2,478.8,536.5,526.6,734.5,867.2,803.9485276166131
