Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 13/11/2024
Comparison Date: 06/11/2024
Total Yarding: 2984 (+787)
Commentary
"CQLX Gracemere numbers increased by 787 to 2984 head, with cattle coming to hand from vendors between Miriamvale and Collinsville and west to Moura and Theodore. Condition was a little better through most categories, with the exception of some light conditioned lines from the coastal strip around Mackay to Flaggy Rock. Competition was stronger for processor lines and the better bred back grounders and growers. 

Larger samples of light weight, well-bred yearling steers sold to 437c/kg to return averages from 364c to 369c/kg with lesser quality pens averaging 290c to 319c/kg. Medium weight pens sold to average 349c to 405c/kg for the best-bred pens. Light weight yearling heifers sold to 309c/kg, averaging 271c to 289c/kg for the best. Medium weight pens averaged from 261c to 295c/kg for the better lines.

There were several ideal lines of feeder steers which sold to record averages from 367c to 397c/kg. Small numbers of bullocks went to processors from 268c to 322c/kg, relative to finish. The best presented trade heifers in heavy pens made to 318c/kg, averaging 285c to 308c/kg, relative to condition. Feedlots averaged 267c to 285c/kg for their grown heifers. 

Restocker cows, score two, sold to average from 197c to 237c/kg.  The best, heavy, four score cows sold to processors to average 277c/kg. Heavy bulls went mostly to processors to average  258c/kg and top at 283c/kg. There were several pens of good quality brahman cows with calves at foot which sold from $1,200 to $1,600 per unit.
Reporter: Richard Thomson."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,5,-11,319.0,319.0,319,2.3,613.5,613.5,613.5,606.1,606.1,606.1
Yearling Steer,0-200,Restocker,D,2,32,3,301.0,373.0,364,12.4,578.8,717.3,700.0,602.0,634.1,630.0874633789062
Yearling Steer,200-280,Feeder,C,2,5,4,221.0,221.0,221,-66.0,425.0,425.0,425.0,541.5,541.5,541.45
Yearling Steer,200-280,Feeder,D,2,34,15,220.0,257.0,253.08823529411765,-35.2,423.1,494.2,486.7,483.8,681.0,658.4926470588235
Yearling Steer,200-280,Processor,C,2,5,-1,290.0,290.0,290,5.0,557.7,557.7,557.7,710.5,710.5,710.5
Yearling Steer,200-280,Processor,D,2,197,NQ,220.0,353.0,261.492385786802,NQ,423.1,678.8,502.9,506.0,776.6,618.7910998968908
Yearling Steer,200-280,Restocker,C,2,215,-63,285.0,437.0,368.8139534883721,15.6,548.1,840.4,709.3,684.0,1155.0,955.465885605923
Yearling Steer,200-280,Restocker,D,2,407,172,227.0,415.0,310.0786240786241,-8.2,436.5,798.1,596.3,525.0,1099.8,728.6362150225066
Yearling Steer,280-330,Processor,C,2,17,NQ,405.0,405.0,405,NQ,778.8,778.8,778.8,1215.0,1215.0,1215
Yearling Steer,280-330,Processor,D,2,12,NQ,240.0,265.0,249.66666666666666,NQ,461.5,509.6,480.1,728.7,874.5,784.0375162760416
Yearling Steer,280-330,Restocker,C,2,60,-21,300.0,423.0,374.8666666666667,27.7,576.9,813.5,720.9,915.0,1215.0,1119.182499186198
Yearling Steer,280-330,Restocker,D,2,64,31,289.0,349.0,305.125,3.2,555.8,671.2,586.8,838.1,1116.8,922.5367231369019
Yearling Steer,330-400,Feeder,C,2,6,-11,349.0,349.0,349,-12.6,671.2,671.2,671.2,1273.8,1273.8,1273.8499348958333
Yearling Steer,330-400,Feeder,D,2,13,NQ,320.0,351.0,341.46153846153845,NQ,615.4,675.0,656.7,1072.0,1281.2,1216.7961989182693
Yearling Steer,330-400,Restocker,C,2,4,-3,345.0,369.0,357,14.9,663.5,709.6,686.5,1173.0,1309.9,1241.4749755859375
Yearling Steer,330-400,Restocker,D,2,20,NQ,295.0,347.0,327.25,NQ,567.3,667.3,629.3,1017.8,1200.0,1122.04150390625
Yearling Heifer,0-200,Feeder,D,2,24,19,180.0,229.0,210.75,10.8,346.2,440.4,405.3,342.0,442.0,395.4875005086263
Yearling Heifer,0-200,Processor,D,2,1,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,456.0,456.0,456
Yearling Heifer,0-200,Restocker,C,2,7,5,269.0,273.0,270.7142857142857,33.7,517.3,525.0,520.6,497.6,546.0,518.3714250837054
Yearling Heifer,0-200,Restocker,D,2,28,22,201.0,237.0,219.82142857142858,-25.2,386.5,455.8,422.7,317.5,448.0,394.99999455043246
Yearling Heifer,200-280,Feeder,D,2,76,67,180.0,259.0,228.56578947368422,-11.9,346.2,498.1,439.5,387.0,712.3,528.6106599506579
Yearling Heifer,200-280,Processor,C,2,20,-79,24.0,281.0,159.95,-99.6,46.2,540.4,307.6,58.8,725.4,383.82500915527345
Yearling Heifer,200-280,Processor,C,3,3,NQ,281.0,281.0,281,NQ,530.2,530.2,530.2,786.8,786.8,786.7999674479166
Yearling Heifer,200-280,Processor,D,2,188,109,210.0,271.0,246.62765957446808,-1.4,403.8,521.2,474.3,453.6,701.3,583.5026624963639
Yearling Heifer,200-280,Restocker,C,2,120,57,241.0,309.0,288.68333333333334,14.5,463.5,594.2,555.2,542.3,837.2,723.9345809936524
Yearling Heifer,200-280,Restocker,D,2,93,2,223.0,287.0,251.46236559139786,4.5,428.8,551.9,483.6,473.5,742.0,597.5774037350891
Yearling Heifer,200-280,Restocker,E,2,12,NQ,227.0,237.0,227.83333333333334,NQ,436.5,455.8,438.1,568.8,635.6,630.0332997639974
Yearling Heifer,280-330,Feeder,C,2,9,NC,297.0,297.0,297,26.0,571.2,571.2,571.2,905.8,905.8,905.8499891493055
Yearling Heifer,280-330,Feeder,D,2,16,-39,269.0,269.0,269,25.0,517.3,517.3,517.3,766.7,766.7,766.6500244140625
Yearling Heifer,280-330,Feeder,D,3,2,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,724.5,724.5,724.5
Yearling Heifer,280-330,Processor,C,2,31,-7,260.0,275.0,265.64516129032256,-9.6,500.0,528.8,510.9,741.0,858.0,771.516129032258
Yearling Heifer,280-330,Restocker,C,2,22,-24,29.0,287.0,145.45454545454547,-135.2,55.8,551.9,279.7,95.1,913.3,441.2404618696733
Yearling Heifer,280-330,Restocker,C,3,2,NQ,287.0,287.0,287,NQ,551.9,551.9,551.9,818.0,818.0,817.9500122070312
Yearling Heifer,280-330,Restocker,D,2,7,NQ,289.0,289.0,289,NQ,555.8,555.8,555.8,838.1,838.1,838.0999581473214
Yearling Heifer,330-400,Feeder,C,2,10,-1,273.0,273.0,273,2.0,525.0,525.0,525.0,982.8,982.8,982.8
Yearling Heifer,330-400,Feeder,D,2,18,NQ,261.0,273.0,266.3333333333333,NQ,501.9,525.0,512.2,913.5,914.5,913.9666612413195
Yearling Heifer,330-400,Processor,C,2,2,NQ,295.0,295.0,295,NQ,556.6,556.6,556.6,1106.3,1106.3,1106.25
Yearling Heifer,330-400,Processor,C,3,4,NQ,257.0,257.0,257,NQ,484.9,484.9,484.9,912.3,912.3,912.3499755859375
Yearling Heifer,330-400,Processor,D,2,16,14,268.0,279.0,273.25,-9.8,515.4,536.5,525.5,911.2,1018.3,960.2874908447266
Yearling Heifer,330-400,Restocker,C,2,2,-10,293.0,293.0,293,17.3,563.5,563.5,563.5,996.2,996.2,996.2000122070312
Yearling Heifer,330-400,Restocker,C,3,1,NQ,293.0,293.0,293,NQ,552.8,552.8,552.8,996.2,996.2,996.2000122070312
Yearling Heifer,330-400,Restocker,D,2,12,NQ,257.0,273.0,269,NQ,494.2,525.0,517.3,873.8,914.5,904.3625081380209
Manufacturing Steer,540+,Processor,D,2,1,NQ,253.0,253.0,253,NQ,468.5,468.5,468.5,1530.7,1530.7,1530.6500244140625
Grown Steer,0-400,Feeder,C,2,96,89,365.0,411.0,392.7291666666667,25.7,701.9,790.4,755.2,1421.3,1561.8,1500.144287109375
Grown Steer,0-400,Feeder,D,2,4,-22,269.0,299.0,276.5,-42.2,517.3,575.0,531.7,995.3,1136.2,1030.5249633789062
Grown Steer,0-400,Processor,D,2,2,1,250.0,250.0,250,-15.0,480.8,480.8,480.8,1000.0,1000.0,1000
Grown Steer,0-400,Restocker,C,2,58,23,341.0,395.0,380.2758620689655,28.1,655.8,759.6,731.3,1238.4,1548.0,1438.6818763469828
Grown Steer,0-400,Restocker,D,2,12,-2,300.0,355.0,341.9166666666667,34.9,576.9,682.7,657.5,887.5,1316.0,1023.9833374023438
Grown Steer,400-500,Feeder,C,2,191,145,306.0,399.0,386.72251308900525,28.9,588.5,767.3,743.7,1315.8,1790.3,1644.57158369294
Grown Steer,400-500,Feeder,C,3,1,NC,367.0,367.0,367,80.0,692.5,692.5,692.5,1816.7,1816.7,1816.6500244140625
Grown Steer,400-500,Feeder,D,2,45,32,279.0,387.0,383.1333333333333,34.3,536.5,744.2,736.8,1325.3,1760.8,1719.7033799913195
Grown Steer,400-500,Processor,D,2,21,NQ,219.0,279.0,267.95238095238096,NQ,421.2,536.5,515.3,1007.4,1287.3,1218.1976085844494
Grown Steer,400-500,Processor,D,3,1,NQ,271.0,271.0,271,NQ,521.2,521.2,521.2,1205.9,1205.9,1205.949951171875
Grown Steer,400-500,Processor,D,4,1,NQ,332.0,332.0,332,NQ,614.8,614.8,614.8,1543.8,1543.8,1543.800048828125
Grown Steer,400-500,Restocker,C,2,25,NQ,397.0,397.0,397,NQ,763.5,763.5,763.5,1647.6,1707.1,1685.6619921875
Grown Steer,400-500,Restocker,D,2,6,NQ,301.0,331.0,311,NQ,578.8,636.5,598.1,1219.1,1357.1,1265.0666910807292
Grown Steer,500-600,Feeder,C,2,2,-6,337.0,337.0,337,-34.0,648.1,648.1,648.1,1769.3,1769.3,1769.25
Grown Steer,500-600,Processor,C,3,7,-5,293.0,328.0,298,-27.4,552.8,618.9,562.3,1656.4,1670.1,1668.1428048270088
Grown Steer,500-600,Processor,C,4,3,NQ,322.0,322.0,322,NQ,596.3,596.3,596.3,1883.7,1883.7,1883.6998697916667
Grown Steer,500-600,Processor,D,3,1,NQ,316.0,316.0,316,NQ,596.2,596.2,596.2,1769.6,1769.6,1769.5999755859375
Grown Steer,600-750,Processor,D,4,5,NQ,245.0,245.0,245,NQ,453.7,453.7,453.7,1666.0,1666.0,1666
Grown Steer,750+,Processor,C,4,4,NQ,286.0,310.0,292,NQ,520.0,563.6,530.9,2159.3,2356.0,2208.47509765625
Grown Heifer,0-540,Feeder,C,2,32,6,260.0,305.0,284.84375,13.9,500.0,586.5,547.8,1001.0,1287.8,1176.4312591552734
Grown Heifer,0-540,Feeder,D,2,99,72,227.0,277.0,266.90909090909093,0.2,436.5,532.7,513.3,647.0,1168.8,985.6479763454861
Grown Heifer,0-540,Processor,C,2,16,-29,283.0,283.0,283,7.1,544.2,544.2,544.2,990.5,990.5,990.5
Grown Heifer,0-540,Processor,C,3,37,NQ,260.0,295.0,284.8378378378378,NQ,490.6,556.6,537.4,1157.0,1319.5,1272.936497043919
Grown Heifer,0-540,Processor,C,4,11,-6,289.0,318.0,307.45454545454544,-0.7,535.2,588.9,569.4,1300.5,1669.5,1535.3181818181818
Grown Heifer,0-540,Processor,D,2,31,1,220.0,301.0,254.7741935483871,8.4,423.1,578.8,490.0,662.5,1339.4,930.2661329700101
Grown Heifer,0-540,Processor,D,3,25,18,267.0,301.0,284.92,21.3,503.8,567.9,537.6,1246.5,1401.7,1345.7240185546875
Grown Heifer,0-540,Restocker,C,2,37,33,271.0,297.0,295.2162162162162,0.2,521.2,571.2,567.7,975.6,1135.8,1062.6053994668496
Grown Heifer,0-540,Restocker,D,1,2,NQ,167.0,167.0,167,NQ,334.0,334.0,334.0,467.6,467.6,467.6000061035156
Grown Heifer,0-540,Restocker,D,2,37,32,220.0,275.0,259.9189189189189,10.9,423.1,528.8,499.8,825.0,1002.3,893.8729726430532
Grown Heifer,0-540,Restocker,E,1,9,NQ,80.0,160.0,151.11111111111111,NQ,166.7,307.7,292.0,188.0,424.0,397.77777777777777
Cows,0-400,Processor,D,1,1,NC,200.0,200.0,200,-30.0,476.2,476.2,476.2,670.0,670.0,670
Cows,0-400,Processor,D,2,15,10,211.0,251.0,224,-8.4,458.7,545.7,487.0,801.8,978.9,842.8833333333333
Cows,0-400,Restocker,D,1,1,-2,197.0,197.0,197,34.7,469.0,469.0,469.0,660.0,660.0,659.9500122070312
Cows,0-400,Restocker,D,2,8,-11,176.0,225.0,204.875,-17.0,400.0,511.4,465.6,660.0,866.3,754.9187469482422
Cows,0-400,Restocker,E,1,11,NQ,45.0,100.0,67.27272727272727,NQ,107.1,238.1,160.2,123.8,355.0,220.6818181818182
Cows,400-520,Processor,D,2,108,13,223.0,276.0,257.7962962962963,13.5,506.8,587.2,557.7,956.3,1348.3,1153.4592590332031
Cows,400-520,Processor,D,3,36,-12,244.0,269.0,264,7.3,508.3,560.4,549.3,1122.4,1275.0,1231.5388488769531
Cows,400-520,Processor,D,4,19,5,273.0,281.0,275.8421052631579,12.8,546.0,580.9,565.3,1214.8,1461.2,1301.0657894736842
Cows,400-520,Restocker,D,2,2,-37,237.0,237.0,237,-4.0,526.7,526.7,526.7,1019.1,1019.1,1019.0999755859375
Cows,520+,Processor,D,3,16,NQ,262.0,283.0,274,NQ,534.7,589.6,562.9,1375.5,1523.2,1468.5999603271484
Cows,520+,Processor,D,4,51,-19,264.0,290.0,276.8235294117647,4.9,523.1,576.0,543.9,1444.3,1803.4,1540.9800044041053
Bulls,0-450,Feeder,C,2,1,-9,287.0,287.0,287,10.5,551.9,551.9,551.9,1291.5,1291.5,1291.5
Bulls,0-450,Feeder,D,2,3,NQ,240.0,257.0,245.66666666666666,NQ,461.5,494.2,472.4,576.0,1053.7,735.2333170572916
Bulls,0-450,Feeder,E,1,9,NQ,100.0,140.0,113.33333333333333,NQ,192.3,269.2,217.9,245.0,441.0,310.3333333333333
Bulls,0-450,Live Export,C,3,1,NQ,250.0,250.0,250,NQ,454.5,454.5,454.5,1062.5,1062.5,1062.5
Bulls,0-450,Processor,C,2,6,3,255.0,263.0,261.6666666666667,-14.7,490.4,505.8,503.2,943.5,1078.3,1055.8333333333333
Bulls,0-450,Processor,D,2,51,43,180.0,259.0,242.66666666666666,-1.3,346.2,498.1,466.7,506.0,704.0,557.0284316119025
Bulls,0-450,Restocker,C,2,27,26,283.0,401.0,292,47.0,544.2,771.2,561.5,578.0,990.5,661.2425989221643
Bulls,0-450,Restocker,D,2,12,-7,203.0,349.0,263.25,-8.9,390.4,671.2,506.2,375.5,792.5,654.7124938964844
Bulls,0-450,Restocker,E,1,2,NC,100.0,100.0,100,-43.0,192.3,192.3,192.3,110.0,110.0,110
Bulls,450-600,Live Export,C,3,4,-9,245.0,273.0,262.5500030517578,6.9,445.5,496.4,477.4,1151.5,1597.1,1425.260009765625
Bulls,450-600,Processor,C,3,2,-5,243.0,263.0,253,4.0,441.8,478.2,460.0,1420.2,1433.7,1426.949951171875
Bulls,450-600,Processor,D,2,1,NQ,239.0,239.0,239,NQ,459.6,459.6,459.6,1111.3,1111.3,1111.3499755859375
Bulls,450-600,Restocker,E,2,2,NQ,157.0,157.0,157,NQ,314.0,314.0,314.0,722.2,722.2,722.2000122070312
Bulls,600+,Processor,C,2,3,NQ,249.0,249.0,249,NQ,469.8,469.8,469.8,1904.8,1904.8,1904.8499348958333
Bulls,600+,Processor,C,3,13,1,235.0,283.0,257.46153846153845,4.3,427.3,514.5,468.1,1527.5,2365.6,1835.157686673678
