Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 15/01/2025
Comparison Date: 11/12/2024
Total Yarding: 2750 (-679)
Commentary
"CQLX Vendors penned 2750 head for their first sale of the 2025 selling year at Gracemere.  Cattle came from local areas plus from the coastal strip from Mackay to Bororen and also areas west to Taroom and Clermont to comprise a mixed offering.
The usual feeder and processor buyer panel was short a few. However this did not stop prices improving on the closing sales in 2024 through the entire yarding.

A few vealer steers made to 431c/kg to average 415c/kg, whilst the vealer heifers sold to a top of 349c/kg to return a 344c/kg average. 

Light weight yearling steers reached 455c/kg to restockers to average 400c to 415c/kg for well-bred pens. Medium weight lines topped at 445c/kg, averaging 400c to 407c/kg.
Light weight yearling heifers made to 359c/kg, to average 331c to 344c/kg for best-bred pens to backgrounders and restockers. Well-bred, medium weight lines averaged 332c to 353c/kg.

Bullocks to processors averaged 344c to 365c/kg, whilst the feeder lines sold to 411c/kg,  recording an average 363c to 389c/kg. Trade heifers made from 325c to 351c/kg average for the best finished pens.

Heavy, four score cows, selling  to processors topped at 318c/kg to average 311c/kg. Heavy bulls to processors averaged 282c/kg, with those to livex averaging 281c/kg. A better quality lineup of cows and calves sold to keen competition which saw most sell from $1,400 to $1,820 per unit.  Reporter: Richard Thomson."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,D,1,2,1,311.0,311.0,311,-12.0,598.1,598.1,598.1,622.0,622.0,622
Yearling Steer,200-280,Feeder,D,2,1,-15,354.0,354.0,354,116.8,680.8,680.8,680.8,991.2,991.2,991.2000122070312
Yearling Steer,200-280,Processor,C,2,2,-2,300.0,300.0,300,21.0,576.9,576.9,576.9,750.0,780.0,765
Yearling Steer,200-280,Restocker,C,2,160,-246,371.0,455.0,414.775,31.2,713.5,875.0,797.6,943.3,1190.7,1072.4624954223632
Yearling Steer,200-280,Restocker,D,2,122,-79,280.0,439.0,373.4672131147541,40.0,538.5,844.2,718.2,660.1,1163.3,926.9196732317815
Yearling Steer,200-280,Restocker,E,1,5,NQ,358.0,358.0,358,NQ,688.5,688.5,688.5,787.6,787.6,787.6
Yearling Steer,280-330,Feeder,C,2,2,-34,389.0,389.0,389,-8.0,748.1,748.1,748.1,1167.0,1167.0,1167
Yearling Steer,280-330,Feeder,D,2,1,-20,310.0,310.0,310,-42.3,596.2,596.2,596.2,914.5,914.5,914.5
Yearling Steer,280-330,Processor,E,2,22,NQ,315.0,315.0,315,NQ,605.8,605.8,605.8,945.0,945.0,945
Yearling Steer,280-330,Restocker,C,2,113,90,361.0,411.0,400.30973451327435,10.0,694.2,790.4,769.8,1028.8,1310.1,1235.8482050262721
Yearling Steer,280-330,Restocker,D,2,39,-10,353.0,389.0,364.0769230769231,40.8,678.8,748.1,700.1,1034.6,1186.3,1113.9320788261218
Yearling Steer,330-400,Feeder,C,2,16,-19,369.0,385.0,377.75,-19.5,709.6,740.4,726.4,1365.3,1443.8,1403.6906280517578
Yearling Steer,330-400,Feeder,D,2,28,20,363.0,363.0,363,23.9,698.1,698.1,698.1,1252.3,1252.3,1252.3500279017858
Yearling Steer,330-400,Restocker,C,2,40,NQ,380.0,445.0,406.525,NQ,730.8,855.8,781.8,1295.4,1557.5,1400.5587158203125
Yearling Steer,330-400,Restocker,D,2,14,12,347.0,371.0,363.92857142857144,64.9,667.3,713.5,699.9,1206.0,1242.8,1226.682137625558
Yearling Heifer,0-200,Restocker,D,2,4,3,281.0,290.0,285.5,85.5,540.4,557.7,549.0,562.0,565.5,563.75
Yearling Heifer,200-280,Feeder,C,2,15,-28,310.0,337.0,331.6,70.4,596.2,648.1,637.7,775.0,943.6,909.8799479166667
Yearling Heifer,200-280,Feeder,D,2,27,-199,289.0,323.0,299.7037037037037,36.5,555.8,621.2,576.4,667.0,824.2,788.3500027126736
Yearling Heifer,200-280,Processor,C,2,25,-42,292.0,353.0,329.28,37.7,561.5,678.8,633.2,700.8,953.1,814.055986328125
Yearling Heifer,200-280,Processor,D,2,17,-64,303.0,325.0,315,32.4,582.7,625.0,605.8,681.8,845.0,776.1970645680148
Yearling Heifer,200-280,Restocker,C,2,63,-57,293.0,359.0,342.57142857142856,45.5,563.5,690.4,658.8,703.2,988.4,799.1555417984251
Yearling Heifer,200-280,Restocker,D,1,44,32,287.0,287.0,287,32.0,574.0,574.0,574.0,660.1,660.1,660.0999644886364
Yearling Heifer,200-280,Restocker,D,2,34,-40,285.0,343.0,306.5,29.6,548.1,659.6,589.4,638.0,907.5,729.8970588235294
Yearling Heifer,280-330,Feeder,C,2,23,20,323.0,349.0,336.5652173913044,49.6,621.2,671.2,647.2,1033.6,1151.7,1095.2173488451087
Yearling Heifer,280-330,Processor,C,2,16,-10,341.0,359.0,353.375,58.1,667.3,690.4,684.5,1093.1,1112.9,1108.3062591552734
Yearling Heifer,280-330,Processor,D,2,6,-1,345.0,345.0,345,59.9,663.5,663.5,663.5,1017.8,1017.8,1017.75
Yearling Heifer,280-330,Restocker,C,2,15,-70,343.0,351.0,346.2,10.1,659.6,675.0,665.8,1056.5,1063.3,1060.5840169270834
Yearling Heifer,280-330,Restocker,D,2,1,-15,310.0,310.0,310,17.4,596.2,596.2,596.2,899.0,899.0,899
Yearling Heifer,330-400,Feeder,C,2,11,-1,337.0,337.0,337,-6.0,648.1,648.1,648.1,1230.1,1230.1,1230.0500710227273
Yearling Heifer,330-400,Processor,C,2,5,NQ,339.0,339.0,339,NQ,678.0,678.0,678.0,1152.6,1152.6,1152.6
Yearling Heifer,330-400,Processor,D,2,31,NQ,344.0,344.0,344,NQ,661.5,661.5,661.5,1152.4,1152.4,1152.4000756048388
Yearling Heifer,330-400,Restocker,C,2,6,NC,340.0,349.0,343,74.3,653.8,658.5,655.4,1139.0,1238.9,1172.316650390625
Yearling Heifer,400+,Processor,C,2,1,NQ,349.0,349.0,349,NQ,658.5,658.5,658.5,1413.4,1413.4,1413.449951171875
Vealer Steer,0-200,Restocker,C,2,1,-9,415.0,415.0,415,91.6,798.1,798.1,798.1,788.5,788.5,788.5
Vealer Steer,200-280,Restocker,C,2,23,19,377.0,431.0,416.1304347826087,47.1,725.0,828.8,800.3,904.8,1015.2,981.8478260869565
Vealer Heifer,0-200,Restocker,C,2,12,8,339.0,339.0,339,72.0,651.9,651.9,651.9,678.0,678.0,678
Vealer Heifer,200-280,Processor,C,2,13,11,340.0,345.0,343.84615384615387,52.8,653.8,663.5,661.2,816.0,821.1,819.9230769230769
Vealer Heifer,200-280,Processor,D,2,1,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,666.5,666.5,666.5
Vealer Heifer,200-280,Restocker,C,2,11,NQ,349.0,349.0,349,NQ,671.2,671.2,671.2,732.9,732.9,732.9000355113636
Grown Steer,0-400,Feeder,C,2,81,62,375.0,397.0,385.98765432098764,6.0,721.2,763.5,742.3,1357.2,1580.0,1492.3586516203704
Grown Steer,0-400,Feeder,D,1,8,NQ,220.0,243.0,237.25,NQ,423.1,467.3,456.3,605.0,668.3,652.4375
Grown Steer,0-400,Feeder,D,2,57,30,342.0,379.0,365.57894736842104,23.4,657.7,728.8,703.0,1259.3,1497.1,1369.6587727864583
Grown Steer,0-400,Live Export,D,2,6,NQ,367.0,367.0,367,NQ,705.8,705.8,705.8,1302.8,1302.8,1302.8499348958333
Grown Steer,0-400,Processor,C,2,6,NQ,361.0,361.0,361,NQ,694.2,694.2,694.2,1353.8,1353.8,1353.75
Grown Steer,0-400,Processor,D,2,2,NQ,289.0,289.0,289,NQ,555.8,555.8,555.8,1112.7,1112.7,1112.6500244140625
Grown Steer,0-400,Restocker,C,2,8,6,381.0,381.0,381,30.0,732.7,732.7,732.7,1314.4,1314.4,1314.449951171875
Grown Steer,0-400,Restocker,D,1,4,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,742.5,742.5,742.5
Grown Steer,0-400,Restocker,D,2,13,-12,371.0,371.0,371,38.7,713.5,713.5,713.5,1075.9,1075.9,1075.9000150240386
Grown Steer,400-500,Feeder,C,2,210,20,363.0,411.0,389.29047619047617,22.5,698.1,790.4,748.6,1470.2,1886.4,1673.8680943080358
Grown Steer,400-500,Feeder,C,3,9,-2,320.0,383.0,357.3333333333333,25.2,615.4,722.6,678.1,1440.0,1752.8,1625.9832899305557
Grown Steer,400-500,Feeder,D,2,36,17,339.0,381.0,362.72222222222223,41.8,651.9,732.7,689.9,1523.1,1552.3,1542.5389268663193
Grown Steer,400-500,Feeder,D,3,42,38,361.0,361.0,361,30.0,681.1,681.1,681.1,1552.3,1552.3,1552.300037202381
Grown Steer,400-500,Live Export,C,3,11,NQ,359.0,359.0,359,NQ,690.4,690.4,690.4,1579.6,1579.6,1579.5999644886363
Grown Steer,400-500,Processor,C,3,41,NQ,363.0,365.0,364.3170731707317,NQ,698.1,701.9,700.6,1679.0,1742.4,1700.648770960366
Grown Steer,400-500,Processor,D,2,7,2,365.0,365.0,365,94.0,701.9,701.9,701.9,1496.5,1496.5,1496.5
Grown Steer,500-600,Feeder,C,3,1,NQ,357.0,357.0,357,NQ,673.6,673.6,673.6,1856.4,1856.4,1856.4000244140625
Grown Steer,500-600,Processor,C,3,8,7,343.0,345.0,344,65.0,647.2,650.9,649.1,1749.3,1828.5,1788.9000244140625
Grown Heifer,0-540,Feeder,C,2,57,-92,329.0,349.0,334.0175438596491,-0.3,632.7,671.2,642.3,1118.6,1206.0,1160.4534847861842
Grown Heifer,0-540,Feeder,C,3,1,-93,327.0,327.0,327,-23.7,617.0,617.0,617.0,1553.3,1553.3,1553.25
Grown Heifer,0-540,Feeder,D,2,319,108,240.0,361.0,333.88401253918494,36.8,461.5,694.2,642.1,712.5,1283.8,1147.9910747085619
Grown Heifer,0-540,Feeder,E,1,25,NQ,247.0,271.0,264.28,NQ,494.0,542.0,528.6,677.5,704.0,684.90599609375
Grown Heifer,0-540,Processor,C,2,34,26,292.0,343.0,327.47058823529414,28.6,561.5,659.6,629.8,700.8,1389.2,1188.5941305721508
Grown Heifer,0-540,Processor,C,3,11,1,349.0,359.0,349.90909090909093,45.5,658.5,664.8,659.1,1326.2,1669.3,1357.3954523259943
Grown Heifer,0-540,Processor,C,4,5,-9,335.0,339.0,337.4,50.7,627.8,632.1,629.5,1593.3,1608.0,1599.180078125
Grown Heifer,0-540,Processor,D,2,215,188,240.0,343.0,325.8837209302326,52.2,478.8,659.6,627.1,766.8,1446.3,1109.430951353561
Grown Heifer,0-540,Processor,D,3,20,14,321.0,349.0,335.9,50.9,617.3,658.5,634.4,1250.2,1535.6,1442.5524963378907
Grown Heifer,0-540,Processor,E,2,1,NQ,261.0,261.0,261,NQ,501.9,501.9,501.9,913.5,913.5,913.5
Grown Heifer,0-540,PTIC,C,3,7,NQ,335.0,335.0,335,NQ,632.1,632.1,632.1,1457.3,1490.8,1466.8214285714287
Grown Heifer,0-540,Restocker,C,2,8,-14,319.0,347.0,336.25,13.4,613.5,663.5,640.3,973.0,1474.8,1263.9500122070312
Grown Heifer,0-540,Restocker,D,2,46,-36,180.0,347.0,290.19565217391306,-6.6,346.2,667.3,558.1,621.0,1259.7,976.6663234544837
Grown Heifer,0-540,Restocker,E,2,9,NQ,220.0,247.0,239.44444444444446,NQ,423.1,475.0,460.5,715.0,876.8,819.3611111111111
Cows,0-400,Processor,D,1,4,NQ,217.0,217.0,217,NQ,516.7,516.7,516.7,835.5,835.5,835.4500122070312
Cows,0-400,Processor,D,2,4,-22,240.0,261.0,246.75,4.6,523.9,580.0,548.5,882.0,1017.9,928.9375
Cows,0-400,Processor,E,1,6,NQ,60.0,130.0,106.66666666666667,NQ,142.9,309.5,254.0,186.0,416.0,339.3333333333333
Cows,400-520,Processor,D,1,1,NQ,170.0,170.0,170,NQ,404.8,404.8,404.8,714.0,714.0,714
Cows,400-520,Processor,D,2,30,-32,170.0,293.0,266.6333333333333,22.5,386.4,637.0,584.1,688.5,1333.2,1165.4416544596354
Cows,400-520,Processor,D,3,22,-46,261.0,316.0,293.95454545454544,19.2,532.7,658.3,611.4,1187.6,1611.6,1393.0864091352983
Cows,400-520,Processor,D,4,7,-25,289.0,306.0,291.42857142857144,10.5,578.0,612.0,582.9,1372.8,1438.2,1382.0999930245537
Cows,520+,Processor,D,3,8,5,289.0,295.0,290.5,17.5,602.1,614.6,605.2,1517.3,1578.3,1532.5
Cows,520+,Processor,D,4,37,-74,290.0,318.0,311.4054054054054,28.2,580.0,691.3,634.4,1624.0,1759.3,1684.2499967008023
Bulls,0-450,Feeder,D,2,4,-14,250.0,317.0,271.75,53.5,480.8,609.6,522.6,600.0,1077.8,751.7000122070312
Bulls,0-450,Live Export,C,3,1,NQ,331.0,331.0,331,NQ,624.5,624.5,624.5,794.4,794.4,794.4000244140625
Bulls,0-450,Live Export,D,2,39,38,280.0,350.0,297.05128205128204,80.1,538.5,673.1,571.3,672.0,1242.5,957.0359074519231
Bulls,0-450,Processor,C,2,2,-11,283.0,283.0,283,6.3,544.2,544.2,544.2,792.4,792.4,792.4000244140625
Bulls,0-450,Processor,D,2,19,8,280.0,283.0,282.8421052631579,37.6,538.5,544.2,543.9,693.3,756.0,696.6473581414474
Bulls,0-450,Restocker,C,2,6,-3,345.0,381.0,351,60.9,663.5,732.7,675.0,971.5,1259.3,1211.2999979654949
Bulls,0-450,Restocker,D,2,2,-49,241.0,271.0,256,-39.9,463.5,521.2,492.3,578.4,609.8,594.0750122070312
Bulls,450-600,Feeder,C,2,1,NQ,281.0,281.0,281,NQ,530.2,530.2,530.2,1419.1,1419.1,1419.050048828125
Bulls,450-600,Feeder,C,3,1,NQ,310.0,310.0,310,NQ,563.6,563.6,563.6,1813.5,1813.5,1813.5
Bulls,450-600,Live Export,D,2,1,NC,291.0,291.0,291,51.0,559.6,559.6,559.6,1396.8,1396.8,1396.800048828125
Bulls,450-600,Processor,C,3,1,NC,311.0,311.0,311,71.0,598.1,598.1,598.1,1601.7,1601.7,1601.6500244140625
Bulls,450-600,Processor,D,3,1,NQ,305.0,305.0,305,NQ,564.8,564.8,564.8,1647.0,1647.0,1647
Bulls,450-600,Restocker,D,2,1,NQ,290.0,290.0,290,NQ,557.7,557.7,557.7,1348.5,1348.5,1348.5
Bulls,600+,Live Export,C,3,8,-5,269.0,295.0,280.875,26.3,489.1,536.4,510.7,1883.6,2242.0,1981.6937255859375
Bulls,600+,Processor,C,2,2,NQ,259.0,259.0,259,NQ,488.7,488.7,488.7,1670.6,1670.6,1670.550048828125
Bulls,600+,Processor,C,3,11,4,234.0,294.0,281.8181818181818,19.8,425.5,534.5,512.4,1696.5,2256.1,2067.149980024858
Bulls,600+,Processor,D,3,1,NQ,273.0,273.0,273,NQ,496.4,496.4,496.4,2061.1,2061.1,2061.14990234375
