Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 20/11/2024
Comparison Date: 13/11/2024
Total Yarding: 3307 (+323)
Commentary
"The promise of some good falls of rain and a solid sale last week increased numbers by 323 head to 3307 at CQLX  Gracemere sale. Cattle were drawn from Cracow and Theodore through to Bowen and west to Clermont and Moura  to comprise a generally good quality offering which sold well to the usual feeders and processors  and an increased restocker gallery.

Light weight pens of yearling steers sold to 437c/kg occasionally, returning averages from 325c to 376c/kg. Medium weight pens sold to 401c/kg to average 369c to 384c/kg for the best-bred cattle. Light weight yearling heifers sold to a 317c/kg top, to average 267c to 297c/kg for well-bred lines. “C” butt, medium weight yearling heifers, selling to feed and background, reached a 349c/kg top, averaging 276c to 331c/kg.

The best-bred grown steers to feed averaged 340c to 385c/kg. There were very few bullocks on offer, which sold to make from 331c to 340c/kg. Grown heifers to background  and feed sold to a 323c/kg top, with trade weights making to 333c/kg to average 297c to 325c/kg.  

Best finished cows averaged 293c/kg and sold to 314c/kg. Heavy bulls sold to processors to a top of 330c/kg, returning a respectable average of 271c/kg. The better quality cows and calves sold from $1,125 to $1,400 per unit. Dairy bred milkers and foster mothers made from $1,600 to $1,870 per unit. Reporter: Richard Thomson."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Processor,D,2,25,NQ,255.0,255.0,255,NQ,490.4,490.4,490.4,510.0,510.0,510
Yearling Steer,0-200,Restocker,D,2,25,-7,259.0,416.0,331.8,-32.2,498.1,800.0,638.1,407.5,707.2,577.1000048828125
Yearling Steer,200-280,Feeder,D,2,6,-28,200.0,240.0,223.33333333333334,-29.8,384.6,461.5,429.5,440.0,540.0,507.8333333333333
Yearling Steer,200-280,Processor,D,2,8,-189,220.0,260.0,253.625,-7.9,423.1,500.0,487.7,533.0,622.5,554.5625
Yearling Steer,200-280,Restocker,C,2,602,387,241.0,437.0,375.99169435215947,7.2,463.5,840.4,723.1,614.5,1072.4,907.0743175012328
