Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 29/01/2025
Comparison Date: 
Total Yarding: 3299 (NQ)
Commentary
"CQLX vendors offered 3299 head this week at Gracemere - 741 less than last sale. Quality was variable throughout the sale with several drafts of plain conditioned cross bred grown steers for feeders along with smaller runs of restocker and feeder steers and heifers present. Competition came from a smaller feeder gallery, the usual processors panel of buyers and an ever-changing restockers buying group. Price variations were mostly in line with quality.

Vealer steers sold to 425c/kg, whilst vealer heifers topped at 317c/kg to average 250c to 284c/kg.

Light weight pens of Yearling steers saw the best-bred lines sell to 447c/kg with averages from 385c to 412c/kg. Medium weight lines made to 425c/kg, averaging 380c to 407c/kg. Light weight pens of yearling heifers, selling to 331c/kg, averaged 253c to 296c/kg, whilst the medium weights reached a 337c/kg top to average 263c to 315c/kg.

Grown steers in plain condition, with Brahman content averaged from 308c to 341c/kg with better cross bred feeders selling to 415c/kg to average 374c to 386c/kg. A few bullocks offered sold to average 338c/kg. Grown heifers to trade buyers sold to average 272c to 296c/kg, topping at 312c/kg.

Several lines of store conditioned cows went back to restockers, making to 251c/kg, while prime, score four cows made to 295c/kg to return a 275c/kg average.  Again, heavy bulls sold to processors at a reduced average of 244c/kg. Good average cows and calves sold from $1,200 to $1,500 per unit."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,5,NQ,402.0,402.0,402,NQ,773.1,773.1,773.1,783.9,783.9,783.9
Yearling Steer,200-280,Processor,E,2,8,NQ,213.0,213.0,213,NQ,409.6,409.6,409.6,532.5,532.5,532.5
Yearling Steer,200-280,Restocker,C,2,180,38,301.0,447.0,412.0833333333333,6.4,578.8,859.6,792.5,722.4,1136.2,1018.5763746473524
Yearling Steer,200-280,Restocker,D,2,137,37,239.0,429.0,384.45985401459853,31.2,459.6,825.0,739.3,633.3,1110.3,955.5780884680087
Yearling Steer,200-280,Restocker,E,2,113,NQ,251.0,269.0,254.78761061946904,NQ,482.7,517.3,490.0,539.7,712.8,572.3040004493915
Yearling Steer,280-330,Feeder,C,2,14,3,370.0,425.0,406.92857142857144,49.9,711.5,817.3,782.6,1202.5,1402.5,1291.3857247488838
Yearling Steer,280-330,Feeder,D,2,13,4,403.0,403.0,403,82.3,775.0,775.0,775.0,1148.6,1148.6,1148.550030048077
Yearling Steer,280-330,Live Export,D,2,2,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,783.0,783.0,783
Yearling Steer,280-330,Restocker,C,2,109,68,337.0,431.0,400.9449541284404,14.5,648.1,828.8,771.0,1083.0,1332.5,1208.3123924885322
Yearling Steer,280-330,Restocker,D,2,37,-100,53.0,387.0,280.18918918918916,-87.8,101.9,744.2,538.8,151.1,1102.9,834.0905217351141
Yearling Steer,330-400,Feeder,C,2,14,11,340.0,415.0,398.92857142857144,51.9,653.8,798.1,767.2,1292.0,1618.5,1548.5357142857142
Yearling Steer,330-400,Processor,E,2,3,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,840.0,840.0,840
Yearling Steer,330-400,Restocker,C,2,6,-84,421.0,421.0,421,20.3,809.6,809.6,809.6,1536.7,1536.7,1536.6500651041667
Yearling Steer,330-400,Restocker,D,2,27,11,289.0,319.0,294.3333333333333,-63.9,555.8,613.5,566.0,982.6,1100.6,1007.4222276475695
Yearling Steer,400+,Feeder,C,2,18,15,373.0,389.0,380.1111111111111,7.1,717.3,748.1,731.0,1603.9,1653.3,1625.8333333333333
Yearling Steer,400+,Feeder,D,2,62,NQ,289.0,289.0,289,NQ,555.8,555.8,555.8,1170.4,1170.4,1170.449974798387
Yearling Heifer,0-200,Restocker,D,2,1,NQ,235.0,235.0,235,NQ,451.9,451.9,451.9,446.5,446.5,446.5
Yearling Heifer,200-280,Feeder,D,2,44,19,170.0,241.0,227.5909090909091,0.5,326.9,463.5,437.7,374.0,660.0,531.5272743918679
Yearling Heifer,200-280,Processor,C,2,42,-19,240.0,263.0,253.3095238095238,-58.0,461.5,505.8,487.1,564.0,662.5,628.9869094122024
Yearling Heifer,200-280,Processor,D,2,176,12,230.0,267.0,240.1534090909091,-46.4,442.3,513.5,461.8,550.0,747.6,644.0988634282893
Yearling Heifer,200-280,Processor,E,2,5,NQ,180.0,200.0,188,NQ,346.2,384.6,361.5,480.0,495.0,489
Yearling Heifer,200-280,Restocker,C,2,95,-35,251.0,331.0,295.5578947368421,-19.6,482.7,636.5,568.4,664.8,871.8,740.3415758634868
Yearling Heifer,200-280,Restocker,D,1,4,-9,220.0,220.0,220,-16.4,440.0,440.0,440.0,451.0,451.0,451
Yearling Heifer,200-280,Restocker,D,2,129,35,170.0,303.0,262.3643410852713,-0.1,340.0,582.7,504.6,416.5,767.2,650.0174463553022
Yearling Heifer,200-280,Restocker,E,2,2,NQ,237.0,237.0,237,NQ,455.8,455.8,455.8,557.0,557.0,556.9500122070312
Yearling Heifer,280-330,Feeder,C,2,20,13,333.0,335.0,334,25.0,640.4,644.2,642.3,965.7,1038.5,1002.1
Yearling Heifer,280-330,Feeder,C,3,14,NQ,285.0,285.0,285,NQ,537.7,537.7,537.7,869.3,869.3,869.25
Yearling Heifer,280-330,Feeder,D,2,16,4,263.0,263.0,263,-9.6,505.8,505.8,505.8,762.7,762.7,762.7000122070312
Yearling Heifer,280-330,Processor,C,2,45,-24,273.0,273.0,273,-54.6,525.0,525.0,525.0,873.6,873.6,873.6
Yearling Heifer,280-330,Processor,D,2,56,24,230.0,275.0,264.3392857142857,-13.5,442.3,528.8,508.3,701.5,847.3,800.8999720982143
Yearling Heifer,280-330,Processor,D,3,3,NQ,261.0,261.0,261,NQ,492.5,492.5,492.5,835.2,835.2,835.2000325520834
Yearling Heifer,280-330,Restocker,C,2,64,37,269.0,337.0,314.59375,-6.0,517.3,648.1,605.0,874.3,1004.8,953.3820495605469
Yearling Heifer,280-330,Restocker,D,2,44,NQ,243.0,273.0,270.8636363636364,NQ,467.3,525.0,520.9,704.7,873.6,804.5249758633701
Yearling Heifer,330-400,Feeder,C,2,14,-6,265.0,299.0,294.14285714285717,-13.5,509.6,575.0,565.7,940.8,1106.3,1082.6500418526787
Yearling Heifer,330-400,Processor,C,2,6,NQ,293.0,293.0,293,NQ,563.5,563.5,563.5,1054.8,1054.8,1054.800048828125
Yearling Heifer,330-400,Restocker,D,2,9,-8,271.0,271.0,271,-6.2,521.2,521.2,521.2,989.2,989.2,989.1500651041666
Yearling Heifer,400+,Processor,D,3,8,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,1120.5,1120.5,1120.5
Vealer Steer,0-200,Restocker,D,2,1,NQ,295.0,295.0,295,NQ,567.3,567.3,567.3,413.0,413.0,413
Vealer Steer,200-280,Restocker,C,2,2,NQ,353.0,417.0,385,NQ,678.8,801.9,740.4,794.3,875.7,834.9750061035156
Vealer Steer,200-280,Restocker,D,2,15,NQ,421.0,425.0,422.8666666666667,NQ,809.6,817.3,813.2,871.3,926.2,900.5566731770833
Vealer Steer,280-330,Restocker,C,2,1,NQ,409.0,409.0,409,NQ,786.5,786.5,786.5,1247.4,1247.4,1247.449951171875
Vealer Heifer,0-200,Processor,C,2,5,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,500.0,500.0,500
