Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 05/03/2025
Comparison Date: 22/01/2025
Total Yarding: 3276 (+1759)
Commentary
"Following significant rain in early February, the first sale for over a month attracted 3276 cattle in very warm conditions. Quality was mixed, comprising of some good quality heavy bullocks and 985 cows, supported by many mixed quality lines of store steers and heifers.  All regular processors were in attendance and operating in line with other selling centres. One regular feeder was notably absent, however the buyer gallery was filled with many interested onlookers, opportunity restockers and backgrounders. Cattle were drawn from Mt Isa to Richmond, north to Georgetown and south to the local area.

Despite firm demand, values eased across all prime categories. Prices for vealer steers and heifers was solid for better quality types. Yearling steers to backgrounders and feed sold firm and heifers generally attracted good demand from processors and backgrounders.

Young steers returning to the paddock sold to 314c, averaging from 281c to 299c/ kg.  A large sample of young heifers to processors reached 268c to average 249c/kg. Yearling steers above to 280kg to backgrounders sold to 280c averaging 278c and those above 330kg averaged 277c/kg. Prime yearling steers to the trade sold to 294c/kg. Yearling heifers above 200kg to processors averaged 243c.  Heavy yearling heifers above 400kg to the trade reached 276c to average 271c/kg. 

Grown steers above 400kg to processors averaged 264c to 282c, selling to 286c, heavy grown steers sold to 283c/kg. A fair sample of grown heifers to feed made to 282c to average 263c, processor types reached 278c, to average 271c to 273c/kg.

Heavy full mouthed bullocks to export slaughter topped at 300c to average from 272c to 298c/kg.  Medium weight 2 score cows reached 236c to average 221c, 3 scores made to 268c averaging 236c to 251c and a good sample of prime heavyweight cows topped at 270c to average 253c to 261c/kg. Heavy bulls to processors sold to 256c, averaging 238c, while medium and heavy bulls to feed destined for live export sold to 272c to average from 240c to 266c/kg.

A good sample of cows and calves sold from $750 to $1,250/unit.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,2,-30,280.0,280.0,280,11.8,538.5,538.5,538.5,756.0,756.0,756
Yearling Steer,200-280,Feeder,D,2,29,-78,170.0,230.0,201.72413793103448,-42.7,326.9,442.3,387.9,391.0,586.5,507.3965517241379
Yearling Steer,200-280,Processor,C,2,1,NQ,264.0,264.0,264,NQ,507.7,507.7,507.7,699.6,699.6,699.5999755859375
Yearling Steer,200-280,Processor,D,2,6,NQ,180.0,220.0,201.66666666666666,NQ,352.9,423.1,390.1,477.0,594.0,541.6666666666666
Yearling Steer,200-280,Restocker,D,2,54,-11,200.0,278.0,260.7962962962963,-5.3,384.6,534.6,501.5,430.0,736.7,645.857421875
Yearling Steer,280-330,Feeder,C,2,16,-9,238.0,278.0,260.5,-37.9,457.7,534.6,501.0,737.8,889.6,826.8562164306641
Yearling Steer,280-330,Feeder,D,2,23,12,228.0,296.0,254.2608695652174,26.1,438.5,569.2,489.0,729.6,873.2,810.0173790973166
Yearling Steer,280-330,Restocker,C,2,20,NQ,272.0,272.0,272,NQ,523.1,523.1,523.1,788.8,788.8,788.8
Yearling Steer,280-330,Restocker,D,2,57,56,264.0,280.0,278.7368421052632,38.7,507.7,538.5,536.0,826.0,868.0,850.6105293140076
Yearling Steer,330-400,Feeder,C,2,5,-25,240.0,288.0,261.2,-6.8,461.5,553.8,502.3,936.0,1065.6,990.639990234375
Yearling Steer,330-400,Feeder,D,2,2,-7,272.0,276.0,274,-28.0,523.1,530.8,526.9,938.4,1007.4,972.9000244140625
Yearling Steer,330-400,Processor,D,3,4,NQ,240.0,240.0,240,NQ,452.8,452.8,452.8,936.0,936.0,936
Yearling Steer,330-400,Restocker,C,2,19,NQ,260.0,282.0,273.89473684210526,NQ,500.0,542.3,526.7,924.8,1057.5,964.6421155427631
Yearling Steer,330-400,Restocker,D,2,59,58,262.0,282.0,277.2542372881356,107.3,503.8,542.3,533.2,903.9,972.9,942.7152689271054
Yearling Steer,330-400,Restocker,E,2,3,NQ,234.0,234.0,234,NQ,450.0,450.0,450.0,854.1,854.1,854.0999348958334
Yearling Steer,400+,Processor,C,4,17,NQ,294.0,294.0,294,NQ,544.4,544.4,544.4,1455.3,1455.3,1455.3000919117646
Yearling Heifer,200-280,Feeder,C,2,6,NQ,240.0,248.0,242.66666666666666,NQ,461.5,476.9,466.7,576.0,632.4,594.8000081380209
Yearling Heifer,200-280,Feeder,D,1,1,NQ,140.0,140.0,140,NQ,274.5,274.5,274.5,329.0,329.0,329
Yearling Heifer,200-280,Feeder,D,2,28,-44,140.0,250.0,205.71428571428572,30.5,269.2,480.8,395.6,287.0,650.0,491.1607142857143
Yearling Heifer,200-280,Processor,C,2,43,NQ,230.0,254.0,242.8372093023256,NQ,442.3,488.5,467.0,586.5,685.8,638.3372093023256
Yearling Heifer,200-280,Processor,D,2,17,2,180.0,242.0,228.47058823529412,-35.5,352.9,465.4,439.8,477.0,653.4,621.0764734604779
Yearling Heifer,200-280,Restocker,D,2,11,-41,220.0,250.0,244.54545454545453,33.3,423.1,480.8,470.3,594.0,650.0,639.8181818181819
Yearling Heifer,280-330,Feeder,C,2,9,-1,220.0,240.0,222.22222222222223,-55.8,423.1,461.5,427.4,671.0,708.0,675.1111111111111
Yearling Heifer,280-330,Feeder,D,2,9,-38,230.0,240.0,238.88888888888889,3.2,442.3,461.5,459.4,684.0,713.0,687.2222222222222
Yearling Heifer,280-330,Processor,C,2,1,NQ,210.0,210.0,210,NQ,403.8,403.8,403.8,661.5,661.5,661.5
Yearling Heifer,280-330,Processor,D,2,17,NQ,230.0,254.0,251.1764705882353,NQ,451.0,488.5,484.1,736.6,747.5,737.8823529411765
Yearling Heifer,280-330,Restocker,C,2,5,-5,256.0,256.0,256,36.0,492.3,492.3,492.3,819.2,819.2,819.2
Yearling Heifer,280-330,Restocker,D,2,3,-6,260.0,260.0,260,43.3,500.0,500.0,500.0,754.0,754.0,754
Yearling Heifer,330-400,Feeder,C,2,7,-20,264.0,264.0,264,-4.6,507.7,507.7,507.7,937.2,937.2,937.1999860491071
Yearling Heifer,330-400,Processor,C,3,8,6,246.0,246.0,246,6.0,473.1,473.1,473.1,922.5,922.5,922.5
