Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CTLX Carcoar
Report Date: 08/10/2024
Comparison Date: 
Total Yarding: 1088 (NQ)
Commentary
"Numbers eased by 250 for a yarding of 1088 cattle. Quality was mixed with limited supply of well-bred feeder and heavy prime cattle. Not all the regular buyers were present, and competition lacked, the market sold to a cheaper trend.

Prime yearling steers were up to 30c cheaper selling from 290c to 350c, while prime yearling heifers held firm, 280c to 320c/kg. Feeder steers dropped 12c, 300c to 388c, and feeder heifers were down 8c, 250c to 320c/kg. Restockers steers sold cheaper, 298c to 350c, while restockers heifers were slightly dearer, 250c to 339c/kg.

Prime grown cattle were 10c to 15c cheaper, heavy steers sold from 270c to 330c, and heavy heifers, 234c to 330c/kg.  Cows were down 12c, 2 and 3 scores sold from 140c to 290c, and heavy prime cows, 285c to 310c/kg. Heavy bulls sold to 290c/kg.

Market reporter, Angus Williams"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Feeder,C,2,64,25,300.0,370.0,332.078125,-22.9,576.9,711.5,638.6,1080.0,1432.0,1269.5625
Yearling Steer,330-400,Restocker,C,2,20,-44,298.0,330.0,319.65,-30.3,573.1,634.6,614.7,1084.6,1188.0,1115.2299926757812
Yearling Steer,400+,Feeder,C,2,139,-44,320.0,388.0,362.1654676258993,-8.4,615.4,746.2,696.5,1408.0,1890.0,1618.1007475269785
Yearling Steer,400+,Processor,C,3,13,6,290.0,350.0,317.84615384615387,-31.4,547.2,660.4,599.7,1320.0,1680.0,1511.969219501202
Yearling Steer,400+,Restocker,C,2,38,27,313.0,350.0,325.2105263157895,15.2,601.9,673.1,625.4,1339.8,1470.0,1392.2420847039473
Yearling Heifer,200-280,Restocker,C,2,3,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,600.0,600.0,600
Yearling Heifer,280-330,Feeder,C,2,9,-11,270.0,275.0,274.44444444444446,-13.7,519.2,528.8,527.8,864.0,880.0,878.2222222222222
Yearling Heifer,280-330,Processor,C,3,1,NQ,280.0,280.0,280,NQ,528.3,528.3,528.3,896.0,896.0,896
Yearling Heifer,280-330,Restocker,C,2,9,NQ,275.0,299.0,285.6666666666667,NQ,528.8,575.0,549.4,880.0,956.8,914.1333279079861
Yearling Heifer,330-400,Feeder,C,2,102,15,280.0,320.0,301.70588235294116,-2.1,538.5,615.4,580.2,952.0,1272.0,1130.1176470588234
Yearling Heifer,330-400,Processor,C,3,9,7,300.0,320.0,311.1111111111111,1.1,566.0,603.8,587.0,1020.0,1216.0,1120.4444444444443
Yearling Heifer,330-400,Restocker,C,2,61,-15,281.0,339.0,316.3606557377049,6.2,540.4,651.9,608.4,955.4,1356.0,1172.32458696209
Yearling Heifer,400+,Feeder,C,2,52,-12,250.0,320.0,301.0576923076923,-15.9,480.8,615.4,579.0,1100.0,1472.0,1322.173076923077
Yearling Heifer,400+,Processor,C,4,6,NQ,318.0,318.0,318,NQ,578.2,578.2,578.2,1653.6,1717.2,1664.1999918619792
Yearling Heifer,400+,Restocker,C,2,6,NQ,328.0,328.0,328,NQ,630.8,630.8,630.8,1377.6,1377.6,1377.5999348958333
Vealer Steer,200-280,Restocker,C,2,9,-5,307.0,348.0,329,-111.0,590.4,669.2,632.7,736.8,974.4,880.2666558159722
Vealer Heifer,200-280,Restocker,C,2,25,NC,260.0,310.0,281,21.2,500.0,596.2,540.4,728.0,868.0,766.28
Manufacturing Steer,0-540,Dairy,D,3,5,NQ,120.0,120.0,120,NQ,250.0,250.0,250.0,552.0,552.0,552
Grown Steer,400-500,Processor,C,4,1,NQ,310.0,310.0,310,NQ,563.6,563.6,563.6,1488.0,1488.0,1488
Grown Steer,500-600,Feeder,C,3,16,NQ,330.0,330.0,330,NQ,611.1,611.1,611.1,1848.0,1848.0,1848
Grown Steer,500-600,Processor,C,4,26,10,270.0,330.0,317.15384615384613,-14.5,490.9,600.0,576.6,1566.0,1908.0,1787.923076923077
Grown Steer,600-750,Processor,C,4,6,4,310.0,320.0,315.3333333333333,7.3,563.6,581.8,573.3,1922.0,2148.8,2071.2000732421875
Grown Heifer,0-540,Processor,C,4,58,32,234.0,330.0,302.1896551724138,-7.8,425.5,600.0,549.4,1170.0,1782.0,1583.2379445043102
Grown Heifer,0-540,Restocker,C,3,2,NQ,270.0,270.0,270,NQ,500.0,500.0,500.0,1404.0,1404.0,1404
