Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,2,11,NQ,303.0,355.0,324.09090909090907,NQ,582.7,682.7,623.3,969.6,1065.0,1005.6363636363636
Yearling Steer,330-400,Feeder,C,2,154,100,320.0,371.0,354.96753246753246,-13.3,615.4,713.5,682.6,1088.0,1440.0,1354.6285685749797
Yearling Steer,330-400,Processor,C,3,10,4,330.0,330.0,330,-13.2,622.6,622.6,622.6,1122.0,1320.0,1280.4
Yearling Steer,400+,Feeder,C,2,125,-250,320.0,368.0,341.584,-15.7,615.4,707.7,656.9,1386.0,2060.8,1608.0848125
Yearling Steer,400+,Processor,C,3,12,7,320.0,328.0,326.0833333333333,-15.9,603.8,618.9,615.3,1728.0,2099.2,1979.0166015625
Yearling Heifer,280-330,Restocker,C,2,5,-3,270.0,270.0,270,-39.8,519.2,519.2,519.2,864.0,864.0,864
Yearling Heifer,330-400,Feeder,C,2,145,49,285.0,330.0,312.9655172413793,8.4,548.1,634.6,601.9,1044.0,1320.0,1188.344827586207
Yearling Heifer,330-400,Processor,C,3,17,15,250.0,340.0,291.1764705882353,31.2,471.7,641.5,549.4,1000.0,1224.0,1111.2941176470588
Yearling Heifer,400+,Feeder,C,2,126,-137,290.0,345.0,331.1507936507937,17.2,557.7,663.5,636.8,1260.0,1656.0,1520.2174556671628
Yearling Heifer,400+,Processor,C,3,10,-117,310.0,315.0,311.1,-10.4,584.9,594.3,587.0,1612.0,1827.0,1674.0599609375
Yearling Heifer,400+,Restocker,C,2,13,-3,310.0,310.0,310,-6.0,596.2,596.2,596.2,1364.0,1364.0,1364
Vealer Steer,0-200,Restocker,C,2,16,5,310.0,362.0,358.75,-12.2,596.2,696.2,689.9,506.8,558.0,510
Vealer Heifer,0-200,Feeder,C,2,1,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,600.0,600.0,600
Vealer Heifer,0-200,Processor,C,2,2,NQ,220.0,276.0,248,NQ,423.1,530.8,476.9,352.0,496.8,424.3999938964844
Vealer Heifer,0-200,Restocker,C,2,18,17,260.0,270.0,268.3333333333333,68.3,500.0,519.2,516.0,364.0,378.0,375.6666666666667
Manufacturing Steer,0-540,Dairy,D,3,4,NQ,200.0,246.0,211.5,NQ,416.7,512.5,440.6,880.0,1180.8,955.2000122070312
Manufacturing Steer,540+,Dairy,D,3,1,NQ,150.0,150.0,150,NQ,312.5,312.5,312.5,1050.0,1050.0,1050
Grown Steer,400-500,Feeder,C,3,2,NQ,263.0,263.0,263,NQ,496.2,496.2,496.2,1209.8,1209.8,1209.800048828125
Grown Steer,500-600,Processor,C,4,32,20,262.0,335.0,301.84375,-3.8,476.4,609.1,551.7,1431.0,2010.0,1746.9312438964844
Grown Steer,600-750,Processor,C,4,26,-24,280.0,328.0,307.15384615384613,-31.8,509.1,615.4,559.8,1904.0,2176.0,2029.092303936298
Grown Steer,750+,Processor,C,4,2,NQ,255.0,329.0,292,NQ,463.6,598.2,530.9,2040.0,2632.0,2336
Grown Heifer,0-540,Processor,C,1,2,NQ,260.0,260.0,260,NQ,472.7,472.7,472.7,1404.0,1404.0,1404
Grown Heifer,0-540,Processor,C,4,39,3,240.0,325.0,288.7692307692308,-3.2,436.4,590.9,526.6,1196.0,1755.0,1493.2871719751602
Grown Heifer,0-540,Restocker,C,3,10,NQ,274.0,274.0,274,NQ,507.4,507.4,507.4,1315.2,1315.2,1315.2
Grown Heifer,540+,Processor,C,4,16,-67,265.0,320.0,307.1875,-11.4,481.8,581.8,558.5,1537.0,2176.0,1812.875
Cows,400-520,Processor,D,2,19,-8,190.0,257.0,244.78947368421052,-7.1,413.0,558.7,532.2,874.0,1285.0,1142
Cows,400-520,Processor,D,3,5,2,242.0,265.0,255.8,-14.2,504.2,552.1,532.9,1161.6,1272.0,1227.839990234375
Cows,520+,Processor,D,3,48,-3,260.0,277.0,270.875,-6.8,541.7,577.1,564.3,1431.0,1662.0,1563.6833241780598
Cows,520+,Processor,D,4,86,-134,270.0,290.0,280.43023255813955,-7.8,540.0,580.0,560.9,1600.8,2146.0,1888.2278854015262
Cows,520+,Restocker,D,3,15,NQ,262.0,262.0,262,NQ,545.8,545.8,545.8,1467.2,1467.2,1467.2
Calves,0-80,Restocker,C,2,41,NQ,380.0,450.0,415.8536585365854,NQ,730.8,865.4,799.7,228.0,360.0,295.609756097561
Bulls,0-450,Processor,C,3,19,14,130.0,282.0,250.05263157894737,16.1,232.1,503.6,446.5,325.0,1192.5,821.6578947368421
Bulls,0-450,Restocker,C,3,6,NQ,293.0,293.0,293,NQ,523.2,523.2,523.2,1172.0,1172.0,1172
Bulls,450-600,Processor,C,3,4,-8,150.0,263.0,228.25,-41.3,258.6,469.6,401.4,900.0,1500.0,1274.125
Bulls,600+,Processor,C,3,19,-23,185.0,280.0,248.52631578947367,-46.4,319.0,482.8,428.5,1295.0,3240.0,2124.5263157894738
