Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Dairy,D,2,4,NQ,175.0,175.0,175,NQ,357.1,357.1,357.1,490.0,490.0,490
Yearling Steer,200-280,Dairy,E,2,1,NQ,138.0,138.0,138,NQ,293.6,293.6,293.6,345.0,345.0,345
Yearling Steer,330-400,Feeder,C,3,5,NQ,312.0,312.0,312,NQ,588.7,588.7,588.7,1060.8,1060.8,1060.8
Yearling Steer,330-400,Processor,C,3,2,NQ,322.0,322.0,322,NQ,596.3,596.3,596.3,1288.0,1288.0,1288
Yearling Steer,330-400,Processor,D,3,4,1,240.0,290.0,273,19.7,452.8,547.2,515.1,840.0,1078.0,1008.3999938964844
Yearling Steer,400+,Feeder,C,3,3,NQ,310.0,320.0,316.6666666666667,NQ,574.1,592.6,586.4,1302.0,1488.0,1426
Yearling Steer,400+,Feeder,D,3,2,NQ,290.0,290.0,290,NQ,537.0,537.0,537.0,1189.0,1189.0,1189
Yearling Steer,400+,Processor,C,3,4,NC,340.0,341.0,340.5,-21.0,629.6,631.5,630.6,1598.0,1653.8,1625.9249877929688
Yearling Heifer,0-200,Feeder,E,1,1,NQ,100.0,100.0,100,NQ,200.0,200.0,200.0,185.0,185.0,185
Yearling Heifer,200-280,Feeder,D,2,2,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,500.0,500.0,500
Yearling Heifer,200-280,Feeder,D,3,4,NQ,252.0,252.0,252,NQ,475.5,475.5,475.5,680.4,680.4,680.4000244140625
Yearling Heifer,200-280,Pastoral Cattle,D,2,1,NQ,180.0,180.0,180,NQ,346.2,346.2,346.2,504.0,504.0,504
Yearling Heifer,200-280,Processor,D,2,1,NQ,192.0,192.0,192,NQ,369.2,369.2,369.2,508.8,508.8,508.79998779296875
Yearling Heifer,280-330,Feeder,C,2,6,NQ,320.0,320.0,320,NQ,603.8,603.8,603.8,928.0,928.0,928
Yearling Heifer,280-330,Feeder,D,2,1,-4,206.0,206.0,206,-20.0,396.2,396.2,396.2,638.6,638.6,638.5999755859375
Yearling Heifer,280-330,Feeder,D,3,3,NQ,240.0,240.0,240,NQ,452.8,452.8,452.8,684.0,684.0,684
Yearling Heifer,280-330,Feeder,E,2,1,NQ,142.0,142.0,142,NQ,273.1,273.1,273.1,411.8,411.8,411.79998779296875
Yearling Heifer,280-330,Processor,C,3,7,6,306.0,306.0,306,-24.0,577.4,577.4,577.4,979.2,979.2,979.1999860491071
Yearling Heifer,330-400,Feeder,D,3,2,-3,230.0,230.0,230,-16.6,434.0,434.0,434.0,828.0,828.0,828
Yearling Heifer,330-400,Processor,C,3,3,-1,308.0,348.0,321.3333333333333,29.8,570.4,644.4,595.1,1108.8,1218.0,1145.2000325520833
Yearling Heifer,330-400,Processor,D,3,4,NQ,250.0,260.0,253.5,NQ,471.7,490.6,478.3,862.5,949.0,897.1000061035156
Yearling Heifer,400+,Processor,C,3,8,NQ,285.0,340.0,328.75,NQ,527.8,629.6,608.8,1296.8,1428.0,1408.46875
Vealer Steer,0-200,Restocker,D,2,3,2,220.0,252.0,230.66666666666666,10.7,415.1,484.6,438.3,440.0,504.0,461.3333333333333
Vealer Steer,200-280,Pastoral Cattle,D,2,1,NQ,134.0,134.0,134,NQ,257.7,257.7,257.7,294.8,294.8,294.79998779296875
Vealer Steer,200-280,Processor,D,2,5,NQ,240.0,240.0,240,NQ,452.8,452.8,452.8,636.0,636.0,636
Vealer Steer,200-280,Processor,D,3,2,NQ,244.0,244.0,244,NQ,460.4,460.4,460.4,634.4,634.4,634.4000244140625
Vealer Steer,200-280,Restocker,C,2,3,-7,306.0,306.0,306,-44.4,577.4,577.4,577.4,673.2,673.2,673.2000325520834
Vealer Steer,200-280,Restocker,C,3,9,8,300.0,346.0,330.6666666666667,2.7,566.0,652.8,623.9,840.0,934.2,902.8000217013889
Vealer Steer,200-280,Restocker,D,2,1,NQ,222.0,222.0,222,NQ,426.9,426.9,426.9,488.4,488.4,488.3999938964844
Vealer Steer,200-280,Restocker,E,2,1,NQ,192.0,192.0,192,NQ,369.2,369.2,369.2,422.4,422.4,422.3999938964844
Vealer Steer,280-330,Processor,C,2,1,NQ,285.0,285.0,285,NQ,527.8,527.8,527.8,826.5,826.5,826.5
Vealer Steer,280-330,Processor,D,2,2,NQ,230.0,230.0,230,NQ,434.0,434.0,434.0,690.0,690.0,690
Vealer Steer,280-330,Restocker,C,2,1,-7,330.0,330.0,330,-28.0,611.1,611.1,611.1,990.0,990.0,990
Vealer Steer,280-330,Restocker,C,3,2,NQ,290.0,340.0,315,NQ,537.0,629.6,583.3,942.5,1088.0,1015.25
Vealer Steer,330+,Pastoral Cattle,C,3,1,NQ,320.0,320.0,320,NQ,592.6,592.6,592.6,1088.0,1088.0,1088
Vealer Steer,330+,Pastoral Cattle,D,3,1,NQ,285.0,285.0,285,NQ,527.8,527.8,527.8,1026.0,1026.0,1026
Vealer Steer,330+,Processor,C,3,2,NQ,362.0,362.0,362,NQ,670.4,670.4,670.4,1303.2,1303.2,1303.199951171875
Vealer Steer,330+,Restocker,C,3,2,NC,368.0,368.0,368,16.0,681.5,681.5,681.5,1416.8,1416.8,1416.800048828125
Vealer Heifer,0-200,Restocker,D,2,2,-2,190.0,210.0,200,-8.0,365.4,403.8,384.6,380.0,420.0,400
Vealer Heifer,200-280,Pastoral Cattle,D,3,2,NQ,276.0,280.0,278,NQ,520.8,528.3,524.5,717.6,784.0,750.7999877929688
Vealer Heifer,200-280,Restocker,D,2,27,22,180.0,256.0,210.59259259259258,-2.6,346.2,492.3,404.1,449.4,644.0,498.79258897569446
Vealer Heifer,200-280,Restocker,D,3,3,-1,220.0,220.0,220,-12.5,423.1,423.1,423.1,616.0,616.0,616
Vealer Heifer,280-330,Processor,C,3,2,NQ,320.0,320.0,320,NQ,592.6,592.6,592.6,1040.0,1040.0,1040
Vealer Heifer,280-330,Processor,D,3,2,NQ,255.0,255.0,255,NQ,472.2,472.2,472.2,803.3,803.3,803.25
Vealer Heifer,280-330,Restocker,D,3,17,11,210.0,262.0,243.76470588235293,-51.2,396.2,494.3,459.4,598.5,838.4,731.4941478056066
Vealer Heifer,330+,Processor,C,3,3,NQ,328.0,340.0,332,NQ,607.4,629.6,614.8,1230.0,1241.0,1233.6666666666667
Vealer Heifer,330+,Processor,D,3,1,NC,270.0,270.0,270,-20.0,500.0,500.0,500.0,958.5,958.5,958.5
Manufacturing Steer,0-540,Dairy,D,2,1,-2,174.0,174.0,174,-8.0,362.5,362.5,362.5,713.4,713.4,713.4000244140625
Manufacturing Steer,0-540,Dairy,E,2,3,NQ,142.0,142.0,142,NQ,295.8,295.8,295.8,355.0,355.0,355
Manufacturing Steer,0-540,Feeder,D,2,1,NQ,155.0,155.0,155,NQ,298.1,298.1,298.1,596.8,596.8,596.75
Manufacturing Steer,0-540,Feeder,D,3,1,NC,285.0,285.0,285,5.0,527.8,527.8,527.8,1410.8,1410.8,1410.75
Manufacturing Steer,540+,Dairy,D,2,2,NC,242.0,242.0,242,2.0,504.2,504.2,504.2,1476.2,1476.2,1476.199951171875
Manufacturing Steer,540+,Dairy,D,3,4,-4,250.0,264.0,257,-31.0,500.0,550.0,525.0,1544.4,1600.0,1572.2000122070312
Grown Steer,400-500,Processor,C,3,3,1,346.0,346.0,346,46.0,640.7,640.7,640.7,1730.0,1730.0,1730
Grown Steer,600-750,Processor,C,3,1,NC,290.0,290.0,290,-60.0,537.0,537.0,537.0,1812.5,1812.5,1812.5
Grown Steer,600-750,Processor,C,4,8,NQ,330.0,344.0,339.75,NQ,611.1,637.0,629.2,2108.0,2277.0,2186.7249755859375
Grown Heifer,0-540,Processor,D,3,4,-4,248.0,280.0,266,1.5,467.9,518.5,497.0,1088.0,1302.0,1220.6000061035156
Grown Heifer,0-540,Processor,E,2,1,NQ,160.0,160.0,160,NQ,313.7,313.7,313.7,480.0,480.0,480
Grown Heifer,540+,Processor,C,3,4,1,275.0,300.0,288.75,-4.6,509.3,555.6,534.7,1512.5,1755.0,1657.875
Cows,0-400,Dairy,D,2,2,NQ,170.0,170.0,170,NQ,354.2,354.2,354.2,663.0,663.0,663
Cows,0-400,Dairy,E,2,1,NQ,110.0,110.0,110,NQ,229.2,229.2,229.2,385.0,385.0,385
Cows,0-400,Processor,D,2,9,-1,187.0,187.0,187,-5.6,352.8,352.8,352.8,748.0,748.0,748
Cows,400-520,Dairy,D,2,2,NC,180.0,180.0,180,NC,375.0,375.0,375.0,936.0,936.0,936
Cows,400-520,Processor,C,2,6,-20,245.0,250.0,247.5,-1.0,453.7,471.7,462.7,1200.0,1274.0,1237
Cows,400-520,Processor,D,2,31,18,172.0,230.0,206.38709677419354,-11.3,324.5,442.3,394.4,705.2,1173.0,959.332259639617
Cows,520+,Dairy,D,2,7,NQ,230.0,276.0,248.85714285714286,NQ,479.2,563.3,509.3,1207.5,1904.4,1580.614292689732
Cows,520+,Processor,C,3,120,48,242.0,285.0,266.425,-11.9,448.1,527.8,495.8,1325.0,1960.0,1635.4845825195312
Cows,520+,Processor,C,4,4,-31,294.0,320.0,313.5,0.6,544.4,592.6,580.6,2320.0,2410.8,2342.7000122070312
Cows,520+,Processor,D,3,9,NQ,240.0,250.0,243.77777777777777,NQ,452.8,480.8,461.9,1296.0,1415.2,1354.5777723524307
Cows,520+,Restocker,C,3,8,NQ,280.0,295.0,288.125,NQ,527.8,546.3,534.8,1695.8,2006.0,1817.125
Bulls,0-450,Feeder,C,2,1,NC,220.0,220.0,220,28.0,415.1,415.1,415.1,550.0,550.0,550
Bulls,0-450,Pastoral Cattle,C,3,1,NQ,250.0,250.0,250,NQ,463.0,463.0,463.0,712.5,712.5,712.5
Bulls,0-450,Pastoral Cattle,D,2,1,NQ,192.0,192.0,192,NQ,369.2,369.2,369.2,508.8,508.8,508.79998779296875
Bulls,0-450,Pastoral Cattle,D,3,1,NQ,200.0,200.0,200,NQ,370.4,370.4,370.4,400.0,400.0,400
Bulls,0-450,Processor,C,3,4,3,221.0,250.0,228.25,-39.8,409.3,463.0,422.7,750.0,939.3,891.9375
Bulls,0-450,Processor,D,3,1,-1,226.0,226.0,226,52.0,434.6,434.6,434.6,858.8,858.8,858.7999877929688
Bulls,0-450,Restocker,C,3,1,NQ,360.0,360.0,360,NQ,666.7,666.7,666.7,900.0,900.0,900
Bulls,450-600,Processor,C,3,1,NQ,300.0,300.0,300,NQ,555.6,555.6,555.6,1380.0,1380.0,1380
Bulls,600+,Processor,B,3,4,3,270.0,302.0,289.5,1.5,490.9,549.1,528.8,2189.5,2673.0,2408.9000244140625
Bulls,600+,Processor,B,4,2,NQ,295.0,300.0,297.5,NQ,546.3,555.6,550.9,3038.5,3360.0,3199.25
