Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CVLX Ballarat
Report Date: 20/03/2024
Comparison Date: 06/03/2024
Total Yarding: 618 (+70)
Commentary
"Another bigger yarding at Ballarat with 618 Cattle yarded, quality again varied with the most part of the yarding secondary plainer types with very limited offering of better bred cattle. Most of the usual buying group attended in a cheaper market across all categories. Young cattle sold 10c to 20c softer, grown steers and heifers were 15c to 30c cheaper, heavy cows sold to 15c softer while the medium weights where firm to 5c/kg cheaper. Heavy bulls sold to 8c softer, and the lighter and younger bulls were 20c to 30c cheaper.

Young cattle to the trade sold from 240c to 294c for the better quality and from 148c to 238c/kg for the plainer secondary types. Feeders paid from 224c to 290c for the better bred cattle and from 50c to 244c/kg for the plainer secondary types.  Grown Steers made from 226c to 256c, while 2 very good quality steers made 312c, while the secondary types made from 208 to 230c/kg.  Grown heifers sold 180c to 252c/kg. Manufacturing Beef steers made from 180c to 230c, and the dairy steers sold from 100c to 170c/kg.

Heavy cows sold from 188c to 230c/kg. Medium and light weight cows sold from 100c to 186c and Dairy cows made from 52c to 190c/kg. Heavy bulls sold from 184c to 230c and the lighter and young bulls from 140c to 180c/kg.

Market Reporter, Sheona Lamb"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,D,2,2,NQ,180.0,180.0,180,NQ,346.2,346.2,346.2,468.0,468.0,468
Yearling Steer,200-280,Processor,E,2,1,NQ,70.0,70.0,70,NQ,140.0,140.0,140.0,196.0,196.0,196
Yearling Steer,280-330,Feeder,D,2,3,NQ,150.0,170.0,159.33333333333334,NQ,283.0,326.9,302.7,450.0,510.0,478
Yearling Steer,280-330,Feeder,D,3,2,NQ,236.0,236.0,236,NQ,445.3,445.3,445.3,755.2,755.2,755.2000122070312
Yearling Steer,330-400,Dairy,D,2,1,NQ,180.0,180.0,180,NQ,367.3,367.3,367.3,702.0,702.0,702
Yearling Steer,330-400,Feeder,C,3,1,NQ,252.0,252.0,252,NQ,475.5,475.5,475.5,907.2,907.2,907.2000122070312
Yearling Steer,330-400,Feeder,D,2,3,2,200.0,200.0,200,-10.0,377.4,377.4,377.4,680.0,680.0,680
Yearling Steer,330-400,Feeder,D,3,5,NQ,214.0,244.0,232.4,NQ,403.8,460.4,438.5,816.5,878.4,842.7400146484375
Yearling Steer,400+,Feeder,C,3,2,NQ,244.0,252.0,248,NQ,451.9,466.7,459.3,1085.8,1121.4,1103.6000366210938
Yearling Steer,400+,Feeder,D,3,8,NQ,216.0,254.0,236,NQ,407.5,488.5,451.8,918.4,1041.4,980.1625518798828
