Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 01/05/2024
Comparison Date: 24/04/2024
Total Yarding: 1768 (-1383)
Commentary
"Charters Towers Combined Agents penned 1768 cattle in a prime only sale, the largest prime offering in more than 18 months.  Quality was mostly good throughout, with several good quality heavy cattle on offer, with more than 300 bullocks and 1,100 cows penned. Processor attendance was good with all regular export processors in attendance, supported by one southern operator for the first time this year, along with one live exporter and one local feeder operator and opportunity restockers.
 
Values for most categories were firm on last week, despite the increased supply, however plainer conditioned lines of cows eased 14c to 20c while prime heavyweight cows lifted by 4c/kg.

Yearling steers above 400kg to feed destined for live export sold to 256c to average 237c, steers to the trade sold to and averaged 240c/kg. Yearling heifers above 400kg to the trade made to 230c to average 227c/kg. A small sample of heavy grown steers to the trade averaged 262c/kg. Grown heifers to processors reached 234c to average from 200c to 228c/kg.

An increased number of heavy full mouthed bullocks to export slaughter topped at 264c to average from 242c to 263c/kg. Medium weight 2 score cows to processors reached 160c to average 15 5c and 3 scores sold to 225c to average from 192c to 199c/kg.  A large sample of prime heavyweight 3 and 4 score cows topped at 224c to average 214c to 221c/kg.

Heavy bulls to feed destined for live export sold to 242c to average 232c, bulls to processors averaged 214c/kg.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,D,2,2,-3,206.0,206.0,206,-26.0,396.2,396.2,396.2,648.9,648.9,648.9000244140625
Yearling Steer,280-330,Feeder,E,2,2,NQ,134.0,134.0,134,NQ,257.7,257.7,257.7,415.4,415.4,415.3999938964844
Yearling Steer,280-330,Processor,C,2,1,NQ,216.0,216.0,216,NQ,415.4,415.4,415.4,691.2,691.2,691.2000122070312
Yearling Steer,280-330,Processor,D,2,1,NQ,150.0,150.0,150,NQ,294.1,294.1,294.1,465.0,465.0,465
Yearling Steer,330-400,Feeder,C,2,5,-20,100.0,100.0,100,-149.7,192.3,192.3,192.3,360.0,360.0,360
Yearling Steer,330-400,Feeder,D,2,1,NC,180.0,180.0,180,16.0,352.9,352.9,352.9,675.0,675.0,675
Yearling Steer,330-400,Processor,D,3,6,NQ,150.0,232.0,218.33333333333334,NQ,288.5,437.7,412.9,525.0,916.4,851.1666666666666
Yearling Steer,400+,Feeder,C,2,30,12,236.0,256.0,236.66666666666666,-5.3,445.3,492.3,448.6,991.2,1100.8,1001.9333089192709
Yearling Steer,400+,Processor,C,2,26,NQ,240.0,240.0,240,NQ,452.8,452.8,452.8,1116.0,1116.0,1116
Yearling Steer,400+,Processor,C,3,2,NC,238.0,238.0,238,18.0,449.1,449.1,449.1,1035.3,1035.3,1035.300048828125
Yearling Heifer,200-280,Feeder,D,2,1,NC,124.0,124.0,124,-22.0,238.5,238.5,238.5,334.8,334.8,334.79998779296875
Yearling Heifer,280-330,Feeder,D,2,2,-41,172.0,172.0,172,-17.7,330.8,330.8,330.8,533.2,533.2,533.2000122070312
Yearling Heifer,330-400,Feeder,D,2,11,-40,200.0,200.0,200,10.0,384.6,384.6,384.6,710.0,710.0,710
Yearling Heifer,330-400,Processor,C,3,1,NQ,226.0,226.0,226,NQ,410.9,410.9,410.9,892.7,892.7,892.7000122070312
Yearling Heifer,330-400,Processor,D,2,8,-4,180.0,210.0,183.75,13.8,346.2,403.8,353.4,639.0,819.0,661.5
Yearling Heifer,330-400,Processor,D,3,9,7,170.0,230.0,216.66666666666666,11.7,326.9,442.3,416.7,603.5,897.0,831.7222222222222
Yearling Heifer,400+,Feeder,D,2,1,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,890.0,890.0,890
Yearling Heifer,400+,Processor,C,3,1,NQ,212.0,212.0,212,NQ,407.7,407.7,407.7,901.0,901.0,901
Yearling Heifer,400+,Processor,D,3,11,NQ,196.0,230.0,226.9090909090909,NQ,376.9,442.3,436.4,793.8,1081.0,1054.890907981179
Vealer Heifer,330+,Processor,C,3,2,NQ,226.0,226.0,226,NQ,434.6,434.6,434.6,1005.7,1005.7,1005.7000122070312
Vealer Heifer,330+,Processor,D,2,1,NQ,172.0,172.0,172,NQ,330.8,330.8,330.8,645.0,645.0,645
Manufacturing Steer,0-540,Feeder,D,2,2,NQ,160.0,226.0,193,NQ,307.7,434.6,371.2,784.0,1096.1,940.0499877929688
Manufacturing Steer,0-540,Processor,C,3,2,1,236.0,236.0,236,16.0,437.0,437.0,437.0,1203.6,1203.6,1203.5999755859375
Manufacturing Steer,0-540,Processor,D,2,2,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,820.0,820.0,820
Manufacturing Steer,0-540,Processor,D,3,4,1,246.0,246.0,246,28.0,464.2,464.2,464.2,1328.4,1328.4,1328.4000244140625
Manufacturing Steer,0-540,Processor,E,2,1,NQ,150.0,150.0,150,NQ,294.1,294.1,294.1,555.0,555.0,555
Manufacturing Steer,0-540,Restocker,D,2,11,NQ,198.0,220.0,218,NQ,380.8,423.1,419.2,831.6,1023.0,1005.5999977805398
Manufacturing Steer,540+,Feeder,D,3,18,NQ,252.0,252.0,252,NQ,466.7,466.7,466.7,1373.4,1373.4,1373.4000651041667
Manufacturing Steer,540+,Processor,C,3,11,10,260.0,260.0,260,30.0,500.0,500.0,500.0,1456.0,1456.0,1456
Manufacturing Steer,540+,Processor,C,4,24,NQ,256.0,264.0,263.3333333333333,NQ,465.5,485.2,480.3,1433.6,1689.6,1663.7000071207683
