Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 03/04/2024
Comparison Date: 13/03/2024
Total Yarding: 944 (-1099)
Commentary
"The first sale for three weeks resulted in 944 cattle penned in a very mixed quality yarding. The supply of prime cattle was minimal, however there were several small lines of good quality store cattle. Three regular processors were operating selectively, supported by one live exporter and opportunity feeders, backgrounders and restockers.  Demand from the buyer panel was very selective, with poorer quality lines difficult to sell. Cattle were drawn from Richmond, Pentland, local and coastal areas.

Good quality weaned steers  returning to the paddock reached 325c,  most sales from 210c to 270c similar heifers made to 246c to average 220c/kg. Light yearling steers averaged 216c reaching a top of 292c, a small sample of steers above 280kg to live export made 270c, while steers above 330kg to feed averaged 273c/kg. Yearling heifers above 280kg to processors sold to 238c to average 220c/kg.  

A small sample of grown steers to live export made to  276c to average 275c/kg. A small number of grown heifers to the trade sold to 246c to average 243c/kg. There were insufficient numbers of bullocks to reliably quote.

Medium weight three score cows averaged 226c, isolated single sales between 260 and 280c/kg. A small number of prime heavyweight cows averaged 228c/kg.  A small quantity of  bulls to processors sold to 270c, most around 240c/kg.

A small number of cows and calves sold to $800/unit.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,D,2,16,NQ,182.0,182.0,182,NQ,350.0,350.0,350.0,500.5,500.5,500.5
Yearling Steer,200-280,Restocker,D,2,251,180,100.0,292.0,216.39043824701196,-41.1,196.1,561.5,416.2,230.0,743.0,526.4008030378486
Yearling Steer,200-280,Restocker,E,2,11,NQ,160.0,160.0,160,NQ,313.7,313.7,313.7,440.0,440.0,440
