Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 04/09/2024
Comparison Date: 28/08/2024
Total Yarding: 3714 (+987)
Commentary
"The supply of cattle increased by almost 1,000 for a yarding of 3714. Quality was mostly good, consisting of some large lines of well finished heavy cows and small lines of heavy bullocks, supported by an increased number of good quality store steers and heifers. Cattle were drawn from Burketown to Mt Isa, Richmond, Hughenden, Georgetown, Mt Coolon, local and coastal areas. The buyer panel increased with additional southern processor activity, supported by opportunity feeders, central backgrounders and restockers.

Increased demand from the buyer gallery resulted in price improvements for most categories. Yearling steers rose by up to 30c, yearling heifers to feed lifted 3c to 5c/kg. Bullocks were mostly firm, grown steers to the trade lifted 17c to 24c, grown heifers improved 23c, lightweight cows lifted 13c to 24c, heavy cows improved by 8c and bulls averaged up to 30c higher.

Young suitably weaned steers returning to the paddock averaged 277c to 294c selling to 310c, similar heifers to grass reached 256c, averaging from 244c to 250c and heifers to processors averaged 241c/kg.  Yearling steers above 280kg to feed averaged 253c to 269c, with backgrounder steers averaging 270c/kg. Steers above 330kg to feed eased, selling to 328c to average 280c, while a sample of steers above 400kg averaged 305c/kg. Best bred lines of yearling heifers above 200kg to feed sold to 258c to average 256c and heifers above 280kg reached 274c to average 256c/kg. A small quantity of prime yearling heifers to the trade made to 298c to average above 290c/kg.

A good sample of grown steers above 400kg to the trade averaged 315c selling to 328c, prime grown heifers sold to 296c to average 290c/kg.  An increased supply of heavy full mouthed bullocks to export slaughter topped at 328c to average from 312 to 325c/ kg.
Lightweight 2 score cows to processors sold to an improved 262c to average 243c, medium weight 2 scores averaged 257c, 3 score cows averaged from 265c to 275c and a good supply of prime heavyweight 3 and 4 score cows topped at 294c to  average 287c/kg.  Heavy bulls to processors reached 268c, most around 240c/kg.

A small number of cows and calves sold from $650 per unit to $1,450 for cows with large weaners at foot.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,D,2,52,38,198.0,272.0,256.65384615384613,36.1,380.8,523.1,493.7,465.3,734.4,687.7365429217999
Yearling Steer,200-280,Processor,C,2,2,NQ,264.0,264.0,264,NQ,507.7,507.7,507.7,726.0,726.0,726
Yearling Steer,200-280,Restocker,C,2,6,-16,320.0,320.0,320,46.4,615.4,615.4,615.4,880.0,880.0,880
Yearling Steer,200-280,Restocker,D,2,1,-87,296.0,296.0,296,45.1,569.2,569.2,569.2,769.6,769.6,769.5999755859375
Yearling Steer,280-330,Feeder,C,2,23,16,268.0,270.0,268.95652173913044,13.0,515.4,519.2,517.2,830.8,864.0,846.6782438858696
Yearling Steer,280-330,Feeder,D,2,31,15,236.0,266.0,253.09677419354838,11.8,453.8,511.5,486.7,730.8,851.2,752.2709567162299
Yearling Steer,280-330,Processor,C,2,10,NQ,272.0,272.0,272,NQ,523.1,523.1,523.1,856.8,856.8,856.8
Yearling Steer,280-330,Processor,D,2,12,NQ,274.0,274.0,274,NQ,526.9,526.9,526.9,808.3,808.3,808.2999674479166
Yearling Steer,280-330,Processor,E,2,2,NQ,254.0,284.0,269,NQ,488.5,546.2,517.3,838.2,894.6,866.3999938964844
Yearling Steer,280-330,Restocker,C,2,7,NQ,276.0,276.0,276,NQ,530.8,530.8,530.8,800.4,800.4,800.4000418526786
Yearling Steer,280-330,Restocker,D,2,40,30,262.0,276.0,268.6,32.6,503.8,530.8,516.5,746.7,869.4,800.7000244140625
Yearling Steer,330-400,Feeder,C,2,112,-16,260.0,328.0,279.9642857142857,-18.9,490.6,618.9,528.4,871.0,1230.0,998.7526975359235
Yearling Steer,330-400,Feeder,D,2,4,-17,262.0,262.0,262,7.0,503.8,503.8,503.8,1008.7,1008.7,1008.7000122070312
