Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 10/04/2024
Comparison Date: 03/04/2024
Total Yarding: 1650 (+706)
Commentary
"Numbers increased by 660 for a yarding of 1610 cattle.  Quality improved throughout, comprising of several good lines of heavy prime cows along with some good quality store steers and heifers. Buyer demand improved with two additional processors operating along with one live exporter, a regular feeder and several opportunity restockers and backgrounders.  Cattle were drawn from Richmond to Tully, with many from the local area.

Light steers returning to the paddock sold to 320c, while similar heifers reached 238c to average 232c/kg and processor types averaged 226c/kg. Yearling steers above 200kg to restockers made to 314c to average 273c, those above 280kg averaged 261c/kg.  Yearling steers above 330kg to feed averaged 258c, a small number of similar weight yearling heifers averaged 248c/kg.  Good quality heavy grown steers to the trade sold to 276c to average 270c/kg.  Heavy grown heifers to the trade reached 250c to average from 228c to 245c/kg.

A small sample of heavy bullocks to export slaughter sold to 258c. Medium weight 3 score cows sold to 232c to average 213c/kg. Prime heavyweight cows topped at 234c to average from 219c to 230c/kg.  Heavy bulls to live export sold to 278c, most from 260c to 266c/kg.

Cows and calves sold from $860 to $980 per unit.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,D,2,9,-7,186.0,256.0,248.22222222222223,66.2,357.7,492.3,477.4,511.5,704.0,682.6111111111111
Yearling Steer,200-280,Restocker,C,2,22,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,780.0,780.0,780
Yearling Steer,200-280,Restocker,D,2,108,-143,230.0,314.0,272.8888888888889,56.5,442.3,603.8,524.8,561.6,784.0,713.3074024341724
Yearling Steer,280-330,Restocker,C,2,5,NQ,220.0,240.0,236,NQ,423.1,461.5,453.8,682.0,744.0,731.6
Yearling Steer,280-330,Restocker,C,3,22,NQ,246.0,246.0,246,NQ,473.1,473.1,473.1,787.2,787.2,787.2000177556819
Yearling Steer,280-330,Restocker,D,2,45,NQ,248.0,276.0,260.97777777777776,NQ,476.9,530.8,501.9,742.4,855.6,799.5466742621528
Yearling Steer,330-400,Feeder,C,2,37,-4,254.0,262.0,258.27027027027026,-14.6,479.2,503.8,492.4,923.0,943.2,941.0919024493244
Yearling Steer,330-400,Feeder,C,3,13,NQ,270.0,270.0,270,NQ,509.4,509.4,509.4,958.5,958.5,958.5
Yearling Steer,330-400,Live Export,C,2,3,2,252.0,252.0,252,4.0,484.6,484.6,484.6,869.4,869.4,869.4000651041666
Yearling Steer,330-400,Processor,C,3,1,NQ,240.0,240.0,240,NQ,452.8,452.8,452.8,936.0,936.0,936
Yearling Steer,330-400,Restocker,C,3,1,NQ,236.0,236.0,236,NQ,445.3,445.3,445.3,814.2,814.2,814.2000122070312
Yearling Steer,400+,Live Export,C,2,10,NQ,272.0,272.0,272,NQ,523.1,523.1,523.1,1183.2,1183.2,1183.2
Yearling Steer,400+,Processor,C,3,1,NQ,240.0,240.0,240,NQ,452.8,452.8,452.8,996.0,996.0,996
Yearling Heifer,0-200,Processor,D,2,2,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,310.0,310.0,310
Yearling Heifer,200-280,Feeder,D,2,9,NQ,226.0,226.0,226,NQ,434.6,434.6,434.6,610.2,610.2,610.2000325520834
Yearling Heifer,200-280,Processor,C,2,6,NQ,210.0,224.0,221.66666666666666,NQ,403.8,430.8,426.3,493.5,616.0,595.5833333333334
Yearling Heifer,200-280,Processor,D,2,9,NQ,210.0,216.0,213.33333333333334,NQ,403.8,415.4,410.3,535.5,594.0,568
Yearling Heifer,200-280,Restocker,C,2,8,NQ,200.0,220.0,210.5,NQ,384.6,423.1,404.8,460.0,594.0,535.8000030517578
Yearling Heifer,200-280,Restocker,D,2,61,58,180.0,244.0,210.327868852459,93.7,346.2,469.2,404.5,408.5,605.0,517.0327848840932
Yearling Heifer,280-330,Feeder,C,2,11,NQ,230.0,246.0,232.9090909090909,NQ,442.3,473.1,447.9,713.0,774.9,728.4363680752841
Yearling Heifer,280-330,Processor,C,2,8,-19,230.0,230.0,230,10.2,442.3,442.3,442.3,655.5,678.5,664.125
Yearling Heifer,280-330,Processor,D,2,15,9,230.0,236.0,230.4,26.4,442.3,453.8,443.1,708.0,736.0,734.1333333333333
Yearling Heifer,280-330,Restocker,C,2,16,2,250.0,250.0,250,52.0,480.8,480.8,480.8,725.0,725.0,725
Yearling Heifer,330-400,Feeder,C,2,16,14,220.0,248.0,243.375,33.4,423.1,476.9,468.0,828.0,893.2,848.1750259399414
Yearling Heifer,330-400,Processor,C,2,5,NC,228.0,232.0,228.8,34.8,438.5,446.2,440.0,775.2,835.2,787.2000122070312
Yearling Heifer,330-400,Processor,C,3,5,NC,238.0,238.0,238,13.2,457.7,457.7,457.7,856.8,856.8,856.8
Yearling Heifer,330-400,Processor,D,3,1,NQ,186.0,186.0,186,NQ,357.7,357.7,357.7,706.8,706.8,706.7999877929688
Vealer Steer,0-200,Restocker,D,2,4,-55,210.0,240.0,217.5,86.9,403.8,461.5,418.3,336.0,456.0,366
Vealer Steer,200-280,Restocker,C,2,13,-6,320.0,320.0,320,57.3,615.4,615.4,615.4,704.0,704.0,704
Vealer Steer,200-280,Restocker,D,2,22,18,260.0,288.0,277.72727272727275,75.2,500.0,553.8,534.1,546.0,656.6,614.8318204012784
Vealer Heifer,0-200,Processor,C,2,3,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,408.0,408.0,408
Vealer Heifer,0-200,Processor,D,2,3,NQ,180.0,180.0,180,NQ,346.2,346.2,346.2,342.0,342.0,342
Vealer Heifer,200-280,Processor,C,2,41,NQ,210.0,232.0,225.70731707317074,NQ,403.8,446.2,434.1,462.0,558.6,543.4682736280488
Vealer Heifer,200-280,Processor,D,2,11,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,494.5,517.5,513.3181818181819
Vealer Heifer,200-280,Restocker,C,2,34,-32,230.0,238.0,232.11764705882354,12.3,442.3,457.7,446.4,483.0,621.0,579.8294031479779
