Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 12/06/2024
Comparison Date: 05/06/2024
Total Yarding: 1870 (-580)
Commentary
"The supply of cattle fell by 580 for a yarding 1870 head. Quality was mostly good throughout, with a similar number of prime cattle to last sale, however store pens consisted of many smaller lines. Only three regular processors were in attendance and operating, supported by one live exporter, regular feeders and opportunity retsockers.  Cattle were drawn from Burketown, Richmond, Greenvale, Harvey’s Range, local and coastal areas.

Reduced demand for prime cattle saw values ease with bullocks down 10-18c, cows 3 to 12c lower and heavy bulls averaged 10-20c less.

Young suitably weaned steers to backgrounders averaged 253c, selling to 282c. Similar heifers to processors made to 174c to average 170c/kg. Light yearling steers returning to the paddock made to 268c, averaging from 232c to 252c, steers above 280kg sold to 262c to average 246c/kg. Yearling heifers were insufficient to reliable quote and sold according to quality.

Grown steers above 400kg to the trade sold to 225c to average 214c, heavy grown steers reached 228c to average 221c/kg.  A good supply of grown heifers to the trade sold to 228c to average from 203c to 221c/kg.

A mixed quality sample of heavy full mouthed bullocks to export slaughter topped at 233c to average from 213c to 227c/ kg.  A large sample of medium weight 3 score cows to processors sold to 202c to average from 172c to 188c and a small number of prime heavyweight cows averaged 195c/kg.

Medium weight bulls to live export sold from 236c to 244c, heavy bulls to feed destined for live export sold to 246c multiple times to average 241c and processor bulls averaged 196c/kg.

Several good quality small lines of cows and calves sold from $1,000 to $1,240 per unit.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,18,-28,244.0,268.0,252,-5.6,469.2,515.4,484.6,658.8,683.4,667
Yearling Steer,200-280,Restocker,D,2,118,52,120.0,260.0,231.8135593220339,11.7,230.8,500.0,445.8,294.0,715.0,575.7542372881356
Yearling Steer,200-280,Restocker,E,2,25,22,100.0,150.0,118,8.0,192.3,294.1,229.0,235.0,337.5,271.9
Yearling Steer,280-330,Feeder,C,2,1,NQ,214.0,214.0,214,NQ,411.5,411.5,411.5,684.8,684.8,684.7999877929688
Yearling Steer,280-330,Feeder,D,2,2,NQ,180.0,180.0,180,NQ,346.2,346.2,346.2,558.0,558.0,558
Yearling Steer,280-330,Restocker,C,2,52,27,234.0,262.0,246,5.4,450.0,503.8,473.1,666.9,806.0,714.1077035757212
Yearling Steer,280-330,Restocker,D,2,17,-55,198.0,244.0,224.8235294117647,25.0,380.8,469.2,432.4,613.8,780.8,711.2823414522059
Yearling Steer,330-400,Processor,D,2,3,NQ,210.0,218.0,212.66666666666666,NQ,403.8,419.2,409.0,745.5,817.5,769.5
Yearling Steer,330-400,Restocker,C,2,31,30,232.0,252.0,244.6451612903226,14.6,446.2,484.6,467.1,777.2,919.8,867.7935200352823
Yearling Steer,400+,Feeder,C,2,27,25,230.0,238.0,235.62962962962962,23.6,434.0,449.1,444.6,971.1,1058.0,1020.5629611545139
Yearling Steer,400+,Feeder,C,3,3,NQ,234.0,234.0,234,NQ,441.5,441.5,441.5,1029.6,1029.6,1029.5999348958333
Yearling Steer,400+,Processor,C,3,11,NQ,228.0,228.0,228,NQ,422.2,422.2,422.2,1105.8,1105.8,1105.8000710227273
Yearling Heifer,200-280,Feeder,C,2,15,NQ,190.0,196.0,194.8,NQ,365.4,376.9,374.6,532.0,539.0,537.6
Yearling Heifer,200-280,Feeder,D,2,8,NQ,180.0,200.0,187,NQ,346.2,384.6,359.6,495.0,560.0,515.5
Yearling Heifer,200-280,Processor,C,2,1,NQ,175.0,175.0,175,NQ,336.5,336.5,336.5,411.3,411.3,411.25
Yearling Heifer,200-280,Processor,D,2,22,-18,150.0,182.0,174.54545454545453,-12.0,288.5,350.0,335.7,315.0,473.2,441.6818181818182
Yearling Heifer,200-280,Restocker,D,2,18,-164,120.0,176.0,156.55555555555554,-44.0,230.8,338.5,301.1,276.0,448.8,395.83888753255206
Yearling Heifer,280-330,Feeder,C,2,9,NQ,200.0,220.0,204.44444444444446,NQ,384.6,423.1,393.2,630.0,638.0,631.7777777777778
Yearling Heifer,280-330,Feeder,D,2,1,-23,160.0,160.0,160,-19.0,307.7,307.7,307.7,472.0,472.0,472
Yearling Heifer,280-330,Processor,C,2,4,NQ,194.0,218.0,203,NQ,373.1,419.2,390.4,580.0,697.6,614.75
Yearling Heifer,330-400,Feeder,D,2,1,NQ,222.0,222.0,222,NQ,426.9,426.9,426.9,788.1,788.1,788.0999755859375
Yearling Heifer,330-400,Processor,C,3,1,-14,212.0,212.0,212,10.0,407.7,407.7,407.7,826.8,826.8,826.7999877929688
Yearling Heifer,400+,Feeder,C,2,1,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,830.0,830.0,830
Yearling Heifer,400+,Feeder,C,3,6,NQ,230.0,230.0,230,NQ,434.0,434.0,434.0,943.0,943.0,943
Vealer Steer,0-200,Restocker,C,2,1,-6,238.0,238.0,238,-6.0,457.7,457.7,457.7,452.2,452.2,452.20001220703125
Vealer Steer,0-200,Restocker,D,2,19,NQ,150.0,236.0,213.3684210526316,NQ,288.5,453.8,410.3,240.0,460.2,402.25264699835526
Vealer Steer,200-280,Restocker,C,2,103,41,242.0,282.0,253.3398058252427,7.0,465.4,542.3,487.2,559.0,624.0,581.4533999544902
Vealer Steer,200-280,Restocker,D,2,44,34,200.0,256.0,230.0909090909091,13.7,384.6,492.3,442.5,410.0,537.6,484.83180930397725
Vealer Heifer,0-200,Processor,C,2,12,-22,160.0,160.0,160,NC,307.7,307.7,307.7,304.0,304.0,304
Vealer Heifer,0-200,Restocker,C,2,6,NQ,180.0,180.0,180,NQ,346.2,346.2,346.2,360.0,360.0,360
Vealer Heifer,0-200,Restocker,D,2,15,11,130.0,156.0,148.13333333333333,17.1,250.0,300.0,284.9,234.0,285.0,277.63999837239584
Vealer Heifer,200-280,Feeder,C,2,9,NQ,200.0,220.0,213.33333333333334,NQ,384.6,423.1,410.3,460.0,583.0,542
Vealer Heifer,200-280,Feeder,D,2,1,NQ,180.0,180.0,180,NQ,346.2,346.2,346.2,468.0,468.0,468
Vealer Heifer,200-280,Processor,C,2,26,NQ,170.0,174.0,172.30769230769232,NQ,326.9,334.6,331.4,365.5,391.5,380.5
Vealer Heifer,200-280,Processor,D,2,23,16,150.0,170.0,169.1304347826087,7.7,294.1,326.9,325.5,345.0,365.5,364.60869565217394
Manufacturing Steer,0-540,Feeder,D,2,1,-4,180.0,180.0,180,-40.8,346.2,346.2,346.2,864.0,864.0,864
Manufacturing Steer,0-540,Processor,C,3,4,-2,210.0,224.0,215.5,-10.5,388.9,414.8,399.1,1079.1,1209.6,1123.4249877929688
Manufacturing Steer,0-540,Processor,D,3,39,13,180.0,226.0,212.74358974358975,-12.7,339.6,426.4,399.8,810.0,1209.1,1110.2076635116186
Manufacturing Steer,0-540,Restocker,D,2,6,NQ,100.0,174.0,161.66666666666666,NQ,196.1,334.6,311.5,440.0,835.2,769.3333333333334
Manufacturing Steer,540+,Processor,C,3,57,NQ,215.0,233.0,226.7719298245614,NQ,390.9,431.5,419.4,1231.7,1432.9,1336.5570111191064
Manufacturing Steer,540+,Processor,D,3,9,-15,200.0,216.0,212.66666666666666,-17.9,367.3,400.0,393.1,1090.0,1575.6,1211.7777099609375
Manufacturing Steer,540+,Processor,D,4,1,NQ,212.0,212.0,212,NQ,392.6,392.6,392.6,1250.8,1250.8,1250.800048828125
Grown Steer,0-400,Feeder,D,2,2,-9,218.0,218.0,218,-7.0,419.2,419.2,419.2,730.3,730.3,730.2999877929688
Grown Steer,0-400,Restocker,C,2,21,NQ,246.0,246.0,246,NQ,464.2,464.2,464.2,971.7,971.7,971.7000558035714
Grown Steer,0-400,Restocker,D,2,1,NQ,200.0,200.0,200,NQ,392.2,392.2,392.2,680.0,680.0,680
Grown Steer,0-400,Restocker,D,3,2,NQ,124.0,124.0,124,NQ,234.0,234.0,234.0,458.8,458.8,458.79998779296875
Grown Steer,400-500,Processor,C,3,21,NQ,210.0,222.0,218.57142857142858,NQ,388.9,418.9,410.3,987.0,1043.4,1027.2857142857142
Grown Steer,400-500,Processor,D,2,38,22,208.0,225.0,212.18421052631578,-3.9,392.5,432.7,406.9,911.6,945.0,918.8578844572369
Grown Steer,400-500,Processor,D,3,18,-13,210.0,220.0,211.44444444444446,-12.6,396.2,415.1,399.0,966.0,1035.5,975.6666666666666
Grown Steer,400-500,Restocker,C,2,2,NQ,206.0,206.0,206,NQ,396.2,396.2,396.2,885.8,885.8,885.7999877929688
Grown Steer,400-500,Restocker,D,2,4,3,180.0,222.0,196,26.0,346.2,426.9,376.9,783.0,932.4,841.75
Grown Steer,400-500,Restocker,E,2,1,NQ,140.0,140.0,140,NQ,269.2,269.2,269.2,623.0,623.0,623
Grown Steer,500-600,Processor,C,3,28,NQ,216.0,228.0,223.57142857142858,NQ,400.0,422.2,414.0,1122.0,1231.2,1174.2857142857142
Grown Steer,500-600,Processor,D,3,32,25,216.0,220.0,218,-12.0,400.0,407.4,403.7,1155.0,1231.7,1209.9874572753906
Grown Heifer,0-540,Feeder,D,3,3,NQ,210.0,210.0,210,NQ,403.8,403.8,403.8,871.5,871.5,871.5
Grown Heifer,0-540,Processor,C,2,5,NQ,208.0,212.0,211.2,NQ,400.0,407.7,406.2,752.6,852.8,772.6399780273438
Grown Heifer,0-540,Processor,C,3,30,NQ,209.0,212.0,210.7,NQ,387.0,415.7,400.6,869.2,1086.8,979.7466796875
Grown Heifer,0-540,Processor,C,4,10,NQ,210.0,228.0,220.8,NQ,396.2,422.2,411.8,987.0,1162.8,1092.480029296875
Grown Heifer,0-540,Processor,D,2,6,3,134.0,160.0,152.33333333333334,-19.7,273.5,320.0,305.6,489.1,555.0,522.5166676839193
Grown Heifer,0-540,Processor,D,3,58,43,190.0,224.0,202.9655172413793,-10.2,365.4,424.0,396.8,710.4,974.4,823.5793246565194
Grown Heifer,0-540,Restocker,D,1,2,NQ,112.0,112.0,112,NQ,228.6,228.6,228.6,375.2,375.2,375.20001220703125
Cows,0-400,Processor,D,2,26,-83,130.0,166.0,150.46153846153845,0.3,282.6,353.2,325.9,461.5,647.4,549.4192317082332
Cows,0-400,Processor,D,3,127,72,150.0,190.0,159.48031496062993,-3.0,312.5,395.8,335.0,562.5,703.0,615.7984282726378
Cows,0-400,Processor,E,3,11,NQ,135.0,135.0,135,NQ,293.5,293.5,293.5,479.3,479.3,479.25
Cows,0-400,Restocker,D,1,23,21,70.0,170.0,128.34782608695653,31.3,155.6,377.8,285.2,203.0,586.5,430.9304517663044
Cows,0-400,Restocker,D,2,11,8,82.0,180.0,127.0909090909091,11.1,182.2,391.3,276.6,282.9,702.0,468.83636197176844
Cows,400-520,Processor,C,3,21,-54,186.0,190.0,188.0952380952381,-4.6,372.5,387.8,381.8,883.5,988.0,930.0952380952381
Cows,400-520,Processor,C,4,3,NQ,188.0,188.0,188,NQ,383.7,383.7,383.7,958.8,958.8,958.7999674479166
Cows,400-520,Processor,D,2,13,-24,160.0,160.0,160,-10.9,340.4,340.4,340.4,672.0,672.0,672
Cows,400-520,Processor,D,3,389,115,19.0,202.0,172.13110539845758,-11.7,39.6,412.2,358.1,91.2,1040.3,749.1503082510744
Cows,400-520,Processor,D,4,10,NQ,176.0,176.0,176,NQ,359.2,359.2,359.2,836.0,836.0,836
Cows,400-520,Restocker,D,2,2,NQ,125.0,166.0,145.5,NQ,271.7,360.9,316.3,512.5,680.6,596.5499877929688
Cows,400-520,Restocker,D,3,13,NQ,176.0,176.0,176,NQ,366.7,366.7,366.7,730.4,730.4,730.4000150240385
Cows,520+,Processor,C,4,1,-8,196.0,196.0,196,-16.0,376.9,376.9,376.9,1048.6,1048.6,1048.5999755859375
Cows,520+,Processor,C,5,5,NQ,194.0,194.0,194,NQ,373.1,373.1,373.1,1144.6,1144.6,1144.6
