Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 13/03/2024
Comparison Date: 28/02/2024
Total Yarding: 2043 (+1478)
Commentary
"The first Combined prime and store sale for a fortnight saw 2043 cattle penned. Despite most cattle presenting in fresh condition, quality was very mixed throughout the offering. Only three regular processors were in attendance and operating, supported by one live exporter, regular feeders and opportunity restockers.  Buyer demand was selective throughout with preference for better quality types.  Prices received were in line with other selling centres relative to quality. Cattle were were drawn from Richmond to Chillagoe, and south to local and coastal areas.  

Lightweight young steers averaged 310c selling to 316c, similar heifers reached 205c to average 175c/kg. Steers above 200kg returning to the paddock reached 298c to average 258c to 278c/kg. Heifers to restockers sold to 230c to average 224c/kg. Yearling steers above 280kg to live export sold to 290c, restocker steers averaged 251c/kg. Yearling steers above 400kg to feed made to 270c to average 255c, those suitable for live export averaged 276c/ kg. A good sample of yearling heifers above 330kg to feed averaged 224c/kg. 

Grown steers above 400kg to live export averaged 275c, steers to processors averaged 255c/kg. Heavy grown steers to processors topped at 260c to average 259c/kg.  A good supply of grown heifers to the trade sold to 230c to average 216c/kg.

Heavy bullocks to export slaughter topped at 270c, most averaged 250-267c/kg. Medium weight 3 score cow to processors sold to 222c to average 209c to 215c, while prime heavyweight cows sold to and averaged 218c/kg.  Heavy bulls to processors reached 256c to average 235, bulls to feed destined for live export averaged 254c/kg.

A large sample of cows and calves sold from $575 to $1,0000 per unit.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,E,2,5,NQ,124.0,124.0,124,NQ,238.5,238.5,238.5,229.4,229.4,229.4
Yearling Steer,200-280,Restocker,C,2,8,NQ,298.0,298.0,298,NQ,573.1,573.1,573.1,774.8,774.8,774.7999877929688
Yearling Steer,200-280,Restocker,D,2,71,65,180.0,294.0,257.46478873239437,106.8,346.2,565.4,495.1,470.8,756.0,605.797196509133
Yearling Steer,280-330,Feeder,D,2,1,-3,218.0,218.0,218,-9.0,419.2,419.2,419.2,664.9,664.9,664.9000244140625
Yearling Steer,280-330,Live Export,C,2,16,11,290.0,290.0,290,18.0,557.7,557.7,557.7,913.5,913.5,913.5
Yearling Steer,280-330,Live Export,D,2,18,NQ,292.0,292.0,292,NQ,561.5,561.5,561.5,934.4,934.4,934.4000651041666
Yearling Steer,280-330,Restocker,C,2,80,NQ,210.0,286.0,259.425,NQ,403.8,550.0,498.7,640.5,894.6,811.4624877929688
Yearling Steer,280-330,Restocker,D,2,57,42,210.0,272.0,246.28070175438597,26.3,403.8,523.1,473.6,651.0,897.6,773.4087620785361
Yearling Steer,280-330,Restocker,E,2,2,NQ,260.0,260.0,260,NQ,500.0,500.0,500.0,858.0,858.0,858
Yearling Steer,330-400,Feeder,C,2,16,NQ,222.0,232.0,230.75,NQ,426.9,446.2,443.7,788.1,916.4,900.3625335693359
Yearling Steer,330-400,Feeder,D,2,3,-8,210.0,224.0,219.33333333333334,-4.7,403.8,430.8,421.8,766.5,873.6,837.8999837239584
Yearling Steer,330-400,Live Export,D,2,6,4,260.0,260.0,260,40.0,500.0,500.0,500.0,1014.0,1014.0,1014
Yearling Steer,330-400,Restocker,C,2,25,NQ,266.0,298.0,281.2,NQ,511.5,573.1,540.8,917.7,1162.2,965.89599609375
Yearling Steer,400+,Feeder,C,2,19,NQ,270.0,270.0,270,NQ,509.4,509.4,509.4,1201.5,1201.5,1201.5
Yearling Steer,400+,Feeder,D,2,5,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,977.5,977.5,977.5
Yearling Steer,400+,Feeder,D,3,17,NQ,238.0,260.0,254.8235294117647,NQ,457.7,500.0,490.0,1066.0,1118.6,1078.37646484375
Yearling Steer,400+,Live Export,C,2,23,NQ,276.0,290.0,281.4782608695652,NQ,530.8,557.7,541.3,1203.5,1324.8,1277.3348335597825
Yearling Steer,400+,Live Export,C,3,16,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,1269.0,1269.0,1269
Yearling Steer,400+,Live Export,D,3,7,6,250.0,250.0,250,-26.0,480.8,480.8,480.8,1137.5,1137.5,1137.5
Yearling Steer,400+,Processor,C,3,6,-20,190.0,230.0,203.33333333333334,-75.2,358.5,434.0,383.6,779.0,1115.5,891.1666666666666
Yearling Steer,400+,Processor,D,3,3,NC,250.0,250.0,250,6.0,480.8,480.8,480.8,1112.5,1112.5,1112.5
Yearling Heifer,0-200,Restocker,D,2,2,NQ,180.0,180.0,180,NQ,346.2,346.2,346.2,342.0,342.0,342
Yearling Heifer,200-280,Feeder,D,2,5,-2,178.0,210.0,192.4,-27.6,342.3,403.8,370.0,409.4,577.5,494.8799987792969
Yearling Heifer,200-280,Restocker,C,2,30,NQ,206.0,246.0,227.33333333333334,NQ,396.2,473.1,437.2,494.4,688.8,598.0799967447916
Yearling Heifer,200-280,Restocker,D,2,89,88,160.0,230.0,192.53932584269663,-37.5,307.7,442.3,370.3,376.0,621.0,458.3123618136631
Yearling Heifer,280-330,Feeder,D,2,6,5,160.0,216.0,188,-32.0,307.7,415.4,361.5,456.0,691.2,573.6000162760416
Yearling Heifer,280-330,Processor,C,2,8,NQ,215.0,215.0,215,NQ,413.5,413.5,413.5,666.5,666.5,666.5
Yearling Heifer,280-330,Processor,D,2,2,-17,140.0,150.0,145,-87.8,274.5,288.5,281.5,413.0,442.5,427.75
Yearling Heifer,280-330,Restocker,C,2,1,-12,200.0,200.0,200,-65.7,384.6,384.6,384.6,650.0,650.0,650
Yearling Heifer,280-330,Restocker,D,2,4,2,210.0,218.0,212,-50.0,403.8,419.2,407.7,682.5,708.5,689
Yearling Heifer,330-400,Feeder,C,2,64,NQ,222.0,224.0,223.53125,NQ,426.9,430.8,429.9,772.8,828.8,799.2874908447266
Yearling Heifer,330-400,Feeder,D,2,3,-3,208.0,208.0,208,-40.0,400.0,400.0,400.0,769.6,769.6,769.5999348958334
Yearling Heifer,330-400,Feeder,D,3,4,NQ,218.0,218.0,218,NQ,419.2,419.2,419.2,828.4,828.4,828.4000244140625
Yearling Heifer,330-400,Processor,C,3,2,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,908.5,908.5,908.5
Yearling Heifer,330-400,Processor,D,3,10,NQ,196.0,224.0,215.6,NQ,376.9,430.8,414.6,715.4,806.4,779.100048828125
Yearling Heifer,330-400,Restocker,C,2,26,NQ,210.0,230.0,226.92307692307693,NQ,403.8,442.3,436.4,766.5,816.5,808.8076923076923
Yearling Heifer,400+,Processor,D,3,2,NQ,228.0,228.0,228,NQ,438.5,438.5,438.5,969.0,969.0,969
Vealer Steer,0-200,Restocker,D,2,22,NQ,200.0,316.0,259,NQ,384.6,607.7,498.5,380.0,600.4,491.1545493386009
Vealer Steer,0-200,Restocker,E,2,57,NQ,134.0,240.0,238.140350877193,NQ,257.7,461.5,458.0,227.8,468.0,452.83859654476765
Vealer Steer,200-280,Restocker,C,2,5,-5,298.0,298.0,298,-6.0,573.1,573.1,573.1,715.2,715.2,715.2
Vealer Steer,200-280,Restocker,D,2,18,-3,240.0,296.0,277.55555555555554,-40.4,461.5,569.2,533.8,528.0,717.6,694.5333116319445
Vealer Steer,280-330,Restocker,D,2,12,9,268.0,268.0,268,48.0,515.4,515.4,515.4,884.4,884.4,884.4000651041666
Vealer Heifer,0-200,Restocker,D,2,63,62,100.0,205.0,175.42857142857142,-70.6,192.3,394.2,337.4,105.0,331.2,248.6841285342262
Vealer Heifer,0-200,Restocker,E,2,1,NQ,90.0,90.0,90,NQ,173.1,173.1,173.1,121.5,121.5,121.5
Vealer Heifer,200-280,Feeder,C,2,8,7,180.0,180.0,180,NC,346.2,346.2,346.2,396.0,396.0,396
Vealer Heifer,200-280,Processor,D,2,1,NQ,120.0,120.0,120,NQ,230.8,230.8,230.8,252.0,252.0,252
Vealer Heifer,200-280,Restocker,C,2,31,21,194.0,230.0,224.32258064516128,-63.7,373.1,442.3,431.4,475.3,528.0,509.00967702557966
Vealer Heifer,200-280,Restocker,D,2,40,24,228.0,246.0,237,-8.6,438.5,473.1,455.8,478.8,565.8,522.3
Vealer Heifer,280-330,Restocker,C,2,16,NQ,226.0,226.0,226,NQ,434.6,434.6,434.6,655.4,655.4,655.4000244140625
Manufacturing Steer,0-540,Processor,C,3,5,NQ,250.0,250.0,250,NQ,463.0,463.0,463.0,1350.0,1350.0,1350
Manufacturing Steer,0-540,Processor,D,2,5,4,230.0,250.0,238,-12.0,442.3,480.8,457.7,1173.0,1175.0,1173.8
Manufacturing Steer,0-540,Processor,D,3,4,NQ,250.0,250.0,250,NQ,471.7,480.8,474.0,1225.0,1325.0,1284.375
Manufacturing Steer,540+,Processor,C,3,3,2,250.0,264.0,254.66666666666666,-45.3,463.0,488.9,471.6,1362.5,1504.8,1409.933349609375
Manufacturing Steer,540+,Processor,C,4,14,13,250.0,262.0,258.57142857142856,-39.4,463.0,476.4,472.5,1412.5,1598.2,1545.142857142857
Manufacturing Steer,540+,Processor,C,5,1,NQ,250.0,250.0,250,NQ,454.5,454.5,454.5,1825.0,1825.0,1825
Manufacturing Steer,540+,Processor,D,3,6,-3,254.0,270.0,267.3333333333333,-25.6,470.4,500.0,495.1,1422.4,1552.5,1530.816670735677
Grown Steer,0-400,Feeder,C,2,7,NQ,190.0,190.0,190,NQ,365.4,365.4,365.4,684.0,684.0,684
Grown Steer,0-400,Feeder,D,2,4,NQ,224.0,224.0,224,NQ,430.8,430.8,430.8,851.2,851.2,851.2000122070312
Grown Steer,0-400,Processor,D,3,1,NQ,230.0,230.0,230,NQ,434.0,434.0,434.0,897.0,897.0,897
