Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 14/02/2024
Comparison Date: 17/01/2024
Total Yarding: 3317 (+2439)
Commentary
"The first sale for nearly a month resulted in 3317 cattle penned. Quality was mostly good,consisting of some well finished heavy bullocks and cows, supported by several good quality lines of steers and heifers in fresh condition from areas receiving good rain at the end of 2023. All regular processors operated throughout with solid demand for heavier pens. Regular feeders, live exporters and opportunity restockers were active on suitable lines. Cattle were drawn from Hughenden to Georgetown, south to Belyando, local and coastal areas.

Values were generally in line with other selling centres relative to quality. A good sample  of vealer steers returning to the paddock averaged 261c, selling to 296c/kg.  A good sample of heifers under 200kg returning to grass averaged 240c, making to 248c, with heifers above 200kg to processors selling to 240c to average 218c/kg.

Yearling steers above 200kg to restockers averaged 254c to 272c reaching 290c. Suitable steers above 280kg to live export averaged 273c, those to feed averaged 271c, restocker lines averaged 292c/kg. A large sample of steers above 330kg to feed averaged 288c, steers to live export averaged 283c/kg. Yearling heifers were well supplied with heifers above 280kg to feed reached 254c to average 228c, and heifers above 330kg to feed topping at 268c to average 243c to 252c/kg.

Good quality, heavy grown steers to processors made to 294c, most sold from 276c to 290c/kg. A small number of grown heifers to the trade reached 250c to average 230c/kg. 

Heavy full-mouthed bullocks to export slaughter topped at 290c multiple times to average 285c, younger bullocks reached 310c to average 303c/kg.
Medium weight cows sold to 242c to average 239,c, a good sample of prime heavyweight cows topped at 250c to average 245c/kg. Heavy bulls to live export sold to 290c to average 279c, bulls to processors averaged 265c/kg.

A large offering of cows and calves mostly sold from $800 to $1,240/unit.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,D,2,15,13,200.0,286.0,240.13333333333333,-9.9,384.6,550.0,461.8,510.0,757.9,625.6866861979166
Yearling Steer,200-280,Live Export,D,2,16,NQ,274.0,274.0,274,NQ,526.9,526.9,526.9,726.1,739.8,732.09375
Yearling Steer,200-280,Processor,D,2,3,NQ,180.0,180.0,180,NQ,346.2,346.2,346.2,441.0,441.0,441
Yearling Steer,200-280,Restocker,C,2,42,31,268.0,280.0,271.7142857142857,27.7,515.4,538.5,522.5,723.6,770.0,737.9618675595239
Yearling Steer,200-280,Restocker,D,1,1,NQ,188.0,188.0,188,NQ,368.6,368.6,368.6,526.4,526.4,526.4000244140625
Yearling Steer,200-280,Restocker,D,2,116,NQ,202.0,290.0,253.70689655172413,NQ,388.5,557.7,487.9,493.5,797.5,654.4982699690194
Yearling Steer,280-330,Feeder,C,2,4,NQ,280.0,300.0,290,NQ,538.5,576.9,557.7,910.0,945.0,927.5
Yearling Steer,280-330,Feeder,D,2,79,NQ,220.0,288.0,271.34177215189874,NQ,423.1,553.8,521.8,660.0,936.0,816.1164303550237
Yearling Steer,280-330,Live Export,C,2,40,NQ,230.0,280.0,271.3,NQ,442.3,538.5,521.7,701.5,854.0,802.5050048828125
