Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 14/08/2024
Comparison Date: 07/08/2024
Total Yarding: 1765 (-206)
Commentary
"Useful rain in the local area saw numbers fall by around 200 for a yarding of 1745 cattle. Quality was mixed -with the supply of prime cattle halving on last week- however some good pens of well finished, heavy bullocks and cows were penned, supported by some very good quality store steers and heifers.  All regular processors were in attendance and operating, supported by one feeder, local opportunity restockers and backgrounders along with central backgrounders. Cattle were drawn from Normanton, Georgetown, Hughenden, The Belyando and the local area.

Values lifted across most categories, particularly better quality lines. Yearling steers and heifers improved by 10c to 40c, prime grown steers, bullocks and cows averaged 6c to 35c better.

Very good quality weaned steers above 200kg to restockers sold to 320c to average 294c to 315c, lighter weights averaged 291c/kg. A good sample of lightweight heifers to backgrounders reached 236c to average 231c/kg. Yearling steers above 280kg to feed sold to 280c to average 273c, feeder types averaged 276c/kg. Steers above 330kg to feed reached 312c to average from 268c to 295c/kg. Yearling heifers above 280kg returning to the paddock sold to 236c to average 197c, heavy heifers above 400kg to processors made to 272c to average 271c/kg.

Grown steers above 400kg to feed sold to 312c to average 299c, heavy trade types made to 288c, most around 275c/kg. Good quality heavy grown heifers to the trade sold to 270c to average 248c, plainer types averaged 189c/kg.

Small lines of heavy 3 and 4 score bullocks to export slaughter topped at 292c, averaging from 276c to 286c/kg. Lightweight cows to processors sold to 190c to average 169c, medium weight 3 score cows sold to 272c to average 240c and prime heavyweight cows topped at 270c to average 268c/kg.  Heavy bulls to processors sold to 266c to average 263, bulls to feed destined for live export averaged 249c/kg.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,D,2,17,-2,268.0,268.0,268,68.0,515.4,515.4,515.4,737.0,737.0,737
Yearling Steer,200-280,Processor,D,2,1,NQ,160.0,160.0,160,NQ,307.7,307.7,307.7,432.0,432.0,432
Yearling Steer,200-280,Restocker,D,2,12,-23,200.0,268.0,258.1666666666667,10.6,392.2,515.4,497.1,430.0,696.8,660.1000010172526
Yearling Steer,200-280,Restocker,E,2,2,NQ,196.0,196.0,196,NQ,376.9,376.9,376.9,539.0,539.0,539
Yearling Steer,280-330,Feeder,C,2,34,NQ,266.0,280.0,273.4117647058824,NQ,511.5,528.3,520.4,840.0,851.2,845.2705939797794
Yearling Steer,280-330,Feeder,D,2,24,18,180.0,264.0,253.41666666666666,41.4,346.2,507.7,487.3,567.0,844.8,810.6958414713541
Yearling Steer,280-330,Processor,C,2,1,NQ,246.0,246.0,246,NQ,473.1,473.1,473.1,738.0,738.0,738
Yearling Steer,280-330,Processor,D,2,2,NQ,184.0,186.0,185,NQ,353.8,357.7,355.8,607.2,613.8,610.5
Yearling Steer,280-330,Processor,D,3,3,NQ,194.0,194.0,194,NQ,373.1,373.1,373.1,630.5,630.5,630.5
Yearling Steer,280-330,Restocker,C,2,7,3,214.0,268.0,244,-4.5,411.5,515.4,469.2,631.3,777.2,712.1857299804688
Yearling Steer,280-330,Restocker,D,2,22,-1,236.0,280.0,275.72727272727275,45.7,453.8,538.5,530.2,731.6,840.0,822.1181807084517
Yearling Steer,280-330,Restocker,E,2,3,NQ,175.0,175.0,175,NQ,343.1,343.1,343.1,516.3,516.3,516.25
Yearling Steer,330-400,Feeder,C,2,31,21,272.0,312.0,294.4516129032258,44.5,513.2,600.0,561.4,952.2,1060.8,1009.5613088300152
Yearling Steer,330-400,Feeder,D,2,98,93,256.0,278.0,267.51020408163265,37.5,492.3,534.6,514.4,921.6,1084.2,974.1469228316327
Yearling Steer,330-400,Restocker,C,2,17,NQ,308.0,308.0,308,NQ,581.1,581.1,581.1,1047.2,1047.2,1047.1999080882354
Yearling Steer,330-400,Restocker,D,2,1,NQ,196.0,196.0,196,NQ,376.9,376.9,376.9,656.6,656.6,656.5999755859375
Yearling Steer,400+,Feeder,C,2,8,-8,274.0,274.0,274,27.0,517.0,517.0,517.0,1137.1,1137.1,1137.0999755859375
Yearling Heifer,0-200,Feeder,D,2,1,NQ,150.0,150.0,150,NQ,288.5,288.5,288.5,247.5,247.5,247.5
Yearling Heifer,200-280,Feeder,D,2,25,NQ,150.0,172.0,163.76,NQ,288.5,330.8,314.9,307.5,438.6,374.9880004882813
Yearling Heifer,200-280,Processor,D,2,6,-32,182.0,182.0,182,13.8,350.0,350.0,350.0,436.8,436.8,436.7999674479167
Yearling Heifer,200-280,Restocker,D,2,4,-117,190.0,190.0,190,40.9,365.4,365.4,365.4,494.0,494.0,494
Yearling Heifer,200-280,Restocker,E,2,1,-3,104.0,104.0,104,-56.0,200.0,200.0,200.0,260.0,260.0,260
Yearling Heifer,280-330,Feeder,C,2,7,NQ,234.0,246.0,237.71428571428572,NQ,450.0,473.1,457.1,702.0,811.8,737.5999930245536
Yearling Heifer,280-330,Feeder,D,2,5,3,172.0,172.0,172,-17.0,330.8,330.8,330.8,550.4,550.4,550.4
Yearling Heifer,280-330,Processor,C,3,4,NQ,244.0,244.0,244,NQ,460.4,460.4,460.4,719.8,719.8,719.7999877929688
Yearling Heifer,280-330,Processor,D,2,15,3,210.0,220.0,211.33333333333334,-12.7,403.8,423.1,406.4,651.0,704.0,658.0666666666667
Yearling Heifer,280-330,Restocker,D,2,42,38,188.0,236.0,196.8095238095238,46.8,361.5,453.8,378.5,554.6,743.4,576.8833298456101
Yearling Heifer,330-400,Feeder,C,2,18,NQ,266.0,266.0,266,NQ,511.5,511.5,511.5,944.3,944.3,944.3000217013889
Yearling Heifer,330-400,Feeder,D,2,7,5,260.0,260.0,260,40.0,500.0,500.0,500.0,884.0,884.0,884
Yearling Heifer,330-400,Processor,D,2,1,NQ,210.0,210.0,210,NQ,403.8,403.8,403.8,724.5,724.5,724.5
Yearling Heifer,400+,Processor,C,3,6,NQ,272.0,272.0,272,NQ,513.2,513.2,513.2,1237.6,1237.6,1237.5999348958333
Yearling Heifer,400+,Processor,D,3,32,NQ,266.0,272.0,270.125,NQ,501.9,513.2,509.7,1090.6,1183.2,1147.4624786376953
Vealer Steer,0-200,Restocker,C,2,14,13,296.0,296.0,296,128.0,569.2,569.2,569.2,592.0,592.0,592
Vealer Steer,0-200,Restocker,D,2,164,147,104.0,306.0,290.4817073170732,-13.5,203.9,588.5,559.0,135.2,600.0,492.1164669874238
Vealer Steer,0-200,Restocker,E,2,1,NQ,120.0,120.0,120,NQ,230.8,230.8,230.8,240.0,240.0,240
Vealer Steer,200-280,Processor,D,2,8,NQ,180.0,206.0,186.5,NQ,346.2,396.2,358.7,369.0,463.5,399.375
